id,test_prefix,test_name
commons-net_14_101,"public void testNET521_oe_101_oe() {
        try {
            info.getAddressCount();
            fail(""Expected RuntimeException"");
        } catch (final RuntimeException expected) {
            // ignored
        }
    }
",SubnetUtilsTest::testNET521_oe_101_oe
commons-net_14_102,"public void testNET521_oe_102_oe() {
        try {
            info.getAddressCount();
            fail(""Expected RuntimeException"");
        } catch (final RuntimeException expected) {
            // ignored
        }
    }
",SubnetUtilsTest::testNET521_oe_102_oe
commons-net_63_101,"public void testConnectTimeout_oe_101_oe() throws SocketException, IOException {
        try {
            // Connect to a valid host on a bogus port
            // TODO use a local server if possible
            client.connect(""www.apache.org"", 1234);
            fail(""Expecting an Exception"");
        } catch (final ConnectException | SocketTimeoutException | UnknownHostException ue) {
            // Not much we can do about this, we may be firewalled
        }
    }
",TestConnectTimeout::testConnectTimeout_oe_101_oe
commons-net_86_104,"public void testGetDateFormatSymbols_oe_104_oe() {
        try {
            dfs2 = FTPClientConfig.getDateFormatSymbols(fakeLang);
        } catch (final Exception e){
            fail(""rejected valid short month string"");
        }
    }
",FTPClientConfigTest::testGetDateFormatSymbols_oe_104_oe
commons-net_86_105,"public void testGetDateFormatSymbols_oe_105_oe() {
        try {
            d1 = sdf1.parse(""dec 31, 2004"");
        } catch (final ParseException px) {
            fail(""failed.to.parse.std"");
        }
    }
",FTPClientConfigTest::testGetDateFormatSymbols_oe_105_oe
commons-net_86_106,"public void testGetDateFormatSymbols_oe_106_oe() {
        try {
            d2 = sdf2.parse(""hij 31, 2004"");
        } catch (final ParseException px) {
            fail(""failed.to.parse.weird"");
        }
    }
",FTPClientConfigTest::testGetDateFormatSymbols_oe_106_oe
commons-net_86_107,"public void testGetDateFormatSymbols_oe_107_oe() {
        try {
            sdf1.parse(""hij 31, 2004"");
            fail(""should.have.failed.to.parse.weird"");
        } catch (final ParseException px) {
            // expected
        }
    }
",FTPClientConfigTest::testGetDateFormatSymbols_oe_107_oe
commons-net_86_108,"public void testGetDateFormatSymbols_oe_108_oe() {
        try {
            sdf2.parse(""dec 31, 2004"");
            fail(""should.have.failed.to.parse.standard"");
        } catch (final ParseException px) {
            // expected
        }
    }
",FTPClientConfigTest::testGetDateFormatSymbols_oe_108_oe
commons-net_125_101,"@Test
    public void testEncodeBase64ByteArrayBooleanBooleanInt_oe_101_oe() {
        try {
            Base64.encodeBase64(binaryData, false, false, 3);
            fail(""Expected IllegalArgumentException"");
        } catch (final IllegalArgumentException expected) {
            // expected
        }
    }
",Base64Test::testEncodeBase64ByteArrayBooleanBooleanInt_oe_101_oe
commons-net_125_102,"@Test
    public void testEncodeBase64ByteArrayBooleanBooleanInt_oe_102_oe() {
        try {
            Base64.encodeBase64(binaryData, true, false, 5);
            fail(""Expected IllegalArgumentException"");
        } catch (final IllegalArgumentException expected) {
            // expected
        }
    }
",Base64Test::testEncodeBase64ByteArrayBooleanBooleanInt_oe_102_oe
