id,test_prefix,test_name,mut_class,method_under_test,mut_docstring,mut_method_definition
net_79_2,"    public void testTimeZoneFunctionality_2_oe() throws Exception {
        final java.util.Date now = new java.util.Date();
        final FTPFile[] files = FTP.listFiles();
        final TreeSet<FTPFile> sorted = getSortedList(files);
        FTPFile lastfile = null;
        FTPFile firstfile = null;
        for (final FTPFile thisfile : sorted) {
            if (firstfile == null) {
                firstfile = thisfile;
            }
            if (lastfile != null) {
            }
            lastfile = thisfile;
        }

        if (firstfile == null || lastfile == null)  {
            fail(""No files found"");
    }
    }",FTPClientConfigFunctionalTest::testTimeZoneFunctionality_2_oe,org.apache.commons.net.ftp.FTPClient,listFiles(),"/**
     * Using the default system autodetect mechanism, obtain a
     * list of file information for the current working directory.
     * <p>
     * This information is obtained through the LIST command.  The contents of
     * the returned array is determined by the<code> FTPFileEntryParser </code>
     * used.
     * <p>
     * N.B. the LIST command does not generally return very precise timestamps.
     * For recent files, the response usually contains hours and minutes (not seconds).
     * For older files, the output may only contain a date.
     * If the server supports it, the MLSD command returns timestamps with a precision
     * of seconds, and may include milliseconds. See {@link #mlistDir()}
     *
     * @return The list of file information contained in the current directory
     *         in the format determined by the autodetection mechanism.
     *         <p><b>
     *         NOTE:</b> This array may contain null members if any of the
     *         individual file listings failed to parse.  The caller should
     *         check each entry for null before referencing it.
     * @throws FTPConnectionClosedException
     *                   If the FTP server prematurely closes the connection
     *                   as a result of the client being idle or some other
     *                   reason causing the server to send FTP reply code 421.
     *                   This exception may be caught either as an IOException
     *                   or independently as itself.
     * @throws IOException
     *                   If an I/O error occurs while either sending a
     *                   command to the server or receiving a reply
     *                   from the server.
     * @throws org.apache.commons.net.ftp.parser.ParserInitializationException
     *                   Thrown if the parserKey parameter cannot be
     *                   resolved by the selected parser factory.
     *                   In the DefaultFTPEntryParserFactory, this will
     *                   happen when parserKey is neither
     *                   the fully qualified class name of a class
     *                   implementing the interface
     *                   org.apache.commons.net.ftp.FTPFileEntryParser
     *                   nor a string containing one of the recognized keys
     *                   mapping to such a parser or if class loader
     *                   security issues prevent its being loaded.
     * @see org.apache.commons.net.ftp.parser.DefaultFTPFileEntryParserFactory
     * @see org.apache.commons.net.ftp.parser.FTPFileEntryParserFactory
     * @see org.apache.commons.net.ftp.FTPFileEntryParser
     */","public FTPFile[] listFiles()
    throws IOException
    {
        return listFiles((String) null);
    }"
net_82_1,"    public void testLookupDateFormatSymbols_1_oe() {
        DateFormatSymbols dfs1 = null;
        DateFormatSymbols dfs2 = null;
        DateFormatSymbols dfs3 = null;
        DateFormatSymbols dfs4 = null;


        try {
            dfs1 = FTPClientConfig.lookupDateFormatSymbols(""fr"");
        } catch (final IllegalArgumentException e){
            fail(""french"");
    }
    }",FTPClientConfigTest::testLookupDateFormatSymbols_1_oe,org.apache.commons.net.ftp.FTPClientConfig,lookupDateFormatSymbols(final String languageCode),"/**
     * Looks up the supplied language code in the internally maintained table of
     * language codes.  Returns a DateFormatSymbols object configured with
     * short month names corresponding to the code.  If there is no corresponding
     * entry in the table, the object returned will be that for
     * <code>Locale.US</code>
     * @param languageCode See {@link  #setServerLanguageCode(String)  serverLanguageCode}
     * @return a DateFormatSymbols object configured with short month names
     * corresponding to the supplied code, or with month names for
     * <code>Locale.US</code> if there is no corresponding entry in the internal
     * table.
     */","public static DateFormatSymbols lookupDateFormatSymbols(final String languageCode)
    {
        final Object lang = LANGUAGE_CODE_MAP.get(languageCode);
        if (lang != null) {
            if (lang instanceof Locale) {
                return new DateFormatSymbols((Locale) lang);
            } else if (lang instanceof String){
                return getDateFormatSymbols((String) lang);
            }
        }
        return new DateFormatSymbols(Locale.US);
    }"
net_82_2,"    public void testLookupDateFormatSymbols_2_oe() {
        DateFormatSymbols dfs1 = null;
        DateFormatSymbols dfs2 = null;
        DateFormatSymbols dfs3 = null;
        DateFormatSymbols dfs4 = null;


        try {
            dfs1 = FTPClientConfig.lookupDateFormatSymbols(""fr"");
        } catch (final IllegalArgumentException e){
        }

        try {
            dfs2 = FTPClientConfig.lookupDateFormatSymbols(""sq"");
        } catch (final IllegalArgumentException e){
            fail(""albanian"");
    }
    }",FTPClientConfigTest::testLookupDateFormatSymbols_2_oe,org.apache.commons.net.ftp.FTPClientConfig,lookupDateFormatSymbols(final String languageCode),"/**
     * Looks up the supplied language code in the internally maintained table of
     * language codes.  Returns a DateFormatSymbols object configured with
     * short month names corresponding to the code.  If there is no corresponding
     * entry in the table, the object returned will be that for
     * <code>Locale.US</code>
     * @param languageCode See {@link  #setServerLanguageCode(String)  serverLanguageCode}
     * @return a DateFormatSymbols object configured with short month names
     * corresponding to the supplied code, or with month names for
     * <code>Locale.US</code> if there is no corresponding entry in the internal
     * table.
     */","public static DateFormatSymbols lookupDateFormatSymbols(final String languageCode)
    {
        final Object lang = LANGUAGE_CODE_MAP.get(languageCode);
        if (lang != null) {
            if (lang instanceof Locale) {
                return new DateFormatSymbols((Locale) lang);
            } else if (lang instanceof String){
                return getDateFormatSymbols((String) lang);
            }
        }
        return new DateFormatSymbols(Locale.US);
    }"
net_82_3,"    public void testLookupDateFormatSymbols_3_oe() {
        DateFormatSymbols dfs1 = null;
        DateFormatSymbols dfs2 = null;
        DateFormatSymbols dfs3 = null;
        DateFormatSymbols dfs4 = null;


        try {
            dfs1 = FTPClientConfig.lookupDateFormatSymbols(""fr"");
        } catch (final IllegalArgumentException e){
        }

        try {
            dfs2 = FTPClientConfig.lookupDateFormatSymbols(""sq"");
        } catch (final IllegalArgumentException e){
        }

        try {
            dfs3 = FTPClientConfig.lookupDateFormatSymbols(""ru"");
        } catch (final IllegalArgumentException e){
            fail(""unusupported.default.to.en"");
    }
    }",FTPClientConfigTest::testLookupDateFormatSymbols_3_oe,org.apache.commons.net.ftp.FTPClientConfig,lookupDateFormatSymbols(final String languageCode),"/**
     * Looks up the supplied language code in the internally maintained table of
     * language codes.  Returns a DateFormatSymbols object configured with
     * short month names corresponding to the code.  If there is no corresponding
     * entry in the table, the object returned will be that for
     * <code>Locale.US</code>
     * @param languageCode See {@link  #setServerLanguageCode(String)  serverLanguageCode}
     * @return a DateFormatSymbols object configured with short month names
     * corresponding to the supplied code, or with month names for
     * <code>Locale.US</code> if there is no corresponding entry in the internal
     * table.
     */","public static DateFormatSymbols lookupDateFormatSymbols(final String languageCode)
    {
        final Object lang = LANGUAGE_CODE_MAP.get(languageCode);
        if (lang != null) {
            if (lang instanceof Locale) {
                return new DateFormatSymbols((Locale) lang);
            } else if (lang instanceof String){
                return getDateFormatSymbols((String) lang);
            }
        }
        return new DateFormatSymbols(Locale.US);
    }"
net_82_4,"    public void testLookupDateFormatSymbols_4_oe() {
        DateFormatSymbols dfs1 = null;
        DateFormatSymbols dfs2 = null;
        DateFormatSymbols dfs3 = null;
        DateFormatSymbols dfs4 = null;


        try {
            dfs1 = FTPClientConfig.lookupDateFormatSymbols(""fr"");
        } catch (final IllegalArgumentException e){
        }

        try {
            dfs2 = FTPClientConfig.lookupDateFormatSymbols(""sq"");
        } catch (final IllegalArgumentException e){
        }

        try {
            dfs3 = FTPClientConfig.lookupDateFormatSymbols(""ru"");
        } catch (final IllegalArgumentException e){
        }
        try {
            dfs4 = FTPClientConfig.lookupDateFormatSymbols(fakeLang);
        } catch (final IllegalArgumentException e){
            fail(""not.language.code.but.defaults"");
    }
    }",FTPClientConfigTest::testLookupDateFormatSymbols_4_oe,org.apache.commons.net.ftp.FTPClientConfig,lookupDateFormatSymbols(final String languageCode),"/**
     * Looks up the supplied language code in the internally maintained table of
     * language codes.  Returns a DateFormatSymbols object configured with
     * short month names corresponding to the code.  If there is no corresponding
     * entry in the table, the object returned will be that for
     * <code>Locale.US</code>
     * @param languageCode See {@link  #setServerLanguageCode(String)  serverLanguageCode}
     * @return a DateFormatSymbols object configured with short month names
     * corresponding to the supplied code, or with month names for
     * <code>Locale.US</code> if there is no corresponding entry in the internal
     * table.
     */","public static DateFormatSymbols lookupDateFormatSymbols(final String languageCode)
    {
        final Object lang = LANGUAGE_CODE_MAP.get(languageCode);
        if (lang != null) {
            if (lang instanceof Locale) {
                return new DateFormatSymbols((Locale) lang);
            } else if (lang instanceof String){
                return getDateFormatSymbols((String) lang);
            }
        }
        return new DateFormatSymbols(Locale.US);
    }"
net_82_6,"    public void testLookupDateFormatSymbols_6_oe() {
        DateFormatSymbols dfs1 = null;
        DateFormatSymbols dfs2 = null;
        DateFormatSymbols dfs3 = null;
        DateFormatSymbols dfs4 = null;


        try {
            dfs1 = FTPClientConfig.lookupDateFormatSymbols(""fr"");
        } catch (final IllegalArgumentException e){
        }

        try {
            dfs2 = FTPClientConfig.lookupDateFormatSymbols(""sq"");
        } catch (final IllegalArgumentException e){
        }

        try {
            dfs3 = FTPClientConfig.lookupDateFormatSymbols(""ru"");
        } catch (final IllegalArgumentException e){
        }
        try {
            dfs4 = FTPClientConfig.lookupDateFormatSymbols(fakeLang);
        } catch (final IllegalArgumentException e){
        }


        final SimpleDateFormat sdf1 = new SimpleDateFormat(""d MMM yyyy"", dfs1);
        final SimpleDateFormat sdf2 = new SimpleDateFormat(""MMM dd, yyyy"", dfs2);
        final SimpleDateFormat sdf3 = new SimpleDateFormat(""MMM dd, yyyy"", dfs3);
        Date d1 = null;
        Date d2 = null;
        Date d3 = null;
        try {
            d1 = sdf1.parse(""31 d\u00e9c 2004"");
        } catch (final ParseException px) {
            fail(""failed.to.parse.french"");
    }
    }",FTPClientConfigTest::testLookupDateFormatSymbols_6_oe,org.apache.commons.net.ftp.FTPClientConfig,lookupDateFormatSymbols(final String languageCode),"/**
     * Looks up the supplied language code in the internally maintained table of
     * language codes.  Returns a DateFormatSymbols object configured with
     * short month names corresponding to the code.  If there is no corresponding
     * entry in the table, the object returned will be that for
     * <code>Locale.US</code>
     * @param languageCode See {@link  #setServerLanguageCode(String)  serverLanguageCode}
     * @return a DateFormatSymbols object configured with short month names
     * corresponding to the supplied code, or with month names for
     * <code>Locale.US</code> if there is no corresponding entry in the internal
     * table.
     */","public static DateFormatSymbols lookupDateFormatSymbols(final String languageCode)
    {
        final Object lang = LANGUAGE_CODE_MAP.get(languageCode);
        if (lang != null) {
            if (lang instanceof Locale) {
                return new DateFormatSymbols((Locale) lang);
            } else if (lang instanceof String){
                return getDateFormatSymbols((String) lang);
            }
        }
        return new DateFormatSymbols(Locale.US);
    }"
net_82_7,"    public void testLookupDateFormatSymbols_7_oe() {
        DateFormatSymbols dfs1 = null;
        DateFormatSymbols dfs2 = null;
        DateFormatSymbols dfs3 = null;
        DateFormatSymbols dfs4 = null;


        try {
            dfs1 = FTPClientConfig.lookupDateFormatSymbols(""fr"");
        } catch (final IllegalArgumentException e){
        }

        try {
            dfs2 = FTPClientConfig.lookupDateFormatSymbols(""sq"");
        } catch (final IllegalArgumentException e){
        }

        try {
            dfs3 = FTPClientConfig.lookupDateFormatSymbols(""ru"");
        } catch (final IllegalArgumentException e){
        }
        try {
            dfs4 = FTPClientConfig.lookupDateFormatSymbols(fakeLang);
        } catch (final IllegalArgumentException e){
        }


        final SimpleDateFormat sdf1 = new SimpleDateFormat(""d MMM yyyy"", dfs1);
        final SimpleDateFormat sdf2 = new SimpleDateFormat(""MMM dd, yyyy"", dfs2);
        final SimpleDateFormat sdf3 = new SimpleDateFormat(""MMM dd, yyyy"", dfs3);
        Date d1 = null;
        Date d2 = null;
        Date d3 = null;
        try {
            d1 = sdf1.parse(""31 d\u00e9c 2004"");
        } catch (final ParseException px) {
        }
        try {
            d2 = sdf2.parse(""dhj 31, 2004"");
        } catch (final ParseException px) {
            fail(""failed.to.parse.albanian"");
    }
    }",FTPClientConfigTest::testLookupDateFormatSymbols_7_oe,org.apache.commons.net.ftp.FTPClientConfig,lookupDateFormatSymbols(final String languageCode),"/**
     * Looks up the supplied language code in the internally maintained table of
     * language codes.  Returns a DateFormatSymbols object configured with
     * short month names corresponding to the code.  If there is no corresponding
     * entry in the table, the object returned will be that for
     * <code>Locale.US</code>
     * @param languageCode See {@link  #setServerLanguageCode(String)  serverLanguageCode}
     * @return a DateFormatSymbols object configured with short month names
     * corresponding to the supplied code, or with month names for
     * <code>Locale.US</code> if there is no corresponding entry in the internal
     * table.
     */","public static DateFormatSymbols lookupDateFormatSymbols(final String languageCode)
    {
        final Object lang = LANGUAGE_CODE_MAP.get(languageCode);
        if (lang != null) {
            if (lang instanceof Locale) {
                return new DateFormatSymbols((Locale) lang);
            } else if (lang instanceof String){
                return getDateFormatSymbols((String) lang);
            }
        }
        return new DateFormatSymbols(Locale.US);
    }"
net_82_8,"    public void testLookupDateFormatSymbols_8_oe() {
        DateFormatSymbols dfs1 = null;
        DateFormatSymbols dfs2 = null;
        DateFormatSymbols dfs3 = null;
        DateFormatSymbols dfs4 = null;


        try {
            dfs1 = FTPClientConfig.lookupDateFormatSymbols(""fr"");
        } catch (final IllegalArgumentException e){
        }

        try {
            dfs2 = FTPClientConfig.lookupDateFormatSymbols(""sq"");
        } catch (final IllegalArgumentException e){
        }

        try {
            dfs3 = FTPClientConfig.lookupDateFormatSymbols(""ru"");
        } catch (final IllegalArgumentException e){
        }
        try {
            dfs4 = FTPClientConfig.lookupDateFormatSymbols(fakeLang);
        } catch (final IllegalArgumentException e){
        }


        final SimpleDateFormat sdf1 = new SimpleDateFormat(""d MMM yyyy"", dfs1);
        final SimpleDateFormat sdf2 = new SimpleDateFormat(""MMM dd, yyyy"", dfs2);
        final SimpleDateFormat sdf3 = new SimpleDateFormat(""MMM dd, yyyy"", dfs3);
        Date d1 = null;
        Date d2 = null;
        Date d3 = null;
        try {
            d1 = sdf1.parse(""31 d\u00e9c 2004"");
        } catch (final ParseException px) {
        }
        try {
            d2 = sdf2.parse(""dhj 31, 2004"");
        } catch (final ParseException px) {
        }
        try {
            d3 = sdf3.parse(""DEC 31, 2004"");
        } catch (final ParseException px) {
            fail(""failed.to.parse.'russian'"");
    }
    }",FTPClientConfigTest::testLookupDateFormatSymbols_8_oe,org.apache.commons.net.ftp.FTPClientConfig,lookupDateFormatSymbols(final String languageCode),"/**
     * Looks up the supplied language code in the internally maintained table of
     * language codes.  Returns a DateFormatSymbols object configured with
     * short month names corresponding to the code.  If there is no corresponding
     * entry in the table, the object returned will be that for
     * <code>Locale.US</code>
     * @param languageCode See {@link  #setServerLanguageCode(String)  serverLanguageCode}
     * @return a DateFormatSymbols object configured with short month names
     * corresponding to the supplied code, or with month names for
     * <code>Locale.US</code> if there is no corresponding entry in the internal
     * table.
     */","public static DateFormatSymbols lookupDateFormatSymbols(final String languageCode)
    {
        final Object lang = LANGUAGE_CODE_MAP.get(languageCode);
        if (lang != null) {
            if (lang instanceof Locale) {
                return new DateFormatSymbols((Locale) lang);
            } else if (lang instanceof String){
                return getDateFormatSymbols((String) lang);
            }
        }
        return new DateFormatSymbols(Locale.US);
    }"
net_83_4,"    public void testGetDateFormatSymbols_4_oe() {

        try {
            FTPClientConfig.getDateFormatSymbols(badDelim);
        } catch (final IllegalArgumentException e){
        }
        try {
            FTPClientConfig.getDateFormatSymbols(tooLong);
        } catch (final IllegalArgumentException e){
        }
        try {
            FTPClientConfig.getDateFormatSymbols(tooShort);
        } catch (final IllegalArgumentException e){
        }
        DateFormatSymbols dfs2 = null;
        try {
            dfs2 = FTPClientConfig.getDateFormatSymbols(fakeLang);
        } catch (final Exception e){
            fail(""rejected valid short month string"");
    }
    }",FTPClientConfigTest::testGetDateFormatSymbols_4_oe,org.apache.commons.net.ftp.FTPClientConfig,getDateFormatSymbols(final String shortmonths),"/**
     * Returns a DateFormatSymbols object configured with short month names
     * as in the supplied string
     * @param shortmonths This  should be as described in
     *  {@link  #setShortMonthNames(String)  shortMonthNames}
     * @return a DateFormatSymbols object configured with short month names
     * as in the supplied string
     */","public static DateFormatSymbols getDateFormatSymbols(final String shortmonths)
    {
        final String[] months = splitShortMonthString(shortmonths);
        final DateFormatSymbols dfs = new DateFormatSymbols(Locale.US);
        dfs.setShortMonths(months);
        return dfs;
    }"
net_83_5,"    public void testGetDateFormatSymbols_5_oe() {

        try {
            FTPClientConfig.getDateFormatSymbols(badDelim);
        } catch (final IllegalArgumentException e){
        }
        try {
            FTPClientConfig.getDateFormatSymbols(tooLong);
        } catch (final IllegalArgumentException e){
        }
        try {
            FTPClientConfig.getDateFormatSymbols(tooShort);
        } catch (final IllegalArgumentException e){
        }
        DateFormatSymbols dfs2 = null;
        try {
            dfs2 = FTPClientConfig.getDateFormatSymbols(fakeLang);
        } catch (final Exception e){
        }
        final SimpleDateFormat sdf1 =
            new SimpleDateFormat(""MMM dd, yyyy"", Locale.ENGLISH);
        final SimpleDateFormat sdf2 = new SimpleDateFormat(""MMM dd, yyyy"", dfs2);

        Date d1 = null;
        Date d2 = null;
        try {
            d1 = sdf1.parse(""dec 31, 2004"");
        } catch (final ParseException px) {
            fail(""failed.to.parse.std"");
    }
    }",FTPClientConfigTest::testGetDateFormatSymbols_5_oe,org.apache.commons.net.ftp.FTPClientConfig,getDateFormatSymbols(final String shortmonths),"/**
     * Returns a DateFormatSymbols object configured with short month names
     * as in the supplied string
     * @param shortmonths This  should be as described in
     *  {@link  #setShortMonthNames(String)  shortMonthNames}
     * @return a DateFormatSymbols object configured with short month names
     * as in the supplied string
     */","public static DateFormatSymbols getDateFormatSymbols(final String shortmonths)
    {
        final String[] months = splitShortMonthString(shortmonths);
        final DateFormatSymbols dfs = new DateFormatSymbols(Locale.US);
        dfs.setShortMonths(months);
        return dfs;
    }"
