classname,method,docstring,method_definition
org.apache.commons.net.ProtocolCommandListener,void protocolCommandSent(ProtocolCommandEvent event),"/**
     * This method is invoked by a ProtocolCommandEvent source after
     * sending a protocol command to a server.
     *
     * @param event The ProtocolCommandEvent fired.
     */",void protocolCommandSent(ProtocolCommandEvent event);
org.apache.commons.net.ProtocolCommandListener,void protocolReplyReceived(ProtocolCommandEvent event),"/**
     * This method is invoked by a ProtocolCommandEvent source after
     * receiving a reply from a server.
     *
     * @param event The ProtocolCommandEvent fired.
     */",void protocolReplyReceived(ProtocolCommandEvent event);
org.apache.commons.net.DefaultDatagramSocketFactory,createDatagramSocket(),"/**
     * Creates a DatagramSocket on the local host at the first available port.
     * @return a new DatagramSocket
     * @throws SocketException If the socket could not be created.
     */","@Override
    public DatagramSocket createDatagramSocket() throws SocketException
    {
        return new DatagramSocket();
    }"
org.apache.commons.net.DefaultDatagramSocketFactory,createDatagramSocket(final int port),"/**
     * Creates a DatagramSocket on the local host at a specified port.
     *
     * @param port The port to use for the socket.
     * @return a new DatagramSocket
     * @throws SocketException If the socket could not be created.
     */","@Override
    public DatagramSocket createDatagramSocket(final int port) throws SocketException
    {
        return new DatagramSocket(port);
    }"
org.apache.commons.net.DefaultDatagramSocketFactory,"createDatagramSocket(final int port, final InetAddress laddr)","/**
     * Creates a DatagramSocket at the specified address on the local host
     * at a specified port.
     *
     * @param port The port to use for the socket.
     * @param laddr  The local address to use.
     * @return a new DatagramSocket
     * @throws SocketException If the socket could not be created.
     */","@Override
    public DatagramSocket createDatagramSocket(final int port, final InetAddress laddr)
    throws SocketException
    {
        return new DatagramSocket(port, laddr);
    }"
org.apache.commons.net.DefaultSocketFactory,createSocket(),"/**
     * Creates an unconnected Socket.
     *
     * @return A new unconnected Socket.
     * @throws IOException If an I/O error occurs while creating the Socket.
     * @since 3.2
     */","@Override
    public Socket createSocket() throws IOException
    {
        if (connProxy != null)
        {
            return new Socket(connProxy);
        }
        return new Socket();
    }"
org.apache.commons.net.DefaultSocketFactory,"createSocket(final String host, final int port)","/**
     * Creates a Socket connected to the given host and port.
     *
     * @param host The hostname to connect to.
     * @param port The port to connect to.
     * @return A Socket connected to the given host and port.
     * @throws UnknownHostException  If the hostname cannot be resolved.
     * @throws IOException If an I/O error occurs while creating the Socket.
     */","@Override
    public Socket createSocket(final String host, final int port)
    throws UnknownHostException, IOException
    {
        if (connProxy != null)
        {
            final Socket s = new Socket(connProxy);
            s.connect(new InetSocketAddress(host, port));
            return s;
        }
        return new Socket(host, port);
    }"
org.apache.commons.net.DefaultSocketFactory,"createSocket(final InetAddress address, final int port)","/**
     * Creates a Socket connected to the given host and port.
     *
     * @param address The address of the host to connect to.
     * @param port The port to connect to.
     * @return A Socket connected to the given host and port.
     * @throws IOException If an I/O error occurs while creating the Socket.
     */","@Override
    public Socket createSocket(final InetAddress address, final int port)
    throws IOException
    {
        if (connProxy != null)
        {
            final Socket s = new Socket(connProxy);
            s.connect(new InetSocketAddress(address, port));
            return s;
        }
        return new Socket(address, port);
    }"
org.apache.commons.net.DefaultSocketFactory,"createSocket(final String host, final int port,
                               final InetAddress localAddr, final int localPort)","/**
     * Creates a Socket connected to the given host and port and
     * originating from the specified local address and port.
     *
     * @param host The hostname to connect to.
     * @param port The port to connect to.
     * @param localAddr  The local address to use.
     * @param localPort  The local port to use.
     * @return A Socket connected to the given host and port.
     * @throws UnknownHostException  If the hostname cannot be resolved.
     * @throws IOException If an I/O error occurs while creating the Socket.
     */","@Override
    public Socket createSocket(final String host, final int port,
                               final InetAddress localAddr, final int localPort)
    throws UnknownHostException, IOException
    {
        if (connProxy != null)
        {
            final Socket s = new Socket(connProxy);
            s.bind(new InetSocketAddress(localAddr, localPort));
            s.connect(new InetSocketAddress(host, port));
            return s;
        }
        return new Socket(host, port, localAddr, localPort);
    }"
org.apache.commons.net.DefaultSocketFactory,"createSocket(final InetAddress address, final int port,
                               final InetAddress localAddr, final int localPort)","/**
     * Creates a Socket connected to the given host and port and
     * originating from the specified local address and port.
     *
     * @param address The address of the host to connect to.
     * @param port The port to connect to.
     * @param localAddr  The local address to use.
     * @param localPort  The local port to use.
     * @return A Socket connected to the given host and port.
     * @throws IOException If an I/O error occurs while creating the Socket.
     */","@Override
    public Socket createSocket(final InetAddress address, final int port,
                               final InetAddress localAddr, final int localPort)
    throws IOException
    {
        if (connProxy != null)
        {
            final Socket s = new Socket(connProxy);
            s.bind(new InetSocketAddress(localAddr, localPort));
            s.connect(new InetSocketAddress(address, port));
            return s;
        }
        return new Socket(address, port, localAddr, localPort);
    }"
