id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version
numb_122_1,commons-numbers-1.0-src,BrentSolverTest,testBadEndpoints_1_oe,commons-numbers-rootfinder/src/test/java/org/apache/commons/numbers/rootfinder/BrentSolverTest.java,,,,assert,unknown
numb_122_3,commons-numbers-1.0-src,BrentSolverTest,testBadEndpoints_3_oe,commons-numbers-rootfinder/src/test/java/org/apache/commons/numbers/rootfinder/BrentSolverTest.java,,,,assert,unknown
numb_122_5,commons-numbers-1.0-src,BrentSolverTest,testBadEndpoints_5_oe,commons-numbers-rootfinder/src/test/java/org/apache/commons/numbers/rootfinder/BrentSolverTest.java,,,,assert,unknown
numb_123_1,commons-numbers-1.0-src,BrentSolverTest,testBadInitialGuess_1_oe,commons-numbers-rootfinder/src/test/java/org/apache/commons/numbers/rootfinder/BrentSolverTest.java,,,,assert,unknown
numb_148_18,commons-numbers-1.0-src,ArithmeticUtilsTest,testGcd_18_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,,,,assert,unknown
numb_148_19,commons-numbers-1.0-src,ArithmeticUtilsTest,testGcd_19_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,,,,assert,unknown
numb_148_20,commons-numbers-1.0-src,ArithmeticUtilsTest,testGcd_20_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,,,,assert,unknown
numb_150_19,commons-numbers-1.0-src,ArithmeticUtilsTest,testGcdLong_19_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,,,,assert,unknown
numb_150_20,commons-numbers-1.0-src,ArithmeticUtilsTest,testGcdLong_20_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,,,,assert,unknown
numb_150_21,commons-numbers-1.0-src,ArithmeticUtilsTest,testGcdLong_21_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,,,,assert,unknown
numb_151_12,commons-numbers-1.0-src,ArithmeticUtilsTest,testLcm_12_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,,,,assert,unknown
numb_151_13,commons-numbers-1.0-src,ArithmeticUtilsTest,testLcm_13_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,,,,assert,unknown
numb_151_14,commons-numbers-1.0-src,ArithmeticUtilsTest,testLcm_14_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,,,,assert,unknown
numb_152_13,commons-numbers-1.0-src,ArithmeticUtilsTest,testLcmLong_13_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,,,,assert,unknown
numb_152_14,commons-numbers-1.0-src,ArithmeticUtilsTest,testLcmLong_14_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,,,,assert,unknown
numb_152_16,commons-numbers-1.0-src,ArithmeticUtilsTest,testLcmLong_16_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,,,,assert,unknown
numb_153_3,commons-numbers-1.0-src,ArithmeticUtilsTest,testPow_3_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,,,,assert,unknown
numb_153_6,commons-numbers-1.0-src,ArithmeticUtilsTest,testPow_6_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,,,,assert,unknown
numb_153_9,commons-numbers-1.0-src,ArithmeticUtilsTest,testPow_9_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,,,,assert,unknown
numb_153_12,commons-numbers-1.0-src,ArithmeticUtilsTest,testPow_12_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,,,,assert,unknown
numb_153_15,commons-numbers-1.0-src,ArithmeticUtilsTest,testPow_15_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,,,,assert,unknown
numb_171_1,commons-numbers-1.0-src,ArithmeticUtilsTest,testRemainderUnsignedLongSpecialCases_1_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,,,,assert,unknown
numb_195_62,commons-numbers-1.0-src,PrecisionTest,testRoundDouble_62_oe,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/PrecisionTest.java,,,,assert,unknown
numb_221_11,commons-numbers-1.0-src,QuaternionTest,testProductQuaternionQuaternion_11_oe,commons-numbers-quaternion/src/test/java/org/apache/commons/numbers/quaternion/QuaternionTest.java,,,,assert,unknown
numb_221_12,commons-numbers-1.0-src,QuaternionTest,testProductQuaternionQuaternion_12_oe,commons-numbers-quaternion/src/test/java/org/apache/commons/numbers/quaternion/QuaternionTest.java,,,,assert,unknown
numb_222_88,commons-numbers-1.0-src,QuaternionTest,testScalarMultiplyDouble_88_oe,commons-numbers-quaternion/src/test/java/org/apache/commons/numbers/quaternion/QuaternionTest.java,,,,assert,unknown
