id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
numb_left_52_1,commons-numbers,ErfTest,testErf_1_oe,commons-numbers-gamma/src/test/java/org/apache/commons/numbers/gamma/ErfTest.java,,,,assert,unknown,standard,assertEquals
numb_left_52_2,commons-numbers,ErfTest,testErf_2_oe,commons-numbers-gamma/src/test/java/org/apache/commons/numbers/gamma/ErfTest.java,,,,assert,unknown,standard,assertEquals
numb_left_52_3,commons-numbers,ErfTest,testErf_3_oe,commons-numbers-gamma/src/test/java/org/apache/commons/numbers/gamma/ErfTest.java,,,,assert,unknown,standard,assertEquals
numb_left_52_4,commons-numbers,ErfTest,testErf_4_oe,commons-numbers-gamma/src/test/java/org/apache/commons/numbers/gamma/ErfTest.java,,,,assert,unknown,standard,assertEquals
numb_left_150_11,commons-numbers,CStandardTest,testAbs_11_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertAbs
numb_left_150_12,commons-numbers,CStandardTest,testAbs_12_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertAbs
numb_left_150_13,commons-numbers,CStandardTest,testAbs_13_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertAbs
numb_left_150_14,commons-numbers,CStandardTest,testAbs_14_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertAbs
numb_left_150_15,commons-numbers,CStandardTest,testAbs_15_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertAbs
numb_left_150_16,commons-numbers,CStandardTest,testAbs_16_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertAbs
numb_left_150_17,commons-numbers,CStandardTest,testAbs_17_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertAbs
numb_left_150_18,commons-numbers,CStandardTest,testAbs_18_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertAbs
numb_left_150_19,commons-numbers,CStandardTest,testAbs_19_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertAbs
numb_left_151_2,commons-numbers,CStandardTest,testAcos_2_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_151_3,commons-numbers,CStandardTest,testAcos_3_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_151_4,commons-numbers,CStandardTest,testAcos_4_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_151_5,commons-numbers,CStandardTest,testAcos_5_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_151_6,commons-numbers,CStandardTest,testAcos_6_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_151_7,commons-numbers,CStandardTest,testAcos_7_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_151_8,commons-numbers,CStandardTest,testAcos_8_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_151_9,commons-numbers,CStandardTest,testAcos_9_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_151_10,commons-numbers,CStandardTest,testAcos_10_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_151_11,commons-numbers,CStandardTest,testAcos_11_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_151_12,commons-numbers,CStandardTest,testAcos_12_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_151_13,commons-numbers,CStandardTest,testAcos_13_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_151_14,commons-numbers,CStandardTest,testAcos_14_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_151_15,commons-numbers,CStandardTest,testAcos_15_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_151_16,commons-numbers,CStandardTest,testAcos_16_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_152_2,commons-numbers,CStandardTest,testAcosh_2_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_152_3,commons-numbers,CStandardTest,testAcosh_3_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_152_4,commons-numbers,CStandardTest,testAcosh_4_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_152_5,commons-numbers,CStandardTest,testAcosh_5_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_152_6,commons-numbers,CStandardTest,testAcosh_6_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_152_7,commons-numbers,CStandardTest,testAcosh_7_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_152_8,commons-numbers,CStandardTest,testAcosh_8_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_152_9,commons-numbers,CStandardTest,testAcosh_9_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_152_10,commons-numbers,CStandardTest,testAcosh_10_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_152_11,commons-numbers,CStandardTest,testAcosh_11_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_152_12,commons-numbers,CStandardTest,testAcosh_12_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_152_13,commons-numbers,CStandardTest,testAcosh_13_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
numb_left_152_14,commons-numbers,CStandardTest,testAcosh_14_oe,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/CStandardTest.java,,,,assert,unknown,custom,assertComplex
