id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
numb_5_1,commons-numbers,RegularizedBetaTest,testMath1067_1_oe,commons-numbers-gamma/src/test/java/org/apache/commons/numbers/gamma/RegularizedBetaTest.java,,,,assert,unknown,standard,fail
numb_7_1,commons-numbers,LogGammaSumTest,testLogGammaSumPrecondition1_1_oe,commons-numbers-gamma/src/test/java/org/apache/commons/numbers/gamma/LogGammaSumTest.java,,,,assert,unknown,standard,assertThrows
numb_8_1,commons-numbers,LogGammaSumTest,testLogGammaSumPrecondition2_1_oe,commons-numbers-gamma/src/test/java/org/apache/commons/numbers/gamma/LogGammaSumTest.java,,,,assert,unknown,standard,assertThrows
numb_9_1,commons-numbers,LogGammaSumTest,testLogGammaSumPrecondition3_1_oe,commons-numbers-gamma/src/test/java/org/apache/commons/numbers/gamma/LogGammaSumTest.java,,,,assert,unknown,standard,assertThrows
numb_10_1,commons-numbers,LogGammaSumTest,testLogGammaSumPrecondition4_1_oe,commons-numbers-gamma/src/test/java/org/apache/commons/numbers/gamma/LogGammaSumTest.java,,,,assert,unknown,standard,assertThrows
numb_14_2,commons-numbers,RegularizedGammaTest,testRegularizedGammaMaxIterationsExceededThrows_2_oe,commons-numbers-gamma/src/test/java/org/apache/commons/numbers/gamma/RegularizedGammaTest.java,,,,assert,unknown,standard,assertThrows
numb_21_1,commons-numbers,InvGamma1pm1Test,testInvGamma1pm1Precondition1_1_oe,commons-numbers-gamma/src/test/java/org/apache/commons/numbers/gamma/InvGamma1pm1Test.java,,,,assert,unknown,standard,assertThrows
numb_22_1,commons-numbers,InvGamma1pm1Test,testInvGamma1pm1Precondition2_1_oe,commons-numbers-gamma/src/test/java/org/apache/commons/numbers/gamma/InvGamma1pm1Test.java,,,,assert,unknown,standard,assertThrows
numb_35_1,commons-numbers,LogGamma1pTest,testLogGamma1pPrecondition1_1_oe,commons-numbers-gamma/src/test/java/org/apache/commons/numbers/gamma/LogGamma1pTest.java,,,,assert,unknown,standard,assertThrows
numb_36_1,commons-numbers,LogGamma1pTest,testLogGamma1pPrecondition2_1_oe,commons-numbers-gamma/src/test/java/org/apache/commons/numbers/gamma/LogGamma1pTest.java,,,,assert,unknown,standard,assertThrows
numb_47_1,commons-numbers,LogFactorialTest,testNonPositiveArgumentWithCache_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/LogFactorialTest.java,,,,assert,unknown,standard,assertThrows
numb_48_1,commons-numbers,LogFactorialTest,testNonPositiveArgument_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/LogFactorialTest.java,,,,assert,unknown,standard,assertThrows
numb_58_1,commons-numbers,CombinationsTest,testLexicographicComparatorWrongIterate1_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/CombinationsTest.java,,,,assert,unknown,standard,assertThrows
numb_59_1,commons-numbers,CombinationsTest,testLexicographicComparatorWrongIterate2_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/CombinationsTest.java,,,,assert,unknown,standard,assertThrows
numb_60_1,commons-numbers,CombinationsTest,testLexicographicComparatorWrongIterate3_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/CombinationsTest.java,,,,assert,unknown,standard,assertThrows
numb_61_1,commons-numbers,CombinationsTest,testLexicographicComparatorWrongIterate4_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/CombinationsTest.java,,,,assert,unknown,standard,assertThrows
numb_66_1,commons-numbers,CombinationsTest,testBinomialCoefficientKLargerThanN_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/CombinationsTest.java,,,,assert,unknown,standard,assertThrows
numb_67_1,commons-numbers,CombinationsTest,testBinomialCoefficientNegativeN_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/CombinationsTest.java,,,,assert,unknown,standard,assertThrows
numb_68_1,commons-numbers,CombinationsTest,testBinomialCoefficientNegativeK_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/CombinationsTest.java,,,,assert,unknown,standard,assertThrows
numb_69_1,commons-numbers,CombinationsTest,testBinomialCoefficientKAboveN_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/CombinationsTest.java,,,,assert,unknown,standard,assertThrows
numb_74_1,commons-numbers,FactorialDoubleTest,testNonPositiveArgumentWithCache_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/FactorialDoubleTest.java,,,,assert,unknown,standard,assertThrows
numb_75_1,commons-numbers,FactorialDoubleTest,testNonPositiveArgument_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/FactorialDoubleTest.java,,,,assert,unknown,standard,assertThrows
numb_84_1,commons-numbers,LogBinomialCoefficientTest,testBinomialCoefficientFail1_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/LogBinomialCoefficientTest.java,,,,assert,unknown,standard,assertThrows
numb_85_1,commons-numbers,LogBinomialCoefficientTest,testBinomialCoefficientFail2_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/LogBinomialCoefficientTest.java,,,,assert,unknown,standard,assertThrows
numb_89_1,commons-numbers,BinomialCoefficientTest,testBinomialCoefficientKLargerThanN_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/BinomialCoefficientTest.java,,,,assert,unknown,standard,assertThrows
numb_90_1,commons-numbers,BinomialCoefficientTest,testBinomialCoefficientNegativeN_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/BinomialCoefficientTest.java,,,,assert,unknown,standard,assertThrows
numb_91_1,commons-numbers,BinomialCoefficientTest,testBinomialCoefficientNegativeK_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/BinomialCoefficientTest.java,,,,assert,unknown,standard,assertThrows
numb_92_1,commons-numbers,BinomialCoefficientTest,testBinomialCoefficientNAbove66ResultOverflow_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/BinomialCoefficientTest.java,,,,assert,unknown,standard,assertThrows
numb_94_1,commons-numbers,BinomialCoefficientTest,checkNLessThanOne_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/BinomialCoefficientTest.java,,,,assert,unknown,standard,assertThrows
numb_95_1,commons-numbers,BinomialCoefficientTest,checkKGreaterThanN_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/BinomialCoefficientTest.java,,,,assert,unknown,standard,assertThrows
numb_98_1,commons-numbers,FactorialTest,testPrecondition1_1_oe,commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/FactorialTest.java,,,,assert,unknown,standard,assertThrows
