id,test_prefix,test_name
pool_8_1,"    @Test
    public void testDefaultMethods_1_oe() throws Exception {
        final KeyedPooledObjectFactory<Object,Object> factory = new TestFactory();

        factory.activateObject(""key"",null); // a no-op
        factory.passivateObject(""key"",null); // a no-op
        factory.destroyObject(""key"",null); // a no-op
        assertTrue(factory.validateObject(""key"",null)); // constant true;
    }
",TestBaseKeyedPoolableObjectFactory::testDefaultMethods_1_oe
pool_49_1,"    @Test
    public void testDefaultGetLastUsedInstant_1_oe() {
        assertEquals(Instant.ofEpochMilli(1), new DefaultTrackedUse().getLastUsedInstant());
    }
",TestTrackedUse::testDefaultGetLastUsedInstant_1_oe
pool_54_1,"    @Test
    public void testFactoryTypeNotSimple_1_oe() {
        final Class<?> result = PoolImplUtils.getFactoryType(NotSimpleFactory.class);
        assertEquals(Long.class, result);
    }
",TestPoolImplUtils::testFactoryTypeNotSimple_1_oe
pool_55_1,"    @Test
    public void testFactoryTypeSimple_1_oe() {
        final Class<?> result = PoolImplUtils.getFactoryType(SimpleFactory.class);
        assertEquals(String.class, result);
    }
",TestPoolImplUtils::testFactoryTypeSimple_1_oe
pool_56_1,"    @Test
    public void testMaxInstants_1_oe() {
        assertEquals(INSTANT_1, PoolImplUtils.max(INSTANT_0, INSTANT_1));
    }
",TestPoolImplUtils::testMaxInstants_1_oe
pool_56_2,"    @Test
    public void testMaxInstants_2_oe() {
        // removed other assertion
        assertEquals(INSTANT_1, PoolImplUtils.max(INSTANT_1, INSTANT_0));
    }
",TestPoolImplUtils::testMaxInstants_2_oe
pool_56_3,"    @Test
    public void testMaxInstants_3_oe() {
        // removed other assertion
        // removed other assertion
        assertEquals(INSTANT_1, PoolImplUtils.max(INSTANT_1, INSTANT_1));
    }
",TestPoolImplUtils::testMaxInstants_3_oe
pool_56_4,"    @Test
    public void testMaxInstants_4_oe() {
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(INSTANT_0, PoolImplUtils.max(INSTANT_0, INSTANT_0));
    }
",TestPoolImplUtils::testMaxInstants_4_oe
pool_57_1,"    @Test
    public void testMinInstants_1_oe() {
        assertEquals(INSTANT_0, PoolImplUtils.min(INSTANT_0, INSTANT_1));
    }
",TestPoolImplUtils::testMinInstants_1_oe
pool_57_2,"    @Test
    public void testMinInstants_2_oe() {
        // removed other assertion
        assertEquals(INSTANT_0, PoolImplUtils.min(INSTANT_1, INSTANT_0));
    }
",TestPoolImplUtils::testMinInstants_2_oe
pool_57_3,"    @Test
    public void testMinInstants_3_oe() {
        // removed other assertion
        // removed other assertion
        assertEquals(INSTANT_1, PoolImplUtils.min(INSTANT_1, INSTANT_1));
    }
",TestPoolImplUtils::testMinInstants_3_oe
pool_57_4,"    @Test
    public void testMinInstants_4_oe() {
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(INSTANT_0, PoolImplUtils.min(INSTANT_0, INSTANT_0));
    }
",TestPoolImplUtils::testMinInstants_4_oe
pool_58_1,"    @Test
    public void testToChronoUnit_1_oe() {
        assertEquals(ChronoUnit.NANOS, PoolImplUtils.toChronoUnit(TimeUnit.NANOSECONDS));
    }
",TestPoolImplUtils::testToChronoUnit_1_oe
pool_58_2,"    @Test
    public void testToChronoUnit_2_oe() {
        // removed other assertion
        assertEquals(ChronoUnit.MICROS, PoolImplUtils.toChronoUnit(TimeUnit.MICROSECONDS));
    }
",TestPoolImplUtils::testToChronoUnit_2_oe
pool_58_3,"    @Test
    public void testToChronoUnit_3_oe() {
        // removed other assertion
        // removed other assertion
        assertEquals(ChronoUnit.MILLIS, PoolImplUtils.toChronoUnit(TimeUnit.MILLISECONDS));
    }
",TestPoolImplUtils::testToChronoUnit_3_oe
pool_58_4,"    @Test
    public void testToChronoUnit_4_oe() {
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(ChronoUnit.SECONDS, PoolImplUtils.toChronoUnit(TimeUnit.SECONDS));
    }
",TestPoolImplUtils::testToChronoUnit_4_oe
pool_58_5,"    @Test
    public void testToChronoUnit_5_oe() {
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(ChronoUnit.MINUTES, PoolImplUtils.toChronoUnit(TimeUnit.MINUTES));
    }
",TestPoolImplUtils::testToChronoUnit_5_oe
pool_58_6,"    @Test
    public void testToChronoUnit_6_oe() {
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(ChronoUnit.HOURS, PoolImplUtils.toChronoUnit(TimeUnit.HOURS));
    }
",TestPoolImplUtils::testToChronoUnit_6_oe
pool_58_7,"    @Test
    public void testToChronoUnit_7_oe() {
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(ChronoUnit.DAYS, PoolImplUtils.toChronoUnit(TimeUnit.DAYS));
    }
",TestPoolImplUtils::testToChronoUnit_7_oe
pool_59_1,"    @Test
    public void testToDuration_1_oe() {
        assertEquals(Duration.ZERO, PoolImplUtils.toDuration(0, TimeUnit.MILLISECONDS));
    }
",TestPoolImplUtils::testToDuration_1_oe
pool_59_2,"    @Test
    public void testToDuration_2_oe() {
        // removed other assertion
        assertEquals(Duration.ofMillis(1), PoolImplUtils.toDuration(1, TimeUnit.MILLISECONDS));
    }
",TestPoolImplUtils::testToDuration_2_oe
pool_59_3,"    @Test
    public void testToDuration_3_oe() {
        // removed other assertion
        // removed other assertion
        for (final TimeUnit tu : TimeUnit.values()) {
            // All TimeUnit should be handled.
            assertEquals(Duration.ZERO, PoolImplUtils.toDuration(0, tu));
    }
    }
",TestPoolImplUtils::testToDuration_3_oe
