id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version
pool_3_1,commons-pool2-2.11.1-src,TestKeyedObjectPool,testBaseAddObject_1_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown
pool_3_2,commons-pool2-2.11.1-src,TestKeyedObjectPool,testBaseAddObject_2_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown
pool_3_3,commons-pool2-2.11.1-src,TestKeyedObjectPool,testBaseAddObject_3_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown
pool_3_4,commons-pool2-2.11.1-src,TestKeyedObjectPool,testBaseAddObject_4_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown
pool_3_5,commons-pool2-2.11.1-src,TestKeyedObjectPool,testBaseAddObject_5_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown
pool_3_6,commons-pool2-2.11.1-src,TestKeyedObjectPool,testBaseAddObject_6_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown
pool_3_7,commons-pool2-2.11.1-src,TestKeyedObjectPool,testBaseAddObject_7_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown
pool_3_8,commons-pool2-2.11.1-src,TestKeyedObjectPool,testBaseAddObject_8_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown
pool_3_9,commons-pool2-2.11.1-src,TestKeyedObjectPool,testBaseAddObject_9_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown
pool_3_10,commons-pool2-2.11.1-src,TestKeyedObjectPool,testBaseAddObject_10_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown
pool_3_11,commons-pool2-2.11.1-src,TestKeyedObjectPool,testBaseAddObject_11_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown
