id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version
pool_8_1,commons-pool2-2.11.1-src,TestBaseKeyedPoolableObjectFactory,testDefaultMethods_1_oe,src/test/java/org/apache/commons/pool2/TestBaseKeyedPoolableObjectFactory.java,,,,assert,unknown
pool_49_1,commons-pool2-2.11.1-src,TestTrackedUse,testDefaultGetLastUsedInstant_1_oe,src/test/java/org/apache/commons/pool2/TestTrackedUse.java,,,,assert,unknown
pool_54_1,commons-pool2-2.11.1-src,TestPoolImplUtils,testFactoryTypeNotSimple_1_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_55_1,commons-pool2-2.11.1-src,TestPoolImplUtils,testFactoryTypeSimple_1_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_56_1,commons-pool2-2.11.1-src,TestPoolImplUtils,testMaxInstants_1_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_56_2,commons-pool2-2.11.1-src,TestPoolImplUtils,testMaxInstants_2_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_56_3,commons-pool2-2.11.1-src,TestPoolImplUtils,testMaxInstants_3_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_56_4,commons-pool2-2.11.1-src,TestPoolImplUtils,testMaxInstants_4_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_57_1,commons-pool2-2.11.1-src,TestPoolImplUtils,testMinInstants_1_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_57_2,commons-pool2-2.11.1-src,TestPoolImplUtils,testMinInstants_2_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_57_3,commons-pool2-2.11.1-src,TestPoolImplUtils,testMinInstants_3_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_57_4,commons-pool2-2.11.1-src,TestPoolImplUtils,testMinInstants_4_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_58_1,commons-pool2-2.11.1-src,TestPoolImplUtils,testToChronoUnit_1_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_58_2,commons-pool2-2.11.1-src,TestPoolImplUtils,testToChronoUnit_2_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_58_3,commons-pool2-2.11.1-src,TestPoolImplUtils,testToChronoUnit_3_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_58_4,commons-pool2-2.11.1-src,TestPoolImplUtils,testToChronoUnit_4_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_58_5,commons-pool2-2.11.1-src,TestPoolImplUtils,testToChronoUnit_5_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_58_6,commons-pool2-2.11.1-src,TestPoolImplUtils,testToChronoUnit_6_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_58_7,commons-pool2-2.11.1-src,TestPoolImplUtils,testToChronoUnit_7_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_59_1,commons-pool2-2.11.1-src,TestPoolImplUtils,testToDuration_1_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_59_2,commons-pool2-2.11.1-src,TestPoolImplUtils,testToDuration_2_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_59_3,commons-pool2-2.11.1-src,TestPoolImplUtils,testToDuration_3_oe,src/test/java/org/apache/commons/pool2/impl/TestPoolImplUtils.java,,,,assert,unknown
pool_60_1,commons-pool2-2.11.1-src,TestDefaultPooledObject,testInitialStateActiveDuration_1_oe,src/test/java/org/apache/commons/pool2/impl/TestDefaultPooledObject.java,,,,assert,unknown
pool_60_2,commons-pool2-2.11.1-src,TestDefaultPooledObject,testInitialStateActiveDuration_2_oe,src/test/java/org/apache/commons/pool2/impl/TestDefaultPooledObject.java,,,,assert,unknown
pool_60_3,commons-pool2-2.11.1-src,TestDefaultPooledObject,testInitialStateActiveDuration_3_oe,src/test/java/org/apache/commons/pool2/impl/TestDefaultPooledObject.java,,,,assert,unknown
pool_60_4,commons-pool2-2.11.1-src,TestDefaultPooledObject,testInitialStateActiveDuration_4_oe,src/test/java/org/apache/commons/pool2/impl/TestDefaultPooledObject.java,,,,assert,unknown
pool_60_5,commons-pool2-2.11.1-src,TestDefaultPooledObject,testInitialStateActiveDuration_5_oe,src/test/java/org/apache/commons/pool2/impl/TestDefaultPooledObject.java,,,,assert,unknown
pool_60_6,commons-pool2-2.11.1-src,TestDefaultPooledObject,testInitialStateActiveDuration_6_oe,src/test/java/org/apache/commons/pool2/impl/TestDefaultPooledObject.java,,,,assert,unknown
pool_60_7,commons-pool2-2.11.1-src,TestDefaultPooledObject,testInitialStateActiveDuration_7_oe,src/test/java/org/apache/commons/pool2/impl/TestDefaultPooledObject.java,,,,assert,unknown
pool_60_8,commons-pool2-2.11.1-src,TestDefaultPooledObject,testInitialStateActiveDuration_8_oe,src/test/java/org/apache/commons/pool2/impl/TestDefaultPooledObject.java,,,,assert,unknown
pool_60_9,commons-pool2-2.11.1-src,TestDefaultPooledObject,testInitialStateActiveDuration_9_oe,src/test/java/org/apache/commons/pool2/impl/TestDefaultPooledObject.java,,,,assert,unknown
