id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,dataset_type
commons-pool2_1,commons-pool2,TestBasePoolableObjectFactory,testDefaultMethods_oe,src/test/java/org/apache/commons/pool2/TestBasePoolableObjectFactory.java,,,,multiple
commons-pool2_2,commons-pool2,TestBasePoolableObjectFactory,testDestroyModes_oe,src/test/java/org/apache/commons/pool2/TestBasePoolableObjectFactory.java,,,,multiple
commons-pool2_3,commons-pool2,TestKeyedObjectPool,testBaseAddObject_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,multiple
commons-pool2_4,commons-pool2,TestKeyedObjectPool,testBaseBorrow_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,multiple
commons-pool2_5,commons-pool2,TestKeyedObjectPool,testBaseBorrowReturn_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,multiple
commons-pool2_6,commons-pool2,TestKeyedObjectPool,testBaseClear_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,multiple
commons-pool2_7,commons-pool2,TestKeyedObjectPool,testBaseInvalidateObject_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,multiple
commons-pool2_8,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,multiple
commons-pool2_9,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,multiple
commons-pool2_10,commons-pool2,TestKeyedObjectPool,testClosedPoolBehavior_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,mixed
commons-pool2_11,commons-pool2,TestKeyedObjectPool,testKPOFAddObjectUsage_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,mixed
commons-pool2_12,commons-pool2,TestKeyedObjectPool,testKPOFBorrowObjectUsages_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,mixed
commons-pool2_13,commons-pool2,TestKeyedObjectPool,testKPOFInvalidateObjectUsages_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,mixed
commons-pool2_14,commons-pool2,TestKeyedObjectPool,testKPOFReturnObjectUsages_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,mixed
commons-pool2_15,commons-pool2,PoolTest,testPool_oe,src/test/java/org/apache/commons/pool2/PoolTest.java,,,,multiple
commons-pool2_16,commons-pool2,TestTrackedUse,testDefaultGetLastUsedInstant_oe,src/test/java/org/apache/commons/pool2/TestTrackedUse.java,,,,multiple
commons-pool2_17,commons-pool2,TestPoolUtils,testCheckMinIdleKeyedObjectPool_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,mixed
commons-pool2_18,commons-pool2,TestPoolUtils,testCheckMinIdleKeyedObjectPoolKeys_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,multiple
commons-pool2_19,commons-pool2,TestPoolUtils,testCheckMinIdleKeyedObjectPoolKeysNulls_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,multiple
commons-pool2_20,commons-pool2,TestPoolUtils,testCheckMinIdleObjectPool_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,mixed
commons-pool2_21,commons-pool2,TestPoolUtils,testCheckRethrow_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,multiple
commons-pool2_22,commons-pool2,TestPoolUtils,testErodingObjectPoolDefaultFactor_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,multiple
commons-pool2_23,commons-pool2,TestPoolUtils,testErodingPerKeyKeyedObjectPool_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,mixed
commons-pool2_24,commons-pool2,TestPoolUtils,testErodingPoolKeyedObjectPool_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,mixed
commons-pool2_25,commons-pool2,TestPoolUtils,testErodingPoolKeyedObjectPoolDefaultFactor_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,multiple
commons-pool2_26,commons-pool2,TestPoolUtils,testErodingPoolObjectPool_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,mixed
commons-pool2_27,commons-pool2,TestPoolUtils,testJavaBeanInstantiation_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,multiple
commons-pool2_28,commons-pool2,TestPoolUtils,SuppressWarnings_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,mixed
commons-pool2_29,commons-pool2,TestPoolUtils,SuppressWarnings_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,mixed
commons-pool2_30,commons-pool2,TestPoolUtils,SuppressWarnings_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,mixed
commons-pool2_31,commons-pool2,TestPoolUtils,testSynchronizedPoolableFactoryKeyedPoolableObjectFactory_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,mixed
commons-pool2_32,commons-pool2,TestPoolUtils,testSynchronizedPoolableFactoryPoolableObjectFactory_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,mixed
commons-pool2_33,commons-pool2,TestPoolUtils,testSynchronizedPoolKeyedObjectPool_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,mixed
commons-pool2_34,commons-pool2,TestPoolUtils,testSynchronizedPoolObjectPool_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,mixed
commons-pool2_35,commons-pool2,TestPoolUtils,testTimerHolder_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,multiple
commons-pool2_36,commons-pool2,TestBaseKeyedPoolableObjectFactory,testDefaultMethods_oe,src/test/java/org/apache/commons/pool2/TestBaseKeyedPoolableObjectFactory.java,,,,multiple
commons-pool2_37,commons-pool2,TestObjectPool,testClosedPoolBehavior_oe,src/test/java/org/apache/commons/pool2/TestObjectPool.java,,,,mixed
commons-pool2_38,commons-pool2,TestObjectPool,testPOFAddObjectUsage_oe,src/test/java/org/apache/commons/pool2/TestObjectPool.java,,,,mixed
commons-pool2_39,commons-pool2,TestObjectPool,testPOFBorrowObjectUsages_oe,src/test/java/org/apache/commons/pool2/TestObjectPool.java,,,,mixed
commons-pool2_40,commons-pool2,TestObjectPool,testPOFInvalidateObjectUsages_oe,src/test/java/org/apache/commons/pool2/TestObjectPool.java,,,,mixed
commons-pool2_41,commons-pool2,TestObjectPool,testPOFReturnObjectUsages_oe,src/test/java/org/apache/commons/pool2/TestObjectPool.java,,,,multiple
commons-pool2_42,commons-pool2,TestBaseObjectPool,testBaseAddObject_oe,src/test/java/org/apache/commons/pool2/TestBaseObjectPool.java,,,,multiple
commons-pool2_43,commons-pool2,TestBaseObjectPool,testBaseBorrow_oe,src/test/java/org/apache/commons/pool2/TestBaseObjectPool.java,,,,multiple
commons-pool2_44,commons-pool2,TestBaseObjectPool,testBaseBorrowReturn_oe,src/test/java/org/apache/commons/pool2/TestBaseObjectPool.java,,,,multiple
commons-pool2_45,commons-pool2,TestBaseObjectPool,testBaseClear_oe,src/test/java/org/apache/commons/pool2/TestBaseObjectPool.java,,,,multiple
commons-pool2_46,commons-pool2,TestBaseObjectPool,testBaseClosePool_oe,src/test/java/org/apache/commons/pool2/TestBaseObjectPool.java,,,,multiple
commons-pool2_47,commons-pool2,TestBaseObjectPool,testBaseInvalidateObject_oe,src/test/java/org/apache/commons/pool2/TestBaseObjectPool.java,,,,multiple
commons-pool2_48,commons-pool2,TestBaseObjectPool,testBaseNumActiveNumIdle_oe,src/test/java/org/apache/commons/pool2/TestBaseObjectPool.java,,,,multiple
commons-pool2_49,commons-pool2,TestBaseObjectPool,testUnsupportedOperations_oe,src/test/java/org/apache/commons/pool2/TestBaseObjectPool.java,,,,mixed
commons-pool2_50,commons-pool2,BaseTestProxiedObjectPool,testAccessAfterInvalidate_oe,src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedObjectPool.java,,,,mixed
commons-pool2_51,commons-pool2,BaseTestProxiedObjectPool,testAccessAfterReturn_oe,src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedObjectPool.java,,,,mixed
commons-pool2_52,commons-pool2,BaseTestProxiedObjectPool,testBorrowObject_oe,src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedObjectPool.java,,,,multiple
commons-pool2_53,commons-pool2,BaseTestProxiedObjectPool,testPassThroughMethods01_oe,src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedObjectPool.java,,,,multiple
commons-pool2_54,commons-pool2,BaseTestProxiedObjectPool,testPassThroughMethods02_oe,src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedObjectPool.java,,,,multiple
commons-pool2_55,commons-pool2,BaseTestProxiedObjectPool,testUsageTracking_oe,src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedObjectPool.java,,,,multiple
commons-pool2_56,commons-pool2,BaseTestProxiedKeyedObjectPool,testAccessAfterInvalidate_oe,src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedKeyedObjectPool.java,,,,mixed
commons-pool2_57,commons-pool2,BaseTestProxiedKeyedObjectPool,testAccessAfterReturn_oe,src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedKeyedObjectPool.java,,,,mixed
commons-pool2_58,commons-pool2,BaseTestProxiedKeyedObjectPool,testBorrowObject_oe,src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedKeyedObjectPool.java,,,,multiple
commons-pool2_59,commons-pool2,BaseTestProxiedKeyedObjectPool,testPassThroughMethods01_oe,src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedKeyedObjectPool.java,,,,multiple
commons-pool2_60,commons-pool2,BaseTestProxiedKeyedObjectPool,testPassThroughMethods02_oe,src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedKeyedObjectPool.java,,,,multiple
commons-pool2_61,commons-pool2,BaseTestProxiedKeyedObjectPool,testUsageTracking_oe,src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedKeyedObjectPool.java,,,,multiple
commons-pool2_62,commons-pool2,TestLinkedBlockingDeque,testAdd_oe,src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,,,,mixed
commons-pool2_63,commons-pool2,TestLinkedBlockingDeque,testAddFirst_oe,src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,,,,mixed
commons-pool2_64,commons-pool2,TestLinkedBlockingDeque,testAddLast_oe,src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,,,,mixed
commons-pool2_65,commons-pool2,TestLinkedBlockingDeque,testClear_oe,src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,,,,multiple
commons-pool2_66,commons-pool2,TestLinkedBlockingDeque,testConstructors_oe,src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,,,,mixed
commons-pool2_67,commons-pool2,TestLinkedBlockingDeque,testContains_oe,src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,,,,multiple
commons-pool2_68,commons-pool2,TestLinkedBlockingDeque,testDescendingIterator_oe,src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,,,,mixed
commons-pool2_69,commons-pool2,TestLinkedBlockingDeque,testDrainTo_oe,src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,,,,multiple
commons-pool2_70,commons-pool2,TestLinkedBlockingDeque,testElement_oe,src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,,,,mixed
commons-pool2_71,commons-pool2,TestLinkedBlockingDeque,testGetFirst_oe,src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,,,,mixed
commons-pool2_72,commons-pool2,TestLinkedBlockingDeque,testGetLast_oe,src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,,,,mixed
commons-pool2_73,commons-pool2,TestLinkedBlockingDeque,testIterator_oe,src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,,,,mixed
commons-pool2_74,commons-pool2,TestLinkedBlockingDeque,testOffer_oe,src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,,,,mixed
commons-pool2_75,commons-pool2,TestLinkedBlockingDeque,testOfferFirst_oe,src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,,,,mixed
commons-pool2_76,commons-pool2,TestLinkedBlockingDeque,testOfferFirstWithTimeout_oe,src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,,,,mixed
commons-pool2_77,commons-pool2,TestLinkedBlockingDeque,testOfferLast_oe,src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,,,,mixed
commons-pool2_78,commons-pool2,TestLinkedBlockingDeque,testOfferLastWithTimeout_oe,src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,,,,mixed
commons-pool2_79,commons-pool2,TestLinkedBlockingDeque,testOfferWithTimeout_oe,src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java,,,,mixed
