id,test_prefix,test_name,focal_method,docstring
pool_38_4,"    @Test
    public void testPOFAddObjectUsage_4_oe() throws Exception {
        final MethodCallPoolableObjectFactory factory = new MethodCallPoolableObjectFactory();
        final ObjectPool<Object> pool;
        try {
            pool = makeEmptyPool(factory);
        } catch(final UnsupportedOperationException uoe) {
            return; // test not supported
        }
        final List<MethodCall> expectedMethods = new ArrayList<>();

        pool.addObject();
        assertEquals(0, pool.getNumIdle());
    }",TestObjectPool::testPOFAddObjectUsage_4_oe,"@Override
    public int getNumIdle() {
        return -1;
    }","/**
     * Not supported in this base implementation.
     *
     * @return a negative value.
     */"
pool_44_2,"    @Test
    public void testBaseBorrowReturn_2_oe() throws Exception {
        try {
            pool = makeEmptyPool(3);
        } catch(final UnsupportedOperationException e) {
            return; // skip this test if unsupported
        }
        String obj0 = pool.borrowObject();
        String obj1 = pool.borrowObject();
        assertNotNull(obj1);
    }",TestBaseObjectPool::testBaseBorrowReturn_2_oe,"@Override
        public V borrowObject(final K key) throws Exception,
                NoSuchElementException, IllegalStateException {
            return keyedPool.borrowObject(key);
        }","/**
         * {@inheritDoc}
         */"
pool_44_3,"    @Test
    public void testBaseBorrowReturn_3_oe() throws Exception {
        try {
            pool = makeEmptyPool(3);
        } catch(final UnsupportedOperationException e) {
            return; // skip this test if unsupported
        }
        String obj0 = pool.borrowObject();
        String obj1 = pool.borrowObject();
        String obj2 = pool.borrowObject();
        assertNotNull(obj2);
    }",TestBaseObjectPool::testBaseBorrowReturn_3_oe,"@Override
        public V borrowObject(final K key) throws Exception,
                NoSuchElementException, IllegalStateException {
            return keyedPool.borrowObject(key);
        }","/**
         * {@inheritDoc}
         */"
pool_45_9,"    @Test
    public void testBaseClear_9_oe() throws Exception {
        try {
            pool = makeEmptyPool(3);
        } catch (final UnsupportedOperationException e) {
            return; // skip this test if unsupported
        }
        final String obj0 = pool.borrowObject();
        final String obj1 = pool.borrowObject();
        pool.returnObject(obj1);
        pool.returnObject(obj0);
        pool.clear();
        final Object obj2 = pool.borrowObject();
        assertNotNull(obj2);
    }",TestBaseObjectPool::testBaseClear_9_oe,"@Override
        public V borrowObject(final K key) throws Exception,
                NoSuchElementException, IllegalStateException {
            return keyedPool.borrowObject(key);
        }","/**
         * {@inheritDoc}
         */"
pool_53_4,"    @Test
    public void testPassThroughMethods01_4_oe() throws Exception {

        pool.addObject();

        assertEquals(0, pool.getNumIdle());
    }",BaseTestProxiedObjectPool::testPassThroughMethods01_4_oe,"@Override
    public int getNumIdle() {
        return -1;
    }","/**
     * Not supported in this base implementation.
     *
     * @return a negative value.
     */"
pool_53_5,"    @Test
    public void testPassThroughMethods01_5_oe() throws Exception {

        pool.addObject();


        pool.clear();

        assertEquals(0, pool.getNumActive());
    }",BaseTestProxiedObjectPool::testPassThroughMethods01_5_oe,"@Override
    public int getNumActive() {
        return -1;
    }","/**
     * Not supported in this base implementation.
     *
     * @return a negative value.
     */"
pool_53_6,"    @Test
    public void testPassThroughMethods01_6_oe() throws Exception {

        pool.addObject();


        pool.clear();

        assertEquals(0, pool.getNumIdle());
    }",BaseTestProxiedObjectPool::testPassThroughMethods01_6_oe,"@Override
    public int getNumIdle() {
        return -1;
    }","/**
     * Not supported in this base implementation.
     *
     * @return a negative value.
     */"
pool_59_2,"    @Test
    public void testPassThroughMethods01_2_oe() throws Exception {
        int a = 0;
        assertEquals(0, pool.getNumIdle());
    }",BaseTestProxiedKeyedObjectPool::testPassThroughMethods01_2_oe,"@Override
    public int getNumIdle() {
        return -1;
    }","/**
     * Not supported in this base implementation.
     *
     * @return a negative value.
     */"
pool_62_1,"    @Test
    public void testAdd_1_oe() {
        boolean a = deque.add(ONE);
        assertTrue(a);
    }",TestLinkedBlockingDeque::testAdd_1_oe,"@Override
    public boolean add(final E e) {
        addLast(e);
        return true;
    }","/**
     * {@inheritDoc}
     */"
pool_62_2,"    @Test
    public void testAdd_2_oe() {
        boolean a = deque.add(TWO);
        assertTrue(a);
    }",TestLinkedBlockingDeque::testAdd_2_oe,"@Override
    public boolean add(final E e) {
        addLast(e);
        return true;
    }","/**
     * {@inheritDoc}
     */"
pool_63_1,"    @Test
    public void testAddFirst_1_oe() {
        deque.addFirst(ONE);
        deque.addFirst(TWO);
        assertEquals(1, deque.size());
    }",TestLinkedBlockingDeque::testAddFirst_1_oe,"@Override
    public int size() {
        lock.lock();
        try {
            return count;
        } finally {
            lock.unlock();
        }
    }","/**
     * Returns the number of elements in this deque.
     *
     * @return the number of elements in this deque
     */"
pool_66_1,"    @Test
    public void testConstructors_1_oe() {
        LinkedBlockingDeque<Integer> deque = new LinkedBlockingDeque<>();
        assertEquals(0, deque.remainingCapacity());
    }",TestLinkedBlockingDeque::testConstructors_1_oe,"public int remainingCapacity() {
        lock.lock();
        try {
            return capacity - count;
        } finally {
            lock.unlock();
        }
    }","/**
     * Returns the number of additional elements that this deque can ideally
     * (in the absence of memory or resource constraints) accept without
     * blocking. This is always equal to the initial capacity of this deque
     * less the current {@code size} of this deque.
     *
     * <p>
     * Note that you <em>cannot</em> always tell if an attempt to insert
     * an element will succeed by inspecting {@code remainingCapacity}
     * because it may be the case that another thread is about to
     * insert or remove an element.
     * </p>
     *
     * @return The number of additional elements the queue is able to accept
     */"
pool_66_2,"    @Test
    public void testConstructors_2_oe() {
        LinkedBlockingDeque<Integer> deque = new LinkedBlockingDeque<>();

        deque = new LinkedBlockingDeque<>(2);
        assertEquals(0, deque.remainingCapacity());
    }",TestLinkedBlockingDeque::testConstructors_2_oe,"public int remainingCapacity() {
        lock.lock();
        try {
            return capacity - count;
        } finally {
            lock.unlock();
        }
    }","/**
     * Returns the number of additional elements that this deque can ideally
     * (in the absence of memory or resource constraints) accept without
     * blocking. This is always equal to the initial capacity of this deque
     * less the current {@code size} of this deque.
     *
     * <p>
     * Note that you <em>cannot</em> always tell if an attempt to insert
     * an element will succeed by inspecting {@code remainingCapacity}
     * because it may be the case that another thread is about to
     * insert or remove an element.
     * </p>
     *
     * @return The number of additional elements the queue is able to accept
     */"
pool_70_2,"    @Test
    public void testElement_2_oe() {
        deque.add(ONE);
        deque.add(TWO);
        assertTrue(deque.element());
    }",TestLinkedBlockingDeque::testElement_2_oe,"@Override
    public boolean add(final E e) {
        addLast(e);
        return true;
    }","/**
     * {@inheritDoc}
     */"
pool_71_2,"    @Test
    public void testGetFirst_2_oe() {
        deque.add(ONE);
        deque.add(TWO);
        assertTrue(deque.getFirst());
    }",TestLinkedBlockingDeque::testGetFirst_2_oe,"@Override
    public boolean add(final E e) {
        addLast(e);
        return true;
    }","/**
     * {@inheritDoc}
     */"
pool_72_2,"    @Test
    public void testGetLast_2_oe() {
        deque.add(ONE);
        deque.add(TWO);
        assertTrue(deque.getLast());
    }",TestLinkedBlockingDeque::testGetLast_2_oe,"@Override
    public boolean add(final E e) {
        addLast(e);
        return true;
    }","/**
     * {@inheritDoc}
     */"
pool_74_2,"    @Test
    public void testOffer_2_oe() {
        boolean a = deque.offer(TWO);
        assertFalse(a);
    }",TestLinkedBlockingDeque::testOffer_2_oe,"@Override
    public boolean offer(final E e) {
        return offerLast(e);
    }","/**
     * {@inheritDoc}
     */"
pool_74_3,"    @Test
    public void testOffer_3_oe() {
        boolean a = deque.offer(THREE);
        assertTrue(a);
    }",TestLinkedBlockingDeque::testOffer_3_oe,"@Override
    public boolean offer(final E e) {
        return offerLast(e);
    }","/**
     * {@inheritDoc}
     */"
pool_75_1,"    @Test
    public void testOfferFirst_1_oe() {
        deque.offerFirst(ONE);
        deque.offerFirst(TWO);
        assertEquals(0, deque.size());
    }",TestLinkedBlockingDeque::testOfferFirst_1_oe,"@Override
    public int size() {
        lock.lock();
        try {
            return count;
        } finally {
            lock.unlock();
        }
    }","/**
     * Returns the number of elements in this deque.
     *
     * @return the number of elements in this deque
     */"
pool_75_3,"    @Test
    public void testOfferFirst_3_oe() {
        deque.offerFirst(ONE);
        deque.offerFirst(TWO);
        assertTrue(deque.pop());
    }",TestLinkedBlockingDeque::testOfferFirst_3_oe,"@Override
    public boolean offerFirst(final E e) {
        Objects.requireNonNull(e, ""e"");
        lock.lock();
        try {
            return linkFirst(e);
        } finally {
            lock.unlock();
        }
    }","/**
     * {@inheritDoc}
     */"
