id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
pool_102_1,commons-pool2,TestGenericObjectPool,testAbandonedPool_1_oe,src/test/java/org/apache/commons/pool2/impl/TestGenericObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_119_3,commons-pool2,TestGenericObjectPool,testExceptionInValidationDuringEviction_3_oe,src/test/java/org/apache/commons/pool2/impl/TestGenericObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_120_5,commons-pool2,TestGenericObjectPool,testExceptionOnActivateDuringBorrow_5_oe,src/test/java/org/apache/commons/pool2/impl/TestGenericObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_125_2,commons-pool2,TestGenericObjectPool,testFIFO_2_oe,src/test/java/org/apache/commons/pool2/impl/TestGenericObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_125_3,commons-pool2,TestGenericObjectPool,testFIFO_3_oe,src/test/java/org/apache/commons/pool2/impl/TestGenericObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_125_4,commons-pool2,TestGenericObjectPool,testFIFO_4_oe,src/test/java/org/apache/commons/pool2/impl/TestGenericObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_125_5,commons-pool2,TestGenericObjectPool,testFIFO_5_oe,src/test/java/org/apache/commons/pool2/impl/TestGenericObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_125_6,commons-pool2,TestGenericObjectPool,testFIFO_6_oe,src/test/java/org/apache/commons/pool2/impl/TestGenericObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_135_2,commons-pool2,TestGenericObjectPool,testLIFO_2_oe,src/test/java/org/apache/commons/pool2/impl/TestGenericObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_135_3,commons-pool2,TestGenericObjectPool,testLIFO_3_oe,src/test/java/org/apache/commons/pool2/impl/TestGenericObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_135_4,commons-pool2,TestGenericObjectPool,testLIFO_4_oe,src/test/java/org/apache/commons/pool2/impl/TestGenericObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_135_6,commons-pool2,TestGenericObjectPool,testLIFO_6_oe,src/test/java/org/apache/commons/pool2/impl/TestGenericObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_139_1,commons-pool2,TestGenericObjectPool,testMaxIdleZeroUnderLoad_1_oe,src/test/java/org/apache/commons/pool2/impl/TestGenericObjectPool.java,,,,assert,unknown,standard,fail
pool_141_1,commons-pool2,TestGenericObjectPool,testMaxTotalUnderLoad_1_oe,src/test/java/org/apache/commons/pool2/impl/TestGenericObjectPool.java,,,,assert,unknown,standard,fail
pool_293_3,commons-pool2,TestSoftRefOutOfMemory,testOutOfMemory_3_oe,src/test/java/org/apache/commons/pool2/impl/TestSoftRefOutOfMemory.java,,,,assert,unknown,standard,assertEquals
pool_293_4,commons-pool2,TestSoftRefOutOfMemory,testOutOfMemory_4_oe,src/test/java/org/apache/commons/pool2/impl/TestSoftRefOutOfMemory.java,,,,assert,unknown,standard,assertEquals
pool_294_1,commons-pool2,TestSoftRefOutOfMemory,testOutOfMemory1000_1_oe,src/test/java/org/apache/commons/pool2/impl/TestSoftRefOutOfMemory.java,,,,assert,unknown,standard,assertEquals
pool_294_3,commons-pool2,TestSoftRefOutOfMemory,testOutOfMemory1000_3_oe,src/test/java/org/apache/commons/pool2/impl/TestSoftRefOutOfMemory.java,,,,assert,unknown,standard,assertEquals
pool_294_4,commons-pool2,TestSoftRefOutOfMemory,testOutOfMemory1000_4_oe,src/test/java/org/apache/commons/pool2/impl/TestSoftRefOutOfMemory.java,,,,assert,unknown,standard,assertEquals
pool_296_3,commons-pool2,TestSoftRefOutOfMemory,testOutOfMemoryLarge_3_oe,src/test/java/org/apache/commons/pool2/impl/TestSoftRefOutOfMemory.java,,,,assert,unknown,standard,assertTrue
pool_296_4,commons-pool2,TestSoftRefOutOfMemory,testOutOfMemoryLarge_4_oe,src/test/java/org/apache/commons/pool2/impl/TestSoftRefOutOfMemory.java,,,,assert,unknown,standard,assertEquals
