id,test_prefix,test_name
pool_3_1,"    @Test
    public void testBaseAddObject_1_oe() throws Exception {
        try {
            pool = makeEmptyPool(3);
        } catch(final UnsupportedOperationException uoe) {
            return; // skip this test if unsupported
        }
        final Object key = makeKey(0);
        try {
            assertEquals(0,pool.getNumIdle());
    }
    }
",TestKeyedObjectPool::testBaseAddObject_1_oe
pool_3_2,"    @Test
    public void testBaseAddObject_2_oe() throws Exception {
        try {
            pool = makeEmptyPool(3);
        } catch(final UnsupportedOperationException uoe) {
            return; // skip this test if unsupported
        }
        final Object key = makeKey(0);
        try {
            // removed other assertion
            assertEquals(0,pool.getNumActive());
    }
    }
",TestKeyedObjectPool::testBaseAddObject_2_oe
pool_3_3,"    @Test
    public void testBaseAddObject_3_oe() throws Exception {
        try {
            pool = makeEmptyPool(3);
        } catch(final UnsupportedOperationException uoe) {
            return; // skip this test if unsupported
        }
        final Object key = makeKey(0);
        try {
            // removed other assertion
            // removed other assertion
            assertEquals(0,pool.getNumIdle(key));
    }
    }
",TestKeyedObjectPool::testBaseAddObject_3_oe
pool_3_4,"    @Test
    public void testBaseAddObject_4_oe() throws Exception {
        try {
            pool = makeEmptyPool(3);
        } catch(final UnsupportedOperationException uoe) {
            return; // skip this test if unsupported
        }
        final Object key = makeKey(0);
        try {
            // removed other assertion
            // removed other assertion
            // removed other assertion
            assertEquals(0,pool.getNumActive(key));
    }
    }
",TestKeyedObjectPool::testBaseAddObject_4_oe
pool_3_5,"    @Test
    public void testBaseAddObject_5_oe() throws Exception {
        try {
            pool = makeEmptyPool(3);
        } catch(final UnsupportedOperationException uoe) {
            return; // skip this test if unsupported
        }
        final Object key = makeKey(0);
        try {
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            pool.addObject(key);
            assertEquals(1,pool.getNumIdle());
    }
    }
",TestKeyedObjectPool::testBaseAddObject_5_oe
pool_3_6,"    @Test
    public void testBaseAddObject_6_oe() throws Exception {
        try {
            pool = makeEmptyPool(3);
        } catch(final UnsupportedOperationException uoe) {
            return; // skip this test if unsupported
        }
        final Object key = makeKey(0);
        try {
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            pool.addObject(key);
            // removed other assertion
            assertEquals(0,pool.getNumActive());
    }
    }
",TestKeyedObjectPool::testBaseAddObject_6_oe
pool_3_7,"    @Test
    public void testBaseAddObject_7_oe() throws Exception {
        try {
            pool = makeEmptyPool(3);
        } catch(final UnsupportedOperationException uoe) {
            return; // skip this test if unsupported
        }
        final Object key = makeKey(0);
        try {
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            pool.addObject(key);
            // removed other assertion
            // removed other assertion
            assertEquals(1,pool.getNumIdle(key));
    }
    }
",TestKeyedObjectPool::testBaseAddObject_7_oe
pool_3_8,"    @Test
    public void testBaseAddObject_8_oe() throws Exception {
        try {
            pool = makeEmptyPool(3);
        } catch(final UnsupportedOperationException uoe) {
            return; // skip this test if unsupported
        }
        final Object key = makeKey(0);
        try {
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            pool.addObject(key);
            // removed other assertion
            // removed other assertion
            // removed other assertion
            assertEquals(0,pool.getNumActive(key));
    }
    }
",TestKeyedObjectPool::testBaseAddObject_8_oe
pool_3_9,"    @Test
    public void testBaseAddObject_9_oe() throws Exception {
        try {
            pool = makeEmptyPool(3);
        } catch(final UnsupportedOperationException uoe) {
            return; // skip this test if unsupported
        }
        final Object key = makeKey(0);
        try {
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            pool.addObject(key);
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            final Object obj = pool.borrowObject(key);
            assertEquals(getNthObject(key,0),obj);
    }
    }
",TestKeyedObjectPool::testBaseAddObject_9_oe
pool_3_10,"    @Test
    public void testBaseAddObject_10_oe() throws Exception {
        try {
            pool = makeEmptyPool(3);
        } catch(final UnsupportedOperationException uoe) {
            return; // skip this test if unsupported
        }
        final Object key = makeKey(0);
        try {
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            pool.addObject(key);
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            final Object obj = pool.borrowObject(key);
            // removed other assertion
            assertEquals(0,pool.getNumIdle());
    }
    }
",TestKeyedObjectPool::testBaseAddObject_10_oe
