id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
pool_17_2,commons-pool2,TestPoolUtils,testCheckMinIdleKeyedObjectPool_2_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertThrows
pool_17_3,commons-pool2,TestPoolUtils,testCheckMinIdleKeyedObjectPool_3_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertThrows
pool_17_4,commons-pool2,TestPoolUtils,testCheckMinIdleKeyedObjectPool_4_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_17_5,commons-pool2,TestPoolUtils,testCheckMinIdleKeyedObjectPool_5_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_17_6,commons-pool2,TestPoolUtils,testCheckMinIdleKeyedObjectPool_6_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_19_1,commons-pool2,TestPoolUtils,testCheckMinIdleKeyedObjectPoolKeysNulls_1_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertThrows
pool_20_2,commons-pool2,TestPoolUtils,testCheckMinIdleObjectPool_2_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertThrows
pool_20_3,commons-pool2,TestPoolUtils,testCheckMinIdleObjectPool_3_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_20_4,commons-pool2,TestPoolUtils,testCheckMinIdleObjectPool_4_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_22_1,commons-pool2,TestPoolUtils,testErodingObjectPoolDefaultFactor_1_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_23_4,commons-pool2,TestPoolUtils,testErodingPerKeyKeyedObjectPool_4_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_23_5,commons-pool2,TestPoolUtils,testErodingPerKeyKeyedObjectPool_5_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_23_6,commons-pool2,TestPoolUtils,testErodingPerKeyKeyedObjectPool_6_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_23_7,commons-pool2,TestPoolUtils,testErodingPerKeyKeyedObjectPool_7_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_23_8,commons-pool2,TestPoolUtils,testErodingPerKeyKeyedObjectPool_8_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_23_9,commons-pool2,TestPoolUtils,testErodingPerKeyKeyedObjectPool_9_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_24_6,commons-pool2,TestPoolUtils,testErodingPoolKeyedObjectPool_6_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_24_7,commons-pool2,TestPoolUtils,testErodingPoolKeyedObjectPool_7_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_24_8,commons-pool2,TestPoolUtils,testErodingPoolKeyedObjectPool_8_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_24_9,commons-pool2,TestPoolUtils,testErodingPoolKeyedObjectPool_9_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_24_10,commons-pool2,TestPoolUtils,testErodingPoolKeyedObjectPool_10_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_24_12,commons-pool2,TestPoolUtils,testErodingPoolKeyedObjectPool_12_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_25_1,commons-pool2,TestPoolUtils,testErodingPoolKeyedObjectPoolDefaultFactor_1_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_26_4,commons-pool2,TestPoolUtils,testErodingPoolObjectPool_4_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_26_5,commons-pool2,TestPoolUtils,testErodingPoolObjectPool_5_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_26_6,commons-pool2,TestPoolUtils,testErodingPoolObjectPool_6_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_26_7,commons-pool2,TestPoolUtils,testErodingPoolObjectPool_7_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_26_8,commons-pool2,TestPoolUtils,testErodingPoolObjectPool_8_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_26_10,commons-pool2,TestPoolUtils,testErodingPoolObjectPool_10_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_28_2,commons-pool2,TestPoolUtils,testPrefillKeyedObjectPool_2_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertThrows
pool_28_3,commons-pool2,TestPoolUtils,testPrefillKeyedObjectPool_3_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_28_4,commons-pool2,TestPoolUtils,testPrefillKeyedObjectPool_4_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_29_1,commons-pool2,TestPoolUtils,testPrefillKeyedObjectPoolCollection_1_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertThrows
pool_29_2,commons-pool2,TestPoolUtils,testPrefillKeyedObjectPoolCollection_2_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_29_3,commons-pool2,TestPoolUtils,testPrefillKeyedObjectPoolCollection_3_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
pool_30_2,commons-pool2,TestPoolUtils,testPrefillObjectPool_2_oe,src/test/java/org/apache/commons/pool2/TestPoolUtils.java,,,,assert,unknown,standard,assertEquals
