id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
pool_left_1_1,commons-pool2,TestBasePoolableObjectFactory,testDefaultMethods_1_oe,src/test/java/org/apache/commons/pool2/TestBasePoolableObjectFactory.java,,,,assert,unknown,standard,assertTrue
pool_left_2_1,commons-pool2,TestBasePoolableObjectFactory,testDestroyModes_1_oe,src/test/java/org/apache/commons/pool2/TestBasePoolableObjectFactory.java,,,,assert,unknown,standard,assertEquals
pool_left_2_2,commons-pool2,TestBasePoolableObjectFactory,testDestroyModes_2_oe,src/test/java/org/apache/commons/pool2/TestBasePoolableObjectFactory.java,,,,assert,unknown,standard,assertEquals
pool_left_3_1,commons-pool2,TestKeyedObjectPool,testBaseAddObject_1_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_3_2,commons-pool2,TestKeyedObjectPool,testBaseAddObject_2_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_3_3,commons-pool2,TestKeyedObjectPool,testBaseAddObject_3_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_3_4,commons-pool2,TestKeyedObjectPool,testBaseAddObject_4_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_3_5,commons-pool2,TestKeyedObjectPool,testBaseAddObject_5_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_3_6,commons-pool2,TestKeyedObjectPool,testBaseAddObject_6_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_3_7,commons-pool2,TestKeyedObjectPool,testBaseAddObject_7_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_3_8,commons-pool2,TestKeyedObjectPool,testBaseAddObject_8_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_3_9,commons-pool2,TestKeyedObjectPool,testBaseAddObject_9_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_3_10,commons-pool2,TestKeyedObjectPool,testBaseAddObject_10_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_3_11,commons-pool2,TestKeyedObjectPool,testBaseAddObject_11_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_3_12,commons-pool2,TestKeyedObjectPool,testBaseAddObject_12_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_3_13,commons-pool2,TestKeyedObjectPool,testBaseAddObject_13_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_3_14,commons-pool2,TestKeyedObjectPool,testBaseAddObject_14_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_3_15,commons-pool2,TestKeyedObjectPool,testBaseAddObject_15_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_3_16,commons-pool2,TestKeyedObjectPool,testBaseAddObject_16_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_3_17,commons-pool2,TestKeyedObjectPool,testBaseAddObject_17_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_4_1,commons-pool2,TestKeyedObjectPool,testBaseBorrow_1_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_4_2,commons-pool2,TestKeyedObjectPool,testBaseBorrow_2_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_4_3,commons-pool2,TestKeyedObjectPool,testBaseBorrow_3_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_4_4,commons-pool2,TestKeyedObjectPool,testBaseBorrow_4_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_4_5,commons-pool2,TestKeyedObjectPool,testBaseBorrow_5_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_4_6,commons-pool2,TestKeyedObjectPool,testBaseBorrow_6_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_5_1,commons-pool2,TestKeyedObjectPool,testBaseBorrowReturn_1_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_5_2,commons-pool2,TestKeyedObjectPool,testBaseBorrowReturn_2_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_5_3,commons-pool2,TestKeyedObjectPool,testBaseBorrowReturn_3_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_5_4,commons-pool2,TestKeyedObjectPool,testBaseBorrowReturn_4_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_5_5,commons-pool2,TestKeyedObjectPool,testBaseBorrowReturn_5_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_5_6,commons-pool2,TestKeyedObjectPool,testBaseBorrowReturn_6_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_5_7,commons-pool2,TestKeyedObjectPool,testBaseBorrowReturn_7_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_5_8,commons-pool2,TestKeyedObjectPool,testBaseBorrowReturn_8_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_5_9,commons-pool2,TestKeyedObjectPool,testBaseBorrowReturn_9_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_6_1,commons-pool2,TestKeyedObjectPool,testBaseClear_1_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_6_2,commons-pool2,TestKeyedObjectPool,testBaseClear_2_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_6_3,commons-pool2,TestKeyedObjectPool,testBaseClear_3_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_6_4,commons-pool2,TestKeyedObjectPool,testBaseClear_4_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_6_5,commons-pool2,TestKeyedObjectPool,testBaseClear_5_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_6_6,commons-pool2,TestKeyedObjectPool,testBaseClear_6_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_6_7,commons-pool2,TestKeyedObjectPool,testBaseClear_7_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_6_8,commons-pool2,TestKeyedObjectPool,testBaseClear_8_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_6_9,commons-pool2,TestKeyedObjectPool,testBaseClear_9_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_7_1,commons-pool2,TestKeyedObjectPool,testBaseInvalidateObject_1_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_7_2,commons-pool2,TestKeyedObjectPool,testBaseInvalidateObject_2_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_7_3,commons-pool2,TestKeyedObjectPool,testBaseInvalidateObject_3_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_7_4,commons-pool2,TestKeyedObjectPool,testBaseInvalidateObject_4_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_7_5,commons-pool2,TestKeyedObjectPool,testBaseInvalidateObject_5_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_7_6,commons-pool2,TestKeyedObjectPool,testBaseInvalidateObject_6_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_7_7,commons-pool2,TestKeyedObjectPool,testBaseInvalidateObject_7_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_7_8,commons-pool2,TestKeyedObjectPool,testBaseInvalidateObject_8_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_8_1,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle_1_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_8_2,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle_2_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_8_3,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle_3_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_8_4,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle_4_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_8_5,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle_5_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_8_6,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle_6_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_8_7,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle_7_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_8_8,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle_8_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_8_9,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle_9_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_8_10,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle_10_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_8_11,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle_11_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_8_12,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle_12_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_1,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_1_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_2,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_2_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_3,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_3_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_4,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_4_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_5,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_5_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_6,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_6_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_7,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_7_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_8,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_8_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_9,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_9_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_10,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_10_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_11,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_11_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_12,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_12_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_13,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_13_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_14,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_14_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_15,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_15_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_16,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_16_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_17,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_17_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_18,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_18_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_19,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_19_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_20,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_20_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_21,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_21_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_22,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_22_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_23,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_23_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_24,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_24_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_25,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_25_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_26,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_26_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_27,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_27_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_28,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_28_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_29,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_29_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_9_30,commons-pool2,TestKeyedObjectPool,testBaseNumActiveNumIdle2_30_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_10_1,commons-pool2,TestKeyedObjectPool,testClosedPoolBehavior_1_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertThrows
pool_left_10_2,commons-pool2,TestKeyedObjectPool,testClosedPoolBehavior_2_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertThrows
pool_left_10_3,commons-pool2,TestKeyedObjectPool,testClosedPoolBehavior_3_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_10_4,commons-pool2,TestKeyedObjectPool,testClosedPoolBehavior_4_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_10_5,commons-pool2,TestKeyedObjectPool,testClosedPoolBehavior_5_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_10_6,commons-pool2,TestKeyedObjectPool,testClosedPoolBehavior_6_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_11_1,commons-pool2,TestKeyedObjectPool,testKPOFAddObjectUsage_1_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_11_2,commons-pool2,TestKeyedObjectPool,testKPOFAddObjectUsage_2_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertThrows
pool_left_11_3,commons-pool2,TestKeyedObjectPool,testKPOFAddObjectUsage_3_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_11_4,commons-pool2,TestKeyedObjectPool,testKPOFAddObjectUsage_4_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertThrows
pool_left_11_5,commons-pool2,TestKeyedObjectPool,testKPOFAddObjectUsage_5_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_12_1,commons-pool2,TestKeyedObjectPool,testKPOFBorrowObjectUsages_1_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
pool_left_12_2,commons-pool2,TestKeyedObjectPool,testKPOFBorrowObjectUsages_2_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,fail
pool_left_12_3,commons-pool2,TestKeyedObjectPool,testKPOFBorrowObjectUsages_3_oe,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,assert,unknown,standard,assertEquals
