id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version
rng-_1_1,commons-rng-1.4-src,CollectionSamplerTest,testSampleTrivial_1_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CollectionSamplerTest.java,,,,assert,unknown
rng-_2_1,commons-rng-1.4-src,CollectionSamplerTest,testSamplePrecondition_1_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CollectionSamplerTest.java,,,,assert,unknown
rng-_3_1,commons-rng-1.4-src,CompositeSamplersTest,testDiscreteProbabilitySampler_1_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CompositeSamplersTest.java,,,,assert,unknown
rng-_4_1,commons-rng-1.4-src,CompositeSamplersTest,testEmptyBuilderThrows_1_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CompositeSamplersTest.java,,,,assert,unknown
rng-_4_2,commons-rng-1.4-src,CompositeSamplersTest,testEmptyBuilderThrows_2_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CompositeSamplersTest.java,,,,assert,unknown
rng-_5_1,commons-rng-1.4-src,CompositeSamplersTest,testNullSharedStateObjectSamplerThrows_1_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CompositeSamplersTest.java,,,,assert,unknown
rng-_6_1,commons-rng-1.4-src,CompositeSamplersTest,testInvalidWeights_1_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CompositeSamplersTest.java,,,,assert,unknown
rng-_6_2,commons-rng-1.4-src,CompositeSamplersTest,testInvalidWeights_2_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CompositeSamplersTest.java,,,,assert,unknown
rng-_6_3,commons-rng-1.4-src,CompositeSamplersTest,testInvalidWeights_3_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CompositeSamplersTest.java,,,,assert,unknown
rng-_7_1,commons-rng-1.4-src,CompositeSamplersTest,testSingleSharedStateObjectSampler_1_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CompositeSamplersTest.java,,,,assert,unknown
rng-_7_2,commons-rng-1.4-src,CompositeSamplersTest,testSingleSharedStateObjectSampler_2_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CompositeSamplersTest.java,,,,assert,unknown
rng-_8_1,commons-rng-1.4-src,CompositeSamplersTest,testSharedStateObjectSamplerSamplesWithCustomSharedStateDiscreteSamplerFactory_1_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CompositeSamplersTest.java,,,,assert,unknown
rng-_9_1,commons-rng-1.4-src,CompositeSamplersTest,testSharedStateObjectSamplerSamplesWithCustomDiscreteSamplerFactory_1_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CompositeSamplersTest.java,,,,assert,unknown
rng-_10_1,commons-rng-1.4-src,CompositeSamplersTest,testObjectSamplerSamplesWithVeryLargeWeights_1_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CompositeSamplersTest.java,,,,assert,unknown
rng-_11_1,commons-rng-1.4-src,CompositeSamplersTest,testObjectSamplerSamplesWithSubNormalWeights_1_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CompositeSamplersTest.java,,,,assert,unknown
rng-_11_2,commons-rng-1.4-src,CompositeSamplersTest,testObjectSamplerSamplesWithSubNormalWeights_2_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CompositeSamplersTest.java,,,,assert,unknown
rng-_11_3,commons-rng-1.4-src,CompositeSamplersTest,testObjectSamplerSamplesWithSubNormalWeights_3_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CompositeSamplersTest.java,,,,assert,unknown
rng-_11_4,commons-rng-1.4-src,CompositeSamplersTest,testObjectSamplerSamplesWithSubNormalWeights_4_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CompositeSamplersTest.java,,,,assert,unknown
rng-_12_1,commons-rng-1.4-src,CombinationSamplerTest,testSampleWhenNequalsKIsNotShuffled_1_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CombinationSamplerTest.java,,,,assert,unknown
rng-_12_2,commons-rng-1.4-src,CombinationSamplerTest,testSampleWhenNequalsKIsNotShuffled_2_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CombinationSamplerTest.java,,,,assert,unknown
rng-_13_1,commons-rng-1.4-src,CombinationSamplerTest,testKgreaterThanNThrows_1_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CombinationSamplerTest.java,,,,assert,unknown
rng-_14_1,commons-rng-1.4-src,CombinationSamplerTest,testNequalsZeroThrows_1_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CombinationSamplerTest.java,,,,assert,unknown
rng-_15_1,commons-rng-1.4-src,CombinationSamplerTest,testKequalsZeroThrows_1_oe,commons-rng-sampling/src/test/java/org/apache/commons/rng/sampling/CombinationSamplerTest.java,,,,assert,unknown
