id,test_prefix,test_name
rng_11_1_1,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_1_oe_1_oe(ProvidersList.Data data) {
        final RandomSource originalSource = data.getSource();
        final Object originalSeed = data.getSeed();
        final Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
        final UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
        final UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        RandomAssert.        final UniformRandomProvider rng11 = rng1;
        final UniformRandomProvider rng21 = rng2;
        for (int i = 0; i < 54; i++) {
                    Assertions.assertEquals(rng11.nextBoolean(), rng21.nextBoolean());
    }
    }
",ProvidersCommonParametricTest::testUnrestorable_1_oe_1_oe
rng_11_1_2,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_1_oe_2_oe(ProvidersList.Data data) {
        final RandomSource originalSource = data.getSource();
        final Object originalSeed = data.getSeed();
        final Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
        final UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
        final UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        RandomAssert.        final UniformRandomProvider rng11 = rng1;
        final UniformRandomProvider rng21 = rng2;
        for (int i = 0; i < 54; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 23; i++) {
                    Assertions.assertEquals(rng11.nextInt(), rng21.nextInt());
    }
    }
",ProvidersCommonParametricTest::testUnrestorable_1_oe_2_oe
rng_11_1_3,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_1_oe_3_oe(ProvidersList.Data data) {
        final RandomSource originalSource = data.getSource();
        final Object originalSeed = data.getSeed();
        final Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
        final UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
        final UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        RandomAssert.        final UniformRandomProvider rng11 = rng1;
        final UniformRandomProvider rng21 = rng2;
        for (int i = 0; i < 54; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 23; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 4; i++) {
                    for (int j = 0; j < 5; j++) {
                        final int max = 107 * i + 374 * j + 11;
                        Assertions.assertEquals(rng11.nextInt(max), rng21.nextInt(max));
    }
    }
    }
",ProvidersCommonParametricTest::testUnrestorable_1_oe_3_oe
rng_11_1_4,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_1_oe_4_oe(ProvidersList.Data data) {
        final RandomSource originalSource = data.getSource();
        final Object originalSeed = data.getSeed();
        final Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
        final UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
        final UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        RandomAssert.        final UniformRandomProvider rng11 = rng1;
        final UniformRandomProvider rng21 = rng2;
        for (int i = 0; i < 54; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 23; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 4; i++) {
                    for (int j = 0; j < 5; j++) {
                        final int max = 107 * i + 374 * j + 11;
                        // removed other assertion
                    }
                }
                for (int i = 0; i < 23; i++) {
                    Assertions.assertEquals(rng11.nextLong(), rng21.nextLong());
    }
    }
",ProvidersCommonParametricTest::testUnrestorable_1_oe_4_oe
rng_11_1_5,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_1_oe_5_oe(ProvidersList.Data data) {
        final RandomSource originalSource = data.getSource();
        final Object originalSeed = data.getSeed();
        final Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
        final UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
        final UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        RandomAssert.        final UniformRandomProvider rng11 = rng1;
        final UniformRandomProvider rng21 = rng2;
        for (int i = 0; i < 54; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 23; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 4; i++) {
                    for (int j = 0; j < 5; j++) {
                        final int max = 107 * i + 374 * j + 11;
                        // removed other assertion
                    }
                }
                for (int i = 0; i < 23; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 4; i++) {
                    for (int j = 0; j < 5; j++) {
                        final long max = (Long.MAX_VALUE << 2) + 107 * i + 374 * j + 11;
                        Assertions.assertEquals(rng11.nextLong(max), rng21.nextLong(max));
    }
    }
    }
",ProvidersCommonParametricTest::testUnrestorable_1_oe_5_oe
rng_11_1_6,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_1_oe_6_oe(ProvidersList.Data data) {
        final RandomSource originalSource = data.getSource();
        final Object originalSeed = data.getSeed();
        final Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
        final UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
        final UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        RandomAssert.        final UniformRandomProvider rng11 = rng1;
        final UniformRandomProvider rng21 = rng2;
        for (int i = 0; i < 54; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 23; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 4; i++) {
                    for (int j = 0; j < 5; j++) {
                        final int max = 107 * i + 374 * j + 11;
                        // removed other assertion
                    }
                }
                for (int i = 0; i < 23; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 4; i++) {
                    for (int j = 0; j < 5; j++) {
                        final long max = (Long.MAX_VALUE << 2) + 107 * i + 374 * j + 11;
                        // removed other assertion
                    }
                }
                for (int i = 0; i < 103; i++) {
                    Assertions.assertEquals(rng11.nextFloat(), rng21.nextFloat());
    }
    }
",ProvidersCommonParametricTest::testUnrestorable_1_oe_6_oe
rng_11_1_7,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_1_oe_7_oe(ProvidersList.Data data) {
        final RandomSource originalSource = data.getSource();
        final Object originalSeed = data.getSeed();
        final Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
        final UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
        final UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        RandomAssert.        final UniformRandomProvider rng11 = rng1;
        final UniformRandomProvider rng21 = rng2;
        for (int i = 0; i < 54; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 23; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 4; i++) {
                    for (int j = 0; j < 5; j++) {
                        final int max = 107 * i + 374 * j + 11;
                        // removed other assertion
                    }
                }
                for (int i = 0; i < 23; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 4; i++) {
                    for (int j = 0; j < 5; j++) {
                        final long max = (Long.MAX_VALUE << 2) + 107 * i + 374 * j + 11;
                        // removed other assertion
                    }
                }
                for (int i = 0; i < 103; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 79; i++) {
                    Assertions.assertEquals(rng11.nextDouble(), rng21.nextDouble());
    }
    }
",ProvidersCommonParametricTest::testUnrestorable_1_oe_7_oe
rng_11_1_8,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_1_oe_8_oe(ProvidersList.Data data) {
        final RandomSource originalSource = data.getSource();
        final Object originalSeed = data.getSeed();
        final Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
        final UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
        final UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        RandomAssert.        final UniformRandomProvider rng11 = rng1;
        final UniformRandomProvider rng21 = rng2;
        for (int i = 0; i < 54; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 23; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 4; i++) {
                    for (int j = 0; j < 5; j++) {
                        final int max = 107 * i + 374 * j + 11;
                        // removed other assertion
                    }
                }
                for (int i = 0; i < 23; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 4; i++) {
                    for (int j = 0; j < 5; j++) {
                        final long max = (Long.MAX_VALUE << 2) + 107 * i + 374 * j + 11;
                        // removed other assertion
                    }
                }
                for (int i = 0; i < 103; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 79; i++) {
                    // removed other assertion
                }
        
                final int size = 345;
                final byte[] a1 = new byte[size];
                final byte[] a2 = new byte[size];
        
                for (int i = 0; i < 3; i++) {
                    rng11.nextBytes(a1);
                    rng21.nextBytes(a2);
                    Assertions.assertArrayEquals(a1, a2);
    }
    }
",ProvidersCommonParametricTest::testUnrestorable_1_oe_8_oe
rng_11_1_9,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_1_oe_9_oe(ProvidersList.Data data) {
        final RandomSource originalSource = data.getSource();
        final Object originalSeed = data.getSeed();
        final Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
        final UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
        final UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        RandomAssert.        final UniformRandomProvider rng11 = rng1;
        final UniformRandomProvider rng21 = rng2;
        for (int i = 0; i < 54; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 23; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 4; i++) {
                    for (int j = 0; j < 5; j++) {
                        final int max = 107 * i + 374 * j + 11;
                        // removed other assertion
                    }
                }
                for (int i = 0; i < 23; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 4; i++) {
                    for (int j = 0; j < 5; j++) {
                        final long max = (Long.MAX_VALUE << 2) + 107 * i + 374 * j + 11;
                        // removed other assertion
                    }
                }
                for (int i = 0; i < 103; i++) {
                    // removed other assertion
                }
                for (int i = 0; i < 79; i++) {
                    // removed other assertion
                }
        
                final int size = 345;
                final byte[] a1 = new byte[size];
                final byte[] a2 = new byte[size];
        
                for (int i = 0; i < 3; i++) {
                    rng11.nextBytes(a1);
                    rng21.nextBytes(a2);
                    // removed other assertion
                }
        
                for (int i = 0; i < 5; i++) {
                    final int offset = 200 + i;
                    final int n = 23 + i;
                    rng11.nextBytes(a1, offset, n);
                    rng21.nextBytes(a2, offset, n);
                    Assertions.assertArrayEquals(a1, a2);
    }
    }
",ProvidersCommonParametricTest::testUnrestorable_1_oe_9_oe
rng_46_1_1,"    @Test
    void testCreateLong_1_oe_1_oe() {
        final Map<Long, Integer> values = new HashMap<>();

        final int n = 100000;
        for (int i = 0; i < n; i++) {
            final long v = SeedFactory.createLong();

            Integer count = values.get(v);
            if (count == null) {
                count = 0;
            }
            values.put(v, count + 1);
        }

        // Check that all seeds are different.
                final Integer> map = values;
        final StringBuilder sb = new StringBuilder();
        
                int duplicates = 0;
                for (Map.Entry<T, Integer> entry : map.entrySet()) {
                    final int count = entry.getValue();
                    if (count <= 0) {
                        throw new IllegalStateException();
                    }
        
                    if (count > 1) {
                        duplicates += count - 1;
                        sb.append(entry.getKey() + "": "" + count + ""\n"");
                    }
                }
        
                if (duplicates > 0) {
                    Assertions.fail(duplicates + "" duplicates\n"" + sb);
    }
    }
",SeedFactoryTest::testCreateLong_1_oe_1_oe
