id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
rng_49_1_1,commons-rng,SeedFactoryTest,testCreateIntArrayWithCompleteBlockSize_1_oe_1_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/internal/SeedFactoryTest.java,,,,assert,unknown,standard,assertEquals
rng_49_1_2,commons-rng,SeedFactoryTest,testCreateIntArrayWithCompleteBlockSize_1_oe_2_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/internal/SeedFactoryTest.java,,,,assert,unknown,standard,assertMonobit
rng_50_1_1,commons-rng,SeedFactoryTest,testCreateIntArrayWithIncompleteBlockSize_1_oe_1_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/internal/SeedFactoryTest.java,,,,assert,unknown,standard,assertEquals
rng_50_1_2,commons-rng,SeedFactoryTest,testCreateIntArrayWithIncompleteBlockSize_1_oe_2_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/internal/SeedFactoryTest.java,,,,assert,unknown,standard,assertMonobit
rng_51_1_1,commons-rng,SeedFactoryTest,testCreateLongArrayWithCompleteBlockSize_1_oe_1_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/internal/SeedFactoryTest.java,,,,assert,unknown,standard,assertEquals
rng_51_1_2,commons-rng,SeedFactoryTest,testCreateLongArrayWithCompleteBlockSize_1_oe_2_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/internal/SeedFactoryTest.java,,,,assert,unknown,standard,assertMonobit
rng_52_1_1,commons-rng,SeedFactoryTest,testCreateLongArrayWithIncompleteBlockSize_1_oe_1_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/internal/SeedFactoryTest.java,,,,assert,unknown,standard,assertEquals
rng_52_1_2,commons-rng,SeedFactoryTest,testCreateLongArrayWithIncompleteBlockSize_1_oe_2_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/internal/SeedFactoryTest.java,,,,assert,unknown,standard,assertMonobit
rng_53_1_2,commons-rng,SeedFactoryTest,testCreateByteArrayWithSizeZero_1_oe_2_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/internal/SeedFactoryTest.java,,,,assert,unknown,standard,assertArrayEquals
rng_54_1_2,commons-rng,SeedFactoryTest,testCreateByteArrayIgnoresNonZeroPositions_1_oe_2_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/internal/SeedFactoryTest.java,,,,assert,unknown,standard,assertArrayEquals
rng_61_1_1,commons-rng,JumpableProvidersParametricTest,testJumpReturnsACopy_1_oe_1_oe,commons-rng-core/src/test/java/org/apache/commons/rng/core/JumpableProvidersParametricTest.java,,,,assert,unknown,standard,assertNotSame
rng_61_1_2,commons-rng,JumpableProvidersParametricTest,testJumpReturnsACopy_1_oe_2_oe,commons-rng-core/src/test/java/org/apache/commons/rng/core/JumpableProvidersParametricTest.java,,,,assert,unknown,standard,assertEquals
rng_62_1_1,commons-rng,JumpableProvidersParametricTest,testLongJumpReturnsACopy_1_oe_1_oe,commons-rng-core/src/test/java/org/apache/commons/rng/core/JumpableProvidersParametricTest.java,,,,assert,unknown,standard,assertNotSame
rng_62_1_2,commons-rng,JumpableProvidersParametricTest,testLongJumpReturnsACopy_1_oe_2_oe,commons-rng-core/src/test/java/org/apache/commons/rng/core/JumpableProvidersParametricTest.java,,,,assert,unknown,standard,assertEquals
rng_63_1_1,commons-rng,JumpableProvidersParametricTest,testJumpCopyMatchesPreJumpState_1_oe_1_oe,commons-rng-core/src/test/java/org/apache/commons/rng/core/JumpableProvidersParametricTest.java,,,,assert,unknown,standard,assertArrayEquals
