id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
commons-rng_1,commons-rng,ThreadLocalRandomSourceTest,testCurrentThrowsForNullRandomSource_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/ThreadLocalRandomSourceTest.java,,,,multiple,unknown,standard,
commons-rng_2,commons-rng,ThreadLocalRandomSourceTest,testCurrentThrowsForRandomSourceWithDataArguments_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/ThreadLocalRandomSourceTest.java,,,,multiple,unknown,standard,
commons-rng_3,commons-rng,ThreadLocalRandomSourceTest,testCurrentForAllRandomSources_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/ThreadLocalRandomSourceTest.java,,,,multiple,unknown,standard,
commons-rng_4,commons-rng,JDKRandomWrapperTest,testNextLongInRange_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/JDKRandomWrapperTest.java,,,,multiple,unknown,standard,
commons-rng_5,commons-rng,JDKRandomWrapperTest,testNextLongInRangeThrows_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/JDKRandomWrapperTest.java,,,,multiple,unknown,standard,
commons-rng_6,commons-rng,ProvidersCommonParametricTest,MethodSource_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/ProvidersCommonParametricTest.java,,,,multiple,unknown,standard,
commons-rng_7,commons-rng,ProvidersCommonParametricTest,MethodSource_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/ProvidersCommonParametricTest.java,,,,multiple,unknown,standard,
commons-rng_8,commons-rng,ProvidersCommonParametricTest,MethodSource_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/ProvidersCommonParametricTest.java,,,,multiple,unknown,standard,
commons-rng_9,commons-rng,ProvidersCommonParametricTest,MethodSource_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/ProvidersCommonParametricTest.java,,,,multiple,unknown,standard,
commons-rng_10,commons-rng,ProvidersCommonParametricTest,MethodSource_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/ProvidersCommonParametricTest.java,,,,multiple,unknown,standard,
commons-rng_11,commons-rng,ProvidersCommonParametricTest,MethodSource_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/ProvidersCommonParametricTest.java,,,,multiple,unknown,standard,
commons-rng_12,commons-rng,ProvidersCommonParametricTest,MethodSource_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/ProvidersCommonParametricTest.java,,,,multiple,unknown,standard,
commons-rng_13,commons-rng,ProvidersCommonParametricTest,MethodSource_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/ProvidersCommonParametricTest.java,,,,multiple,unknown,standard,
commons-rng_14,commons-rng,ProvidersCommonParametricTest,MethodSource_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/ProvidersCommonParametricTest.java,,,,multiple,unknown,standard,
commons-rng_15,commons-rng,ProvidersCommonParametricTest,SuppressWarnings_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/ProvidersCommonParametricTest.java,,,,multiple,unknown,standard,
commons-rng_16,commons-rng,ProvidersCommonParametricTest,MethodSource_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/ProvidersCommonParametricTest.java,,,,multiple,unknown,standard,
commons-rng_17,commons-rng,ProvidersCommonParametricTest,MethodSource_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/ProvidersCommonParametricTest.java,,,,multiple,unknown,standard,
commons-rng_18,commons-rng,ProvidersCommonParametricTest,MethodSource_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/ProvidersCommonParametricTest.java,,,,multiple,unknown,standard,
commons-rng_19,commons-rng,RandomSourceTest,testCreateInt_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/RandomSourceTest.java,,,,multiple,unknown,standard,
commons-rng_20,commons-rng,RandomSourceTest,testCreateLong_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/RandomSourceTest.java,,,,multiple,unknown,standard,
commons-rng_21,commons-rng,RandomSourceTest,testCreateIntArray_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/RandomSourceTest.java,,,,multiple,unknown,standard,
commons-rng_22,commons-rng,RandomSourceTest,testCreateLongArray_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/RandomSourceTest.java,,,,multiple,unknown,standard,
commons-rng_23,commons-rng,RandomSourceTest,testIsJumpable_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/RandomSourceTest.java,,,,multiple,unknown,standard,
commons-rng_24,commons-rng,RandomSourceTest,testIsLongJumpable_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/RandomSourceTest.java,,,,multiple,unknown,standard,
commons-rng_25,commons-rng,JDKRandomBridgeTest,testJDKRandomEquivalence_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/JDKRandomBridgeTest.java,,,,multiple,unknown,standard,
commons-rng_26,commons-rng,SeedUtilsTest,testCreateIntHexPermutation_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/internal/SeedUtilsTest.java,,,,multiple,unknown,standard,
commons-rng_27,commons-rng,SeedUtilsTest,testCreateLongHexPermutation_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/internal/SeedUtilsTest.java,,,,multiple,unknown,standard,
commons-rng_28,commons-rng,NativeSeedTypeParametricTest,testNativeSeedTypeEnum_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/internal/NativeSeedTypeParametricTest.java,,,,multiple,unknown,standard,
commons-rng_29,commons-rng,NativeSeedTypeParametricTest,testCreateSeed_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/internal/NativeSeedTypeParametricTest.java,,,,multiple,unknown,standard,
commons-rng_30,commons-rng,NativeSeedTypeParametricTest,testConvertSeedToBytes_oe,commons-rng-simple/src/test/java/org/apache/commons/rng/simple/internal/NativeSeedTypeParametricTest.java,,,,multiple,unknown,standard,
