id,test_prefix,test_name
vali_6_1,"    public void testEmailWithControlChars_1_oe() {
        EmailValidator validator = new EmailValidator();
        for (char c = 0; c < 32; c++) {
            assertFalse(""Test control char "" + ((int)c), validator.isValid(""foo"" + c + ""bar@domain.com""));
    }
    }
",EmailTest::testEmailWithControlChars_1_oe
vali_6_2,"    public void testEmailWithControlChars_2_oe() {
        EmailValidator validator = new EmailValidator();
        for (char c = 0; c < 32; c++) {
            // removed other assertion
        }
        assertFalse(""Test control char 127"", validator.isValid(""foo"" + ((char)127) + ""bar@domain.com""));
    }
",EmailTest::testEmailWithControlChars_2_oe
vali_7_1,"   public void testEmailAtTLD_1_oe() throws ValidatorException {
      // Create bean to run test on.
      ValueBean info = new ValueBean();

      info.setValue(""m@de"");
      valueTest(info, false);

       org.apache.commons.validator.routines.EmailValidator validator =
               org.apache.commons.validator.routines.EmailValidator.getInstance(true, true);
      boolean result = validator.isValid(""m@de"");
      assertTrue(""Result should have been true"", result);
   }
",EmailTest::testEmailAtTLD_1_oe
vali_8_1,"    public void testMergedConfig_1_oe() {

        // *********** Default Locale *******************

        // Check the form from the first config file exists
        Form form1 = resources.getForm("""", """", """", ""testForm1"");
        assertNotNull(""Form 'testForm1' not found"", form1);
    }
",MultipleConfigFilesTest::testMergedConfig_1_oe
vali_8_2,"    public void testMergedConfig_2_oe() {

        // *********** Default Locale *******************

        // Check the form from the first config file exists
        Form form1 = resources.getForm("""", """", """", ""testForm1"");
        // removed other assertion

        // Check the form from the second config file exists
        Form form2 = resources.getForm("""", """", """", ""testForm2"");
        assertNotNull(""Form 'testForm2' not found"", form2);
    }
",MultipleConfigFilesTest::testMergedConfig_2_oe
vali_8_3,"    public void testMergedConfig_3_oe() {

        // *********** Default Locale *******************

        // Check the form from the first config file exists
        Form form1 = resources.getForm("""", """", """", ""testForm1"");
        // removed other assertion

        // Check the form from the second config file exists
        Form form2 = resources.getForm("""", """", """", ""testForm2"");
        // removed other assertion

        // Check the Constants  for the form from the first config file
        Field field1 = form1.getField(""testProperty1"");
        assertEquals(""testProperty1 - const 1"", ""testConstValue1"", field1.getVarValue(""var11""));
    }
",MultipleConfigFilesTest::testMergedConfig_3_oe
vali_8_4,"    public void testMergedConfig_4_oe() {

        // *********** Default Locale *******************

        // Check the form from the first config file exists
        Form form1 = resources.getForm("""", """", """", ""testForm1"");
        // removed other assertion

        // Check the form from the second config file exists
        Form form2 = resources.getForm("""", """", """", ""testForm2"");
        // removed other assertion

        // Check the Constants  for the form from the first config file
        Field field1 = form1.getField(""testProperty1"");
        // removed other assertion
        assertEquals(""testProperty1 - const 2"", ""testConstValue2"", field1.getVarValue(""var12""));
    }
",MultipleConfigFilesTest::testMergedConfig_4_oe
vali_8_5,"    public void testMergedConfig_5_oe() {

        // *********** Default Locale *******************

        // Check the form from the first config file exists
        Form form1 = resources.getForm("""", """", """", ""testForm1"");
        // removed other assertion

        // Check the form from the second config file exists
        Form form2 = resources.getForm("""", """", """", ""testForm2"");
        // removed other assertion

        // Check the Constants  for the form from the first config file
        Field field1 = form1.getField(""testProperty1"");
        // removed other assertion
        // removed other assertion

        // Check the Constants  for the form from the second config file
        Field field2 = form2.getField(""testProperty2"");
        assertEquals(""testProperty2 - const 1"", ""testConstValue1"", field2.getVarValue(""var21""));
    }
",MultipleConfigFilesTest::testMergedConfig_5_oe
vali_8_6,"    public void testMergedConfig_6_oe() {

        // *********** Default Locale *******************

        // Check the form from the first config file exists
        Form form1 = resources.getForm("""", """", """", ""testForm1"");
        // removed other assertion

        // Check the form from the second config file exists
        Form form2 = resources.getForm("""", """", """", ""testForm2"");
        // removed other assertion

        // Check the Constants  for the form from the first config file
        Field field1 = form1.getField(""testProperty1"");
        // removed other assertion
        // removed other assertion

        // Check the Constants  for the form from the second config file
        Field field2 = form2.getField(""testProperty2"");
        // removed other assertion
        assertEquals(""testProperty2 - const 2"", ""testConstValue2"", field2.getVarValue(""var22""));
    }
",MultipleConfigFilesTest::testMergedConfig_6_oe
vali_8_7,"    public void testMergedConfig_7_oe() {

        // *********** Default Locale *******************

        // Check the form from the first config file exists
        Form form1 = resources.getForm("""", """", """", ""testForm1"");
        // removed other assertion

        // Check the form from the second config file exists
        Form form2 = resources.getForm("""", """", """", ""testForm2"");
        // removed other assertion

        // Check the Constants  for the form from the first config file
        Field field1 = form1.getField(""testProperty1"");
        // removed other assertion
        // removed other assertion

        // Check the Constants  for the form from the second config file
        Field field2 = form2.getField(""testProperty2"");
        // removed other assertion
        // removed other assertion
 
        // *********** 'fr' locale *******************

        // Check the form from the first config file exists
        Form form1_fr = resources.getForm(""fr"", """", """", ""testForm1_fr"");
        assertNotNull(""Form 'testForm1_fr' not found"", form1_fr);
    }
",MultipleConfigFilesTest::testMergedConfig_7_oe
