id,test_prefix,test_name
vali_1_1,"   public void testRequired_1_oe() throws ValidatorException {
      // Create bean to run test on.
      NameBean name = new NameBean();
      
      // Construct validator based on the loaded resources 
      // and the form key
      Validator validator = new Validator(resources, FORM_KEY);
      // add the name bean to the validator as a resource 
      // for the validations to be performed on.
      validator.setParameter(Validator.BEAN_PARAM, name);

      // Get results of the validation.
      ValidatorResults results = null;
      
      // throws ValidatorException, 
      // but we aren't catching for testing 
      // since no validation methods we use 
      // throw this
      results = validator.validate();
      
      assertNotNull(""Results are null."", results);
   }
",RequiredIfTest::testRequired_1_oe
vali_1_2,"   public void testRequired_2_oe() throws ValidatorException {
      // Create bean to run test on.
      NameBean name = new NameBean();
      
      // Construct validator based on the loaded resources 
      // and the form key
      Validator validator = new Validator(resources, FORM_KEY);
      // add the name bean to the validator as a resource 
      // for the validations to be performed on.
      validator.setParameter(Validator.BEAN_PARAM, name);

      // Get results of the validation.
      ValidatorResults results = null;
      
      // throws ValidatorException, 
      // but we aren't catching for testing 
      // since no validation methods we use 
      // throw this
      results = validator.validate();
      
      // removed other assertion
      
      ValidatorResult firstNameResult = results.getValidatorResult(""firstName"");
      ValidatorResult lastNameResult = results.getValidatorResult(""lastName"");
      
      assertNotNull(""First Name ValidatorResult should not be null."", firstNameResult);
   }
",RequiredIfTest::testRequired_2_oe
vali_1_3,"   public void testRequired_3_oe() throws ValidatorException {
      // Create bean to run test on.
      NameBean name = new NameBean();
      
      // Construct validator based on the loaded resources 
      // and the form key
      Validator validator = new Validator(resources, FORM_KEY);
      // add the name bean to the validator as a resource 
      // for the validations to be performed on.
      validator.setParameter(Validator.BEAN_PARAM, name);

      // Get results of the validation.
      ValidatorResults results = null;
      
      // throws ValidatorException, 
      // but we aren't catching for testing 
      // since no validation methods we use 
      // throw this
      results = validator.validate();
      
      // removed other assertion
      
      ValidatorResult firstNameResult = results.getValidatorResult(""firstName"");
      ValidatorResult lastNameResult = results.getValidatorResult(""lastName"");
      
      // removed other assertion
      assertTrue(""First Name ValidatorResult should contain the '"" + ACTION +""' action."", firstNameResult.containsAction(ACTION));
   }
",RequiredIfTest::testRequired_3_oe
vali_1_4,"   public void testRequired_4_oe() throws ValidatorException {
      // Create bean to run test on.
      NameBean name = new NameBean();
      
      // Construct validator based on the loaded resources 
      // and the form key
      Validator validator = new Validator(resources, FORM_KEY);
      // add the name bean to the validator as a resource 
      // for the validations to be performed on.
      validator.setParameter(Validator.BEAN_PARAM, name);

      // Get results of the validation.
      ValidatorResults results = null;
      
      // throws ValidatorException, 
      // but we aren't catching for testing 
      // since no validation methods we use 
      // throw this
      results = validator.validate();
      
      // removed other assertion
      
      ValidatorResult firstNameResult = results.getValidatorResult(""firstName"");
      ValidatorResult lastNameResult = results.getValidatorResult(""lastName"");
      
      // removed other assertion
      // removed other assertion
      assertTrue(""First Name ValidatorResult for the '"" + ACTION +""' action should have passed."", firstNameResult.isValid(ACTION));
   }
",RequiredIfTest::testRequired_4_oe
vali_1_5,"   public void testRequired_5_oe() throws ValidatorException {
      // Create bean to run test on.
      NameBean name = new NameBean();
      
      // Construct validator based on the loaded resources 
      // and the form key
      Validator validator = new Validator(resources, FORM_KEY);
      // add the name bean to the validator as a resource 
      // for the validations to be performed on.
      validator.setParameter(Validator.BEAN_PARAM, name);

      // Get results of the validation.
      ValidatorResults results = null;
      
      // throws ValidatorException, 
      // but we aren't catching for testing 
      // since no validation methods we use 
      // throw this
      results = validator.validate();
      
      // removed other assertion
      
      ValidatorResult firstNameResult = results.getValidatorResult(""firstName"");
      ValidatorResult lastNameResult = results.getValidatorResult(""lastName"");
      
      // removed other assertion
      // removed other assertion
      // removed other assertion
      
      assertNotNull(""Last Name ValidatorResult should not be null."", lastNameResult);
   }
",RequiredIfTest::testRequired_5_oe
vali_1_6,"   public void testRequired_6_oe() throws ValidatorException {
      // Create bean to run test on.
      NameBean name = new NameBean();
      
      // Construct validator based on the loaded resources 
      // and the form key
      Validator validator = new Validator(resources, FORM_KEY);
      // add the name bean to the validator as a resource 
      // for the validations to be performed on.
      validator.setParameter(Validator.BEAN_PARAM, name);

      // Get results of the validation.
      ValidatorResults results = null;
      
      // throws ValidatorException, 
      // but we aren't catching for testing 
      // since no validation methods we use 
      // throw this
      results = validator.validate();
      
      // removed other assertion
      
      ValidatorResult firstNameResult = results.getValidatorResult(""firstName"");
      ValidatorResult lastNameResult = results.getValidatorResult(""lastName"");
      
      // removed other assertion
      // removed other assertion
      // removed other assertion
      
      // removed other assertion
      assertTrue(""Last Name ValidatorResult should contain the '"" + ACTION +""' action."", lastNameResult.containsAction(ACTION));
   }
",RequiredIfTest::testRequired_6_oe
vali_1_7,"   public void testRequired_7_oe() throws ValidatorException {
      // Create bean to run test on.
      NameBean name = new NameBean();
      
      // Construct validator based on the loaded resources 
      // and the form key
      Validator validator = new Validator(resources, FORM_KEY);
      // add the name bean to the validator as a resource 
      // for the validations to be performed on.
      validator.setParameter(Validator.BEAN_PARAM, name);

      // Get results of the validation.
      ValidatorResults results = null;
      
      // throws ValidatorException, 
      // but we aren't catching for testing 
      // since no validation methods we use 
      // throw this
      results = validator.validate();
      
      // removed other assertion
      
      ValidatorResult firstNameResult = results.getValidatorResult(""firstName"");
      ValidatorResult lastNameResult = results.getValidatorResult(""lastName"");
      
      // removed other assertion
      // removed other assertion
      // removed other assertion
      
      // removed other assertion
      // removed other assertion
      assertTrue(""Last Name ValidatorResult for the '"" + ACTION +""' action should have passed."", lastNameResult.isValid(ACTION));
   }
",RequiredIfTest::testRequired_7_oe
vali_2_1,"   public void testRequiredFirstNameBlank_1_oe() throws ValidatorException {
      // Create bean to run test on.
      NameBean name = new NameBean();
      name.setFirstName("""");
      name.setLastName(""Test"");
      
      // Construct validator based on the loaded resources 
      // and the form key
      Validator validator = new Validator(resources, FORM_KEY);
      // add the name bean to the validator as a resource 
      // for the validations to be performed on.
      validator.setParameter(Validator.BEAN_PARAM, name);

      // Get results of the validation.
      ValidatorResults results = null;
      
      results = validator.validate();
      
      assertNotNull(""Results are null."", results);
   }
",RequiredIfTest::testRequiredFirstNameBlank_1_oe
vali_2_2,"   public void testRequiredFirstNameBlank_2_oe() throws ValidatorException {
      // Create bean to run test on.
      NameBean name = new NameBean();
      name.setFirstName("""");
      name.setLastName(""Test"");
      
      // Construct validator based on the loaded resources 
      // and the form key
      Validator validator = new Validator(resources, FORM_KEY);
      // add the name bean to the validator as a resource 
      // for the validations to be performed on.
      validator.setParameter(Validator.BEAN_PARAM, name);

      // Get results of the validation.
      ValidatorResults results = null;
      
      results = validator.validate();
      
      // removed other assertion
      
      ValidatorResult firstNameResult = results.getValidatorResult(""firstName"");
      ValidatorResult lastNameResult = results.getValidatorResult(""lastName"");
      
      assertNotNull(""First Name ValidatorResult should not be null."", firstNameResult);
   }
",RequiredIfTest::testRequiredFirstNameBlank_2_oe
vali_2_3,"   public void testRequiredFirstNameBlank_3_oe() throws ValidatorException {
      // Create bean to run test on.
      NameBean name = new NameBean();
      name.setFirstName("""");
      name.setLastName(""Test"");
      
      // Construct validator based on the loaded resources 
      // and the form key
      Validator validator = new Validator(resources, FORM_KEY);
      // add the name bean to the validator as a resource 
      // for the validations to be performed on.
      validator.setParameter(Validator.BEAN_PARAM, name);

      // Get results of the validation.
      ValidatorResults results = null;
      
      results = validator.validate();
      
      // removed other assertion
      
      ValidatorResult firstNameResult = results.getValidatorResult(""firstName"");
      ValidatorResult lastNameResult = results.getValidatorResult(""lastName"");
      
      // removed other assertion
      assertTrue(""First Name ValidatorResult should contain the '"" + ACTION +""' action."", firstNameResult.containsAction(ACTION));
   }
",RequiredIfTest::testRequiredFirstNameBlank_3_oe
