id,test_prefix,test_name,mut_class,method_under_test,mut_docstring,mut_method_definition
vali_11_1,"        assertTrue(""Min=5 End=0"",  GenericValidator.minLength(""12345\n\r"", 5, 0));",GenericValidatorTest::testMinLength_1_oe,org.apache.commons.validator.GenericValidator,"minLength(String value, int min)","/**
     * <p>Checks if the value's length is greater than or equal to the min.</p>
     *
     * @param value The value validation is being performed on.
     * @param min The minimum length.
     * @return true if the value's length is more than the specified minimum.
     */","public static boolean minLength(String value, int min) {
        return (value.length() >= min);
    }"
vali_11_2,"        assertFalse(""Min=6 End=0"", GenericValidator.minLength(""12345\n\r"", 6, 0));",GenericValidatorTest::testMinLength_2_oe,org.apache.commons.validator.GenericValidator,"minLength(String value, int min)","/**
     * <p>Checks if the value's length is greater than or equal to the min.</p>
     *
     * @param value The value validation is being performed on.
     * @param min The minimum length.
     * @return true if the value's length is more than the specified minimum.
     */","public static boolean minLength(String value, int min) {
        return (value.length() >= min);
    }"
vali_11_3,"        assertFalse(""Min=7 End=0"", GenericValidator.minLength(""12345\n\r"", 7, 0));",GenericValidatorTest::testMinLength_3_oe,org.apache.commons.validator.GenericValidator,"minLength(String value, int min)","/**
     * <p>Checks if the value's length is greater than or equal to the min.</p>
     *
     * @param value The value validation is being performed on.
     * @param min The minimum length.
     * @return true if the value's length is more than the specified minimum.
     */","public static boolean minLength(String value, int min) {
        return (value.length() >= min);
    }"
vali_11_4,"        assertFalse(""Min=8 End=0"", GenericValidator.minLength(""12345\n\r"", 8, 0));",GenericValidatorTest::testMinLength_4_oe,org.apache.commons.validator.GenericValidator,"minLength(String value, int min)","/**
     * <p>Checks if the value's length is greater than or equal to the min.</p>
     *
     * @param value The value validation is being performed on.
     * @param min The minimum length.
     * @return true if the value's length is more than the specified minimum.
     */","public static boolean minLength(String value, int min) {
        return (value.length() >= min);
    }"
vali_11_5,"        assertTrue(""Min=5 End=1"",  GenericValidator.minLength(""12345\n\r"", 5, 1));",GenericValidatorTest::testMinLength_5_oe,org.apache.commons.validator.GenericValidator,"minLength(String value, int min)","/**
     * <p>Checks if the value's length is greater than or equal to the min.</p>
     *
     * @param value The value validation is being performed on.
     * @param min The minimum length.
     * @return true if the value's length is more than the specified minimum.
     */","public static boolean minLength(String value, int min) {
        return (value.length() >= min);
    }"
vali_11_6,"        assertTrue(""Min=6 End=1"",  GenericValidator.minLength(""12345\n\r"", 6, 1));",GenericValidatorTest::testMinLength_6_oe,org.apache.commons.validator.GenericValidator,"minLength(String value, int min)","/**
     * <p>Checks if the value's length is greater than or equal to the min.</p>
     *
     * @param value The value validation is being performed on.
     * @param min The minimum length.
     * @return true if the value's length is more than the specified minimum.
     */","public static boolean minLength(String value, int min) {
        return (value.length() >= min);
    }"
vali_11_7,"        assertFalse(""Min=7 End=1"", GenericValidator.minLength(""12345\n\r"", 7, 1));",GenericValidatorTest::testMinLength_7_oe,org.apache.commons.validator.GenericValidator,"minLength(String value, int min)","/**
     * <p>Checks if the value's length is greater than or equal to the min.</p>
     *
     * @param value The value validation is being performed on.
     * @param min The minimum length.
     * @return true if the value's length is more than the specified minimum.
     */","public static boolean minLength(String value, int min) {
        return (value.length() >= min);
    }"
vali_11_8,"        assertFalse(""Min=8 End=1"", GenericValidator.minLength(""12345\n\r"", 8, 1));",GenericValidatorTest::testMinLength_8_oe,org.apache.commons.validator.GenericValidator,"minLength(String value, int min)","/**
     * <p>Checks if the value's length is greater than or equal to the min.</p>
     *
     * @param value The value validation is being performed on.
     * @param min The minimum length.
     * @return true if the value's length is more than the specified minimum.
     */","public static boolean minLength(String value, int min) {
        return (value.length() >= min);
    }"
vali_11_9,"        assertTrue(""Min=5 End=2"",  GenericValidator.minLength(""12345\n\r"", 5, 2));",GenericValidatorTest::testMinLength_9_oe,org.apache.commons.validator.GenericValidator,"minLength(String value, int min)","/**
     * <p>Checks if the value's length is greater than or equal to the min.</p>
     *
     * @param value The value validation is being performed on.
     * @param min The minimum length.
     * @return true if the value's length is more than the specified minimum.
     */","public static boolean minLength(String value, int min) {
        return (value.length() >= min);
    }"
vali_11_10,"        assertTrue(""Min=6 End=2"",  GenericValidator.minLength(""12345\n\r"", 6, 2));",GenericValidatorTest::testMinLength_10_oe,org.apache.commons.validator.GenericValidator,"minLength(String value, int min)","/**
     * <p>Checks if the value's length is greater than or equal to the min.</p>
     *
     * @param value The value validation is being performed on.
     * @param min The minimum length.
     * @return true if the value's length is more than the specified minimum.
     */","public static boolean minLength(String value, int min) {
        return (value.length() >= min);
    }"
vali_11_11,"        assertTrue(""Min=7 End=2"",  GenericValidator.minLength(""12345\n\r"", 7, 2));",GenericValidatorTest::testMinLength_11_oe,org.apache.commons.validator.GenericValidator,"minLength(String value, int min)","/**
     * <p>Checks if the value's length is greater than or equal to the min.</p>
     *
     * @param value The value validation is being performed on.
     * @param min The minimum length.
     * @return true if the value's length is more than the specified minimum.
     */","public static boolean minLength(String value, int min) {
        return (value.length() >= min);
    }"
