id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version
vfs-_1_1,commons-vfs-2.9.0,Webdav4FileObjectTest,testWebdav4FileObjectURLs_1_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/Webdav4FileObjectTest.java,,,,assert,unknown
vfs-_1_2,commons-vfs-2.9.0,Webdav4FileObjectTest,testWebdav4FileObjectURLs_2_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/Webdav4FileObjectTest.java,,,,assert,unknown
vfs-_1_3,commons-vfs-2.9.0,Webdav4FileObjectTest,testWebdav4FileObjectURLs_3_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/Webdav4FileObjectTest.java,,,,assert,unknown
vfs-_2_1,commons-vfs-2.9.0,Webdav4FileObjectTest,testWebdav4sFileObjectURLs_1_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/Webdav4FileObjectTest.java,,,,assert,unknown
vfs-_2_2,commons-vfs-2.9.0,Webdav4FileObjectTest,testWebdav4sFileObjectURLs_2_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/Webdav4FileObjectTest.java,,,,assert,unknown
vfs-_2_3,commons-vfs-2.9.0,Webdav4FileObjectTest,testWebdav4sFileObjectURLs_3_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/Webdav4FileObjectTest.java,,,,assert,unknown
vfs-_3_1,commons-vfs-2.9.0,Webdav4VersioningTests,testVersioning_1_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/test/Webdav4VersioningTests.java,,,,assert,unknown
vfs-_3_2,commons-vfs-2.9.0,Webdav4VersioningTests,testVersioning_2_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/test/Webdav4VersioningTests.java,,,,assert,unknown
vfs-_3_3,commons-vfs-2.9.0,Webdav4VersioningTests,testVersioning_3_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/test/Webdav4VersioningTests.java,,,,assert,unknown
vfs-_3_4,commons-vfs-2.9.0,Webdav4VersioningTests,testVersioning_4_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/test/Webdav4VersioningTests.java,,,,assert,unknown
vfs-_3_5,commons-vfs-2.9.0,Webdav4VersioningTests,testVersioning_5_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/test/Webdav4VersioningTests.java,,,,assert,unknown
vfs-_3_6,commons-vfs-2.9.0,Webdav4VersioningTests,testVersioning_6_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/test/Webdav4VersioningTests.java,,,,assert,unknown
vfs-_3_7,commons-vfs-2.9.0,Webdav4VersioningTests,testVersioning_7_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/test/Webdav4VersioningTests.java,,,,assert,unknown
vfs-_3_8,commons-vfs-2.9.0,Webdav4VersioningTests,testVersioning_8_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/test/Webdav4VersioningTests.java,,,,assert,unknown
vfs-_3_9,commons-vfs-2.9.0,Webdav4VersioningTests,testVersioning_9_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/test/Webdav4VersioningTests.java,,,,assert,unknown
vfs-_3_10,commons-vfs-2.9.0,Webdav4VersioningTests,testVersioning_10_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/test/Webdav4VersioningTests.java,,,,assert,unknown
vfs-_3_11,commons-vfs-2.9.0,Webdav4VersioningTests,testVersioning_11_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/test/Webdav4VersioningTests.java,,,,assert,unknown
vfs-_3_12,commons-vfs-2.9.0,Webdav4VersioningTests,testVersioning_12_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/test/Webdav4VersioningTests.java,,,,assert,unknown
vfs-_3_13,commons-vfs-2.9.0,Webdav4VersioningTests,testVersioning_13_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/test/Webdav4VersioningTests.java,,,,assert,unknown
vfs-_3_14,commons-vfs-2.9.0,Webdav4VersioningTests,testVersioning_14_oe,commons-vfs2-jackrabbit2/src/test/java/org/apache/commons/vfs2/provider/webdav4/test/Webdav4VersioningTests.java,,,,assert,unknown
