id,test_prefix,test_name
commons-vfs_1,"@Test
    public void testRandomWrite_oe() throws Exception {
        try (FileObject file = createScratchFolder().resolveFile(""random_write.txt"")) {
            file.createFile();
            final RandomAccessContent ra = file.getContent().getRandomAccessContent(RandomAccessMode.READWRITE);

            // write first byte
            ra.writeByte(TEST_DATA.charAt(0));

            // start at pos 4
            ra.seek(3);
            ra.writeByte(TEST_DATA.charAt(3));
            ra.writeByte(TEST_DATA.charAt(4));

            // restart at pos 4 (but overwrite with different content)
            ra.seek(3);
            ra.writeByte(TEST_DATA.charAt(7));
            ra.writeByte(TEST_DATA.charAt(8));

            // advance to pos 11
            ra.seek(10);
            ra.writeByte(TEST_DATA.charAt(10));
            ra.writeByte(TEST_DATA.charAt(11));

            // now read
            ra.seek(0);
            assertEquals(ra.readByte(), TEST_DATA.charAt(0));

            ra.seek(3);
            assertEquals(ra.readByte(), TEST_DATA.charAt(7));
            assertEquals(ra.readByte(), TEST_DATA.charAt(8));

            ra.seek(10);
            assertEquals(ra.readByte(), TEST_DATA.charAt(10));
            assertEquals(ra.readByte(), TEST_DATA.charAt(11));
        }
    }",ProviderRandomReadWriteTests::testRandomWrite_oe
commons-vfs_2,"@Test
    public void testAbsoluteURI_oe() throws Exception {
        final FileObject readFolder = getReadFolder();

        // Try fetching base folder again by its URI
        final String uri = readFolder.getName().getURI();
        FileObject file = getManager().resolveFile(uri, readFolder.getFileSystem().getFileSystemOptions());
        assertSame(""file object"", readFolder, file);

        // Try fetching the filesystem root by its URI
        final String rootUri = readFolder.getName().getRootURI();
        file = getManager().resolveFile(rootUri, readFolder.getFileSystem().getFileSystemOptions());
        assertSame(readFolder.getFileSystem().getRoot(), file);
        assertEquals(rootUri, file.getName().getRootURI());
        assertEquals(rootUri, file.getName().getURI());
        assertEquals(FileName.ROOT_PATH, file.getName().getPath());
    }",UriTests::testAbsoluteURI_oe
commons-vfs_3,"@Test
    public void testGetURI_oe() throws Exception {
        final FileObject fileObject = getReadFolder().resolveFile(""some-dir/"");
        final URI uri = fileObject.getURI();

        // FileName#getURI() returns a String, not a URI.
        assertEquals(fileObject.getName().getURI(), uri.toString());
        assertEquals(URI.create(fileObject.getName().getURI()), uri);

        assertEquals(fileObject.getURL().toString(), fileObject.getURI().toString());
        assertEquals(fileObject.getURL().toURI(), fileObject.getURI());
    }",UriTests::testGetURI_oe
commons-vfs_4,"@Test
    public void testReservedCharacterSpace_oe() throws FileSystemException {
        try (final FileObject fileObject = getReadFolder().resolveFile(""file with spaces.txt"")) {
            final URI url = fileObject.getURI();
            final String string = url.toString();
            assertTrue(string, string.contains(""file%20with%20spaces.txt""));
        }
        try (final FileObject fileObject = getReadFolder().resolveFile(""file%20with%20spaces.txt"")) {
            final URI url = fileObject.getURI();
            final String string = url.toString();
            assertTrue(string, string.contains(""file%20with%20spaces.txt""));
        }
    }",UriTests::testReservedCharacterSpace_oe
commons-vfs_5,"@Test
    public void testURIContentProvider_oe() throws Exception {
        // Test non-empty file
        final FileObject fileObject = getReadFolder().resolveFile(""file1.txt"");
        assertTrue(fileObject.exists());

        final URI uri = fileObject.getURI();
        final String uriStr = uri.toString();
        final FileSystemOptions options = getReadFolder().getFileSystem().getFileSystemOptions();

        final FileObject f1 = getManager().resolveFile(uriStr, options);
        final FileObject f2 = getManager().resolveFile(uriStr, options);

        assertEquals(""Two files resolved by URI must be equals on "" + uriStr, f1, f2);
        assertSame(""Resolving two times should not produce new filesystem on "" + uriStr,f1.getFileSystem(),f2.getFileSystem());
    }",UriTests::testURIContentProvider_oe
commons-vfs_6,"@Test
    public void testDoesNotModifyUrlsWithoutPassword_oe() {
        final FileSystemException fse = new FileSystemException(""vfs.provider/delete.error"",
                ""http://foo@junit.org/test.bin"");
        assertEquals(""http://foo@junit.org/test.bin"", fse.getInfo()[0]);
    }",FileSystemExceptionTest::testDoesNotModifyUrlsWithoutPassword_oe
commons-vfs_7,"@Test
    public void testMasksPasswordOfUrlsWithBasicAuthentication_oe() {
        final FileSystemException fse = new FileSystemException(""vfs.provider/rename.error"", ""file://test.bin"",
                ""http://foo:bar@junit.org/test.bin"");

        assertEquals(""file://test.bin"", fse.getInfo()[0]);
        assertEquals(""http://foo:***@junit.org/test.bin"", fse.getInfo()[1]);
    }",FileSystemExceptionTest::testMasksPasswordOfUrlsWithBasicAuthentication_oe
commons-vfs_8,"@Test
    public void testProperDetectionOfUrl_oe() {
        final FileSystemException fse = new FileSystemException(""vfs.provider/delete.error"",
                ""zip:http://foo:bar@junit.org/test.bin"");
        assertEquals(""zip:http://foo:***@junit.org/test.bin"", fse.getInfo()[0]);
    }",FileSystemExceptionTest::testProperDetectionOfUrl_oe
commons-vfs_9,"@Test
    public void testAppendContent_oe() throws Exception {
        final FileObject scratchFolder = createScratchFolder();

        // Create direct child of the test folder
        final FileObject file = scratchFolder.resolveFile(""file1.txt"");
        assertFalse(file.exists());

        // Create the source file
        final String content = ""Here is some sample content for the file.  Blah Blah Blah."";
        final String contentAppend = content + content;

        try (OutputStream os = file.getContent().getOutputStream()) {
            os.write(content.getBytes(StandardCharsets.UTF_8));
        }
        assertSameContent(content, file);

        // Append to the new file
        try (OutputStream os2 = file.getContent().getOutputStream(true)) {
            os2.write(content.getBytes(StandardCharsets.UTF_8));
        }
        assertSameContent(contentAppend, file);

        // Make sure we can copy the new file to another file on the same filesystem
        final FileObject fileCopy = scratchFolder.resolveFile(""file1copy.txt"");
        assertFalse(fileCopy.exists());
        fileCopy.copyFrom(file, Selectors.SELECT_SELF);

        assertSameContent(contentAppend, fileCopy);

        // Delete the file.
        assertTrue(fileCopy.exists());
        assertTrue(fileCopy.delete());
    }",ProviderWriteAppendTests::testAppendContent_oe
commons-vfs_10,"@Test
    public void testFolderURL_oe() throws Exception {
        final FileObject folder = getReadFolder().resolveFile(""dir1"");
        if (folder.getFileSystem().hasCapability(Capability.DIRECTORY_READ_CONTENT)) {
            // test might not fail on e.g. HttpFileSystem as there are no directories.
            // A Directory do have a content on http. e.g a generated directory listing or the index.html page.
            return;
        }

        assertTrue(folder.exists());

        // Try getting the content of a folder
        try (final InputStream inputStream = folder.getURL().openConnection().getInputStream()) {
            fail();
        } catch (final IOException e) {
            assertSameMessage(""vfs.provider/read-not-file.error"", folder, e);
        }
    }",UrlStructureTests::testFolderURL_oe
