id,test_prefix,test_name,mut_class,method_under_test,mut_docstring,mut_method_definition
vfs_122_1,"	@Test
	public void testColonInFileName_1_oe() {
        Object a = UriParser.extractScheme(""some/path/some:file"");
        Assert.assertNull(a);
	}",UriParserTestCase::testColonInFileName_1_oe,org.apache.commons.vfs2.provider.UriParser,"extractScheme(final String[] schemes, final String uri)","/**
     * Extracts the scheme from a URI. Removes the scheme and ':' delimiter from the front of the URI.
     * <p>
     * The scheme is extracted based on the currently supported schemes in the system.  That is to say the schemes
     * supported by the registered providers.
     * </p>
     * <p>
     * This allows us to handle varying scheme's without making assumptions based on the ':' character.  Specifically
     * handle scheme extraction calls for URI parameters that are not actually uri's, but may be names with ':' in them.
     * </p>
     * @param schemes The schemes to check.
     * @param uri The potential URI. May also be a name.
     * @return The scheme name. Returns null if there is no scheme.
     * @since 2.3
     */","public static String extractScheme(final String[] schemes, final String uri) {
        return extractScheme(schemes, uri, null);
    }"
vfs_123_1,"	@Test
	public void testColonInFileNameAndNotSupportedScheme_1_oe() {
        Object a = UriParser.extractScheme(schemes, ""some:file"");
        Assert.assertNull(a);
	}",UriParserTestCase::testColonInFileNameAndNotSupportedScheme_1_oe,org.apache.commons.vfs2.provider.UriParser,"extractScheme(final String[] schemes, final String uri)","/**
     * Extracts the scheme from a URI. Removes the scheme and ':' delimiter from the front of the URI.
     * <p>
     * The scheme is extracted based on the currently supported schemes in the system.  That is to say the schemes
     * supported by the registered providers.
     * </p>
     * <p>
     * This allows us to handle varying scheme's without making assumptions based on the ':' character.  Specifically
     * handle scheme extraction calls for URI parameters that are not actually uri's, but may be names with ':' in them.
     * </p>
     * @param schemes The schemes to check.
     * @param uri The potential URI. May also be a name.
     * @return The scheme name. Returns null if there is no scheme.
     * @since 2.3
     */","public static String extractScheme(final String[] schemes, final String uri) {
        return extractScheme(schemes, uri, null);
    }"
vfs_124_1,"	@Test
	public void testColonInFileNameWithPath_1_oe() {
        Object a = UriParser.extractScheme(schemes, ""some/path/some:file"");
        Assert.assertNull(a);
	}",UriParserTestCase::testColonInFileNameWithPath_1_oe,org.apache.commons.vfs2.provider.UriParser,"extractScheme(final String[] schemes, final String uri)","/**
     * Extracts the scheme from a URI. Removes the scheme and ':' delimiter from the front of the URI.
     * <p>
     * The scheme is extracted based on the currently supported schemes in the system.  That is to say the schemes
     * supported by the registered providers.
     * </p>
     * <p>
     * This allows us to handle varying scheme's without making assumptions based on the ':' character.  Specifically
     * handle scheme extraction calls for URI parameters that are not actually uri's, but may be names with ':' in them.
     * </p>
     * @param schemes The schemes to check.
     * @param uri The potential URI. May also be a name.
     * @return The scheme name. Returns null if there is no scheme.
     * @since 2.3
     */","public static String extractScheme(final String[] schemes, final String uri) {
        return extractScheme(schemes, uri, null);
    }"
vfs_125_1,"	@Test
	public void testColonNotFollowedBySlash_1_oe() {
		Object a = UriParser.extractScheme(schemes, ""file:user/subdir/some/path/some:file"");
		Assert.assertEquals(""file"", a);
	}",UriParserTestCase::testColonNotFollowedBySlash_1_oe,org.apache.commons.vfs2.provider.UriParser,"extractScheme(final String[] schemes, final String uri)","/**
     * Extracts the scheme from a URI. Removes the scheme and ':' delimiter from the front of the URI.
     * <p>
     * The scheme is extracted based on the currently supported schemes in the system.  That is to say the schemes
     * supported by the registered providers.
     * </p>
     * <p>
     * This allows us to handle varying scheme's without making assumptions based on the ':' character.  Specifically
     * handle scheme extraction calls for URI parameters that are not actually uri's, but may be names with ':' in them.
     * </p>
     * @param schemes The schemes to check.
     * @param uri The potential URI. May also be a name.
     * @return The scheme name. Returns null if there is no scheme.
     * @since 2.3
     */","public static String extractScheme(final String[] schemes, final String uri) {
        return extractScheme(schemes, uri, null);
    }"
vfs_126_1,"	@Test
	public void testNormalScheme_1_oe() {
		Object a = UriParser.extractScheme(schemes, ""ftp://user:pass@host/some/path/some:file"");
		Assert.assertEquals(""ftp"", a);
	}",UriParserTestCase::testNormalScheme_1_oe,org.apache.commons.vfs2.provider.UriParser,"extractScheme(final String[] schemes, final String uri)","/**
     * Extracts the scheme from a URI. Removes the scheme and ':' delimiter from the front of the URI.
     * <p>
     * The scheme is extracted based on the currently supported schemes in the system.  That is to say the schemes
     * supported by the registered providers.
     * </p>
     * <p>
     * This allows us to handle varying scheme's without making assumptions based on the ':' character.  Specifically
     * handle scheme extraction calls for URI parameters that are not actually uri's, but may be names with ':' in them.
     * </p>
     * @param schemes The schemes to check.
     * @param uri The potential URI. May also be a name.
     * @return The scheme name. Returns null if there is no scheme.
     * @since 2.3
     */","public static String extractScheme(final String[] schemes, final String uri) {
        return extractScheme(schemes, uri, null);
    }"
vfs_128_1,"	@Test
	public void testOneSlashScheme_1_oe() {
		Object a = UriParser.extractScheme(schemes, ""file:/user:pass@host/some/path/some:file"");
		Assert.assertEquals(""file"", a);
	}",UriParserTestCase::testOneSlashScheme_1_oe,org.apache.commons.vfs2.provider.UriParser,"extractScheme(final String[] schemes, final String uri)","/**
     * Extracts the scheme from a URI. Removes the scheme and ':' delimiter from the front of the URI.
     * <p>
     * The scheme is extracted based on the currently supported schemes in the system.  That is to say the schemes
     * supported by the registered providers.
     * </p>
     * <p>
     * This allows us to handle varying scheme's without making assumptions based on the ':' character.  Specifically
     * handle scheme extraction calls for URI parameters that are not actually uri's, but may be names with ':' in them.
     * </p>
     * @param schemes The schemes to check.
     * @param uri The potential URI. May also be a name.
     * @return The scheme name. Returns null if there is no scheme.
     * @since 2.3
     */","public static String extractScheme(final String[] schemes, final String uri) {
        return extractScheme(schemes, uri, null);
    }"
vfs_205_1,"    @Test
    public void test_resolveFile_String_1_oe() throws FileSystemException {
        boolean a = VFS.getManager().resolveFile(""res:test.properties"").exists();
        Assert.assertTrue(a);
    }",ResSchemeTestCase::test_resolveFile_String_1_oe,org.apache.commons.vfs2.FileObject,exists(),"/**
     * Determines if this file exists.
     *
     * @return {@code true} if this file exists, {@code false} if not.
     * @throws FileSystemException On error determining if this file exists.
     */",boolean exists() throws FileSystemException;
vfs_206_1,"    @Test
    public void test_resolveFile_String_S_1_oe() throws FileSystemException {
        boolean a = VFS.getManager().resolveFile(""res:/test.properties"").exists();
        Assert.assertTrue(a);
    }",ResSchemeTestCase::test_resolveFile_String_S_1_oe,org.apache.commons.vfs2.FileObject,exists(),"/**
     * Determines if this file exists.
     *
     * @return {@code true} if this file exists, {@code false} if not.
     * @throws FileSystemException On error determining if this file exists.
     */",boolean exists() throws FileSystemException;
vfs_207_1,"    @Test
    public void test_resolveFile_String_SS_1_oe() throws FileSystemException {
        boolean a = VFS.getManager().resolveFile(""res://test.properties"").exists();
        Assert.assertTrue(a);
    }",ResSchemeTestCase::test_resolveFile_String_SS_1_oe,org.apache.commons.vfs2.FileObject,exists(),"/**
     * Determines if this file exists.
     *
     * @return {@code true} if this file exists, {@code false} if not.
     * @throws FileSystemException On error determining if this file exists.
     */",boolean exists() throws FileSystemException;
vfs_208_1,"    @Test
    public void test_resolveFile_String_SSS_1_oe() throws FileSystemException {
        boolean a = VFS.getManager().resolveFile(""res://test.properties"").exists();
        Assert.assertTrue(a);
    }",ResSchemeTestCase::test_resolveFile_String_SSS_1_oe,org.apache.commons.vfs2.FileObject,exists(),"/**
     * Determines if this file exists.
     *
     * @return {@code true} if this file exists, {@code false} if not.
     * @throws FileSystemException On error determining if this file exists.
     */",boolean exists() throws FileSystemException;
