id,test_prefix,test_name,mut_class,method_under_test,mut_docstring,mut_method_definition
vfs_6_1,"        final FileSystemException fse = new FileSystemException(""vfs.provider/delete.error"",
        assertEquals(""http://foo@junit.org/test.bin"", fse.getInfo()[0]);",FileSystemExceptionTest::testDoesNotModifyUrlsWithoutPassword_1_oe,org.apache.commons.vfs2.FileSystemException,getInfo(),"/**
     * Retrieves array of complementary info (context). Could be used as parameter for internationalization.
     *
     * @return the context info.
     */","public String[] getInfo() {
        return info;
    }"
vfs_7_1,"        final FileSystemException fse = new FileSystemException(""vfs.provider/rename.error"", ""file://test.bin"",
        assertEquals(""file://test.bin"", fse.getInfo()[0]);",FileSystemExceptionTest::testMasksPasswordOfUrlsWithBasicAuthentication_1_oe,org.apache.commons.vfs2.FileSystemException,getInfo(),"/**
     * Retrieves array of complementary info (context). Could be used as parameter for internationalization.
     *
     * @return the context info.
     */","public String[] getInfo() {
        return info;
    }"
vfs_7_2,"        final FileSystemException fse = new FileSystemException(""vfs.provider/rename.error"", ""file://test.bin"",
        assertEquals(""http://foo:***@junit.org/test.bin"", fse.getInfo()[1]);",FileSystemExceptionTest::testMasksPasswordOfUrlsWithBasicAuthentication_2_oe,org.apache.commons.vfs2.FileSystemException,getInfo(),"/**
     * Retrieves array of complementary info (context). Could be used as parameter for internationalization.
     *
     * @return the context info.
     */","public String[] getInfo() {
        return info;
    }"
vfs_8_1,"        final FileSystemException fse = new FileSystemException(""vfs.provider/delete.error"",
        assertEquals(""zip:http://foo:***@junit.org/test.bin"", fse.getInfo()[0]);",FileSystemExceptionTest::testProperDetectionOfUrl_1_oe,org.apache.commons.vfs2.FileSystemException,getInfo(),"/**
     * Retrieves array of complementary info (context). Could be used as parameter for internationalization.
     *
     * @return the context info.
     */","public String[] getInfo() {
        return info;
    }"
vfs_59_1,"        final Fixture expectedFixture = new Fixture();
        final byte[] serialized = SerializationUtils.serialize(expectedFixture);
        final Fixture actualFixture = (Fixture) SerializationUtils.deserialize(serialized);
        assertEquals(expectedFixture.getFileType(), actualFixture.getFileType());",FileTypeTest::testSerializationContainer_1_oe,org.apache.commons.vfs2.provider.ftp.FtpFileSystemConfigBuilder,getFileType(final FileSystemOptions options),"/**
     * Gets the file type parameter.
     *
     * @param options The FileSystemOptions.
     * @return A FtpFileType
     * @since 2.1
     */","public FtpFileType getFileType(final FileSystemOptions options) {
        return getEnum(FtpFileType.class, options, FILE_TYPE);
    }"
vfs_61_1,"        final StandardFileSystemManager fileSystemManager = new StandardFileSystemManager();
        Assert.assertEquals(fileSystemManager, VFS.getManager());",VFSTest::test_setManager_1_oe,org.apache.commons.vfs2.VFS,getManager(),"/**
     * Returns the default {@link FileSystemManager} instance.
     * <p>
     * Warning, if you close this instance you may affect all current and future users of this manager singleton.
     * </p>
     *
     * @return The FileSystemManager.
     * @throws FileSystemException if an error occurs creating the manager.
     */","public static synchronized FileSystemManager getManager() throws FileSystemException {
        if (instance == null) {
            instance = reset();
        }
        return instance;
    }"
vfs_61_2,        Assert.assertNotNull(VFS.getManager());,VFSTest::test_setManager_2_oe,org.apache.commons.vfs2.VFS,getManager(),"/**
     * Returns the default {@link FileSystemManager} instance.
     * <p>
     * Warning, if you close this instance you may affect all current and future users of this manager singleton.
     * </p>
     *
     * @return The FileSystemManager.
     * @throws FileSystemException if an error occurs creating the manager.
     */","public static synchronized FileSystemManager getManager() throws FileSystemException {
        if (instance == null) {
            instance = reset();
        }
        return instance;
    }"
vfs_61_3,"        final StandardFileSystemManager fileSystemManager = new StandardFileSystemManager();
        Assert.assertNotEquals(fileSystemManager, VFS.getManager());",VFSTest::test_setManager_3_oe,org.apache.commons.vfs2.VFS,getManager(),"/**
     * Returns the default {@link FileSystemManager} instance.
     * <p>
     * Warning, if you close this instance you may affect all current and future users of this manager singleton.
     * </p>
     *
     * @return The FileSystemManager.
     * @throws FileSystemException if an error occurs creating the manager.
     */","public static synchronized FileSystemManager getManager() throws FileSystemException {
        if (instance == null) {
            instance = reset();
        }
        return instance;
    }"
vfs_62_1,"        final FileSystemManager manager = VFS.getManager();
        assertNotEquals(manager, VFS.getManager());",VFSTest::testStaticClose_1_oe,org.apache.commons.vfs2.VFS,getManager(),"/**
     * Returns the default {@link FileSystemManager} instance.
     * <p>
     * Warning, if you close this instance you may affect all current and future users of this manager singleton.
     * </p>
     *
     * @return The FileSystemManager.
     * @throws FileSystemException if an error occurs creating the manager.
     */","public static synchronized FileSystemManager getManager() throws FileSystemException {
        if (instance == null) {
            instance = reset();
        }
        return instance;
    }"
vfs_88_1,"        final FileSystemOptions expected = new FileSystemOptions();
        final FileSystemOptions actual = new FileSystemOptions();
        Assert.assertEquals(expected, actual);",FileSystemOptionsTest::testEqualsHashCodeAndCompareTo_1_oe,org.apache.commons.vfs2.provider.LayeredFileNameParser,getInstance(),"/**
     * Returns the Parser.
     *
     * @return The Parser.
     */","public static LayeredFileNameParser getInstance() {
        return INSTANCE;
    }"
