id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
vfs_11_4,commons-vfs,ProviderRandomSetLengthTests,testRandomSetLength_4_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderRandomSetLengthTests.java,,,,assert,unknown,standard,fail
vfs_14_3,commons-vfs,ProviderReadTests,testDotJarFolderNameLayer_3_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderReadTests.java,,,,assert,unknown,standard,fail
vfs_16_1,commons-vfs,ProviderReadTests,testFolderContent_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderReadTests.java,,,,assert,unknown,standard,fail
vfs_34_3,commons-vfs,ContentTests,testChildren_3_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ContentTests.java,,,,assert,unknown,standard,fail
vfs_34_7,commons-vfs,ContentTests,testChildren_7_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ContentTests.java,,,,assert,unknown,standard,fail
vfs_47_1,commons-vfs,ContentTests,testUnknownContent_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ContentTests.java,,,,assert,unknown,standard,fail
vfs_47_3,commons-vfs,ContentTests,testUnknownContent_3_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ContentTests.java,,,,assert,unknown,standard,fail
vfs_57_6,commons-vfs,NamingTests,testRelativeUriEncoding_6_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/NamingTests.java,,,,assert,unknown,standard,fail
vfs_57_7,commons-vfs,NamingTests,testRelativeUriEncoding_7_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/NamingTests.java,,,,assert,unknown,standard,fail
vfs_57_8,commons-vfs,NamingTests,testRelativeUriEncoding_8_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/NamingTests.java,,,,assert,unknown,standard,fail
vfs_69_5,commons-vfs,ProviderWriteTests,testFileCreateMismatched_5_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderWriteTests.java,,,,assert,unknown,standard,fail
vfs_69_6,commons-vfs,ProviderWriteTests,testFileCreateMismatched_6_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderWriteTests.java,,,,assert,unknown,standard,fail
vfs_69_7,commons-vfs,ProviderWriteTests,testFileCreateMismatched_7_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderWriteTests.java,,,,assert,unknown,standard,fail
vfs_79_2,commons-vfs,UrlTests,testUnknownURL_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/UrlTests.java,,,,assert,unknown,standard,fail
vfs_120_2,commons-vfs,BasicOperationsTestCase,testNotFoundOperation_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/operations/BasicOperationsTestCase.java,,,,assert,unknown,standard,fail
vfs_143_2,commons-vfs,CustomRamProviderTest,testRootFolderExists_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/ram/CustomRamProviderTest.java,,,,assert,unknown,standard,fail
vfs_145_2,commons-vfs,CustomRamProviderTest,testSmallFS_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/ram/CustomRamProviderTest.java,,,,assert,unknown,standard,fail
vfs_169_3,commons-vfs,ConversionTestCase,testFileNameWithCharacters_3_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/local/ConversionTestCase.java,,,,assert,unknown,standard,assertTrue
vfs_169_4,commons-vfs,ConversionTestCase,testFileNameWithCharacters_4_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/local/ConversionTestCase.java,,,,assert,unknown,standard,assertTrue
