id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
vfs_30_1,commons-vfs,FileChangeEventTest,testFileObject_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/FileChangeEventTest.java,,,,assert,unknown,standard,assertNotNull
vfs_30_2,commons-vfs,FileChangeEventTest,testFileObject_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/FileChangeEventTest.java,,,,assert,unknown,standard,assertEquals
vfs_60_1,commons-vfs,VFSTest,test_close_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/VFSTest.java,,,,assert,unknown,standard,assertNotNull
vfs_60_2,commons-vfs,VFSTest,test_close_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/VFSTest.java,,,,assert,unknown,standard,assertFalse
vfs_130_1,commons-vfs,DefaultFileContentTest,testGetZeroContents_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/DefaultFileContentTest.java,,,,assert,unknown,standard,assertEquals
vfs_130_2,commons-vfs,DefaultFileContentTest,testGetZeroContents_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/DefaultFileContentTest.java,,,,assert,unknown,standard,assertTrue
vfs_130_3,commons-vfs,DefaultFileContentTest,testGetZeroContents_3_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/DefaultFileContentTest.java,,,,assert,unknown,standard,assertEquals
vfs_130_4,commons-vfs,DefaultFileContentTest,testGetZeroContents_4_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/DefaultFileContentTest.java,,,,assert,unknown,standard,assertEquals
vfs_130_5,commons-vfs,DefaultFileContentTest,testGetZeroContents_5_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/DefaultFileContentTest.java,,,,assert,unknown,standard,assertArrayEquals
vfs_131_3,commons-vfs,DefaultFileContentTest,testMarkingWhenReadingEOS_3_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/DefaultFileContentTest.java,,,,assert,unknown,standard,assertEquals
vfs_133_1,commons-vfs,Http4sGetContentInfoTest,testGetContentInfo_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/http4s/Http4sGetContentInfoTest.java,,,,assert,unknown,standard,assertNotNull
vfs_134_1,commons-vfs,RamFileRandomAccessContentTestCase,testInputStreamRead0xff_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/ram/RamFileRandomAccessContentTestCase.java,,,,assert,unknown,standard,assertNotEquals
vfs_134_2,commons-vfs,RamFileRandomAccessContentTestCase,testInputStreamRead0xff_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/ram/RamFileRandomAccessContentTestCase.java,,,,assert,unknown,standard,assertEquals
vfs_134_3,commons-vfs,RamFileRandomAccessContentTestCase,testInputStreamRead0xff_3_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/ram/RamFileRandomAccessContentTestCase.java,,,,assert,unknown,standard,assertEquals
vfs_162_1,commons-vfs,HttpFilesCacheTestCase,testQueryStringUrls_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/http/HttpFilesCacheTestCase.java,,,,assert,unknown,standard,assertEquals
