id,test_prefix,test_name
vfs_9_2,"    @Test
    public void testAppendContent_2_oe() throws Exception {
        final FileObject scratchFolder = createScratchFolder();

        final FileObject file = scratchFolder.resolveFile(""file1.txt"");

        final String content = ""Here is some sample content for the file.  Blah Blah Blah."";
        final String contentAppend = content + content;

        try (OutputStream os = file.getContent().getOutputStream()) {
            os.write(content.getBytes(StandardCharsets.UTF_8));
        }
        assertSameContent(content, file);
    }",ProviderWriteAppendTests::testAppendContent_2_oe
vfs_9_3,"    @Test
    public void testAppendContent_3_oe() throws Exception {
        final FileObject scratchFolder = createScratchFolder();

        final FileObject file = scratchFolder.resolveFile(""file1.txt"");

        final String content = ""Here is some sample content for the file.  Blah Blah Blah."";
        final String contentAppend = content + content;

        try (OutputStream os = file.getContent().getOutputStream()) {
            os.write(content.getBytes(StandardCharsets.UTF_8));
        }

        try (OutputStream os2 = file.getContent().getOutputStream(true)) {
            os2.write(content.getBytes(StandardCharsets.UTF_8));
        }
        assertSameContent(contentAppend, file);
    }",ProviderWriteAppendTests::testAppendContent_3_oe
vfs_9_5,"    @Test
    public void testAppendContent_5_oe() throws Exception {
        final FileObject scratchFolder = createScratchFolder();

        final FileObject file = scratchFolder.resolveFile(""file1.txt"");

        final String content = ""Here is some sample content for the file.  Blah Blah Blah."";
        final String contentAppend = content + content;

        try (OutputStream os = file.getContent().getOutputStream()) {
            os.write(content.getBytes(StandardCharsets.UTF_8));
        }

        try (OutputStream os2 = file.getContent().getOutputStream(true)) {
            os2.write(content.getBytes(StandardCharsets.UTF_8));
        }

        final FileObject fileCopy = scratchFolder.resolveFile(""file1copy.txt"");
        fileCopy.copyFrom(file, Selectors.SELECT_SELF);

        assertSameContent(contentAppend, fileCopy);
    }",ProviderWriteAppendTests::testAppendContent_5_oe
vfs_10_3,"    @Test
    public void testFolderURL_3_oe() throws Exception {
        final FileObject folder = getReadFolder().resolveFile(""dir1"");
        if (folder.getFileSystem().hasCapability(Capability.DIRECTORY_READ_CONTENT)) {
            return;
        }


        try (final InputStream inputStream = folder.getURL().openConnection().getInputStream()) {
        } catch (final IOException e) {
            assertSameMessage(""vfs.provider/read-not-file.error"", folder, e);
    }
    }",UrlStructureTests::testFolderURL_3_oe
vfs_16_2,"    @Test
    public void testFolderContent_2_oe() throws Exception {
        if (getFileSystem().hasCapability(Capability.DIRECTORY_READ_CONTENT)) {
            return;
        }

        final FileObject folder = getReadFolderDir1();
        try {
            folder.getContent().getInputStream();
        } catch (final FileSystemException e) {
            assertSameMessage(""vfs.provider/read-not-file.error"", folder, e);
    }
    }",ProviderReadTests::testFolderContent_2_oe
vfs_25_1,"    @Test
    public void testStructure_1_oe() throws Exception {
        final FileInfo baseInfo = buildExpectedStructure();
        assertSameStructure(getReadFolder(), baseInfo);
    }",ProviderReadTests::testStructure_1_oe
vfs_31_1,"    @Test
    public void testAllContent_1_oe() throws Exception {
        final FileInfo expectedFileInfo = buildExpectedStructure();
        final FileObject actualFolder = getReadFolder();

        assertSameContent(expectedFileInfo, actualFolder);
    }",ContentTests::testAllContent_1_oe
vfs_34_4,"    @Test
    public void testChildren_4_oe() throws FileSystemException {
        FileObject file = getReadFolder().resolveFile(""file1.txt"");
        try {
            file.getChildren();
        } catch (final FileSystemException e) {
            assertSameMessage(""vfs.provider/list-children-not-folder.error"", file, e);
    }
    }",ContentTests::testChildren_4_oe
vfs_34_8,"    @Test
    public void testChildren_8_oe() throws FileSystemException {
        FileObject file = getReadFolder().resolveFile(""file1.txt"");
        try {
            file.getChildren();
        } catch (final FileSystemException e) {
        }

        file = file.resolveFile(""some-child"");

        file = getReadFolder().resolveFile(""unknown-file"");
        try {
            file.getChildren();
        } catch (final FileSystemException e) {
            assertSameMessage(""vfs.provider/list-children-not-folder.error"", file, e);
    }
    }",ContentTests::testChildren_8_oe
vfs_35_1,"    @Test
    public void testContent_1_oe() throws Exception {
        FileObject file = getReadFolder().resolveFile(""file1.txt"");
        assertSameContent(FILE1_CONTENT, file);
    }",ContentTests::testContent_1_oe
vfs_35_2,"    @Test
    public void testContent_2_oe() throws Exception {
        FileObject file = getReadFolder().resolveFile(""file1.txt"");

        file = getReadFolder().resolveFile(""empty.txt"");
        assertSameContent("""", file);
    }",ContentTests::testContent_2_oe
vfs_43_3,"    @Test
    public void testReadMultipleConcurrent_3_oe() throws Exception {
        final FileObject file = getReadFolder().resolveFile(""file1.txt"");
        final FileObject emptyFile = getReadFolder().resolveFile(""empty.txt"");

        try (InputStream instr = file.getContent().getInputStream()) {
            assertSameContent("""", emptyFile);
    }
    }",ContentTests::testReadMultipleConcurrent_3_oe
vfs_46_3,"    @Test
    public void testReuse_3_oe() throws Exception {
        final FileObject file = getReadFolder().resolveFile(""file1.txt"");

        assertSameContent(FILE1_CONTENT, file);
    }",ContentTests::testReuse_3_oe
vfs_46_4,"    @Test
    public void testReuse_4_oe() throws Exception {
        final FileObject file = getReadFolder().resolveFile(""file1.txt"");


        assertSameContent(FILE1_CONTENT, file);
    }",ContentTests::testReuse_4_oe
vfs_46_5,"    @Test
    public void testReuse_5_oe() throws Exception {
        final FileObject file = getReadFolder().resolveFile(""file1.txt"");



        file.getContent().close();
        file.close();

        assertSameContent(FILE1_CONTENT, file);
    }",ContentTests::testReuse_5_oe
vfs_47_2,"    @Test
    public void testUnknownContent_2_oe() throws Exception {

        final FileObject unknownFile = getReadFolder().resolveFile(""unknown-file"");
        final FileContent content = unknownFile.getContent();
        try {
            content.getInputStream();
        } catch (final FileSystemException e) {
            assertSameMessage(""vfs.provider/read-not-file.error"", unknownFile, e);
    }
    }",ContentTests::testUnknownContent_2_oe
vfs_47_4,"    @Test
    public void testUnknownContent_4_oe() throws Exception {

        final FileObject unknownFile = getReadFolder().resolveFile(""unknown-file"");
        final FileContent content = unknownFile.getContent();
        try {
            content.getInputStream();
        } catch (final FileSystemException e) {
        }
        try {
            content.getSize();
        } catch (final FileSystemException e) {
            assertSameMessage(""vfs.provider/get-size-not-file.error"", unknownFile, e);
    }
    }",ContentTests::testUnknownContent_4_oe
vfs_53_5,"    @Test
    public void testChildName_5_oe() throws Exception {
        final FileName baseName = getReadFolder().getName();
        final String basePath = baseName.getPath();
        final FileName name = getManager().resolveName(baseName, ""some-child"", NameScope.CHILD);





        assertBadName(name, ""a/b"", NameScope.CHILD);
    }",NamingTests::testChildName_5_oe
vfs_54_1,"    @Test
    public void testDescendentName_1_oe() throws Exception {
        final FileName baseName = getReadFolder().getName();

        String path = baseName.getPath() + ""/some-child"";
        assertSameName(path, baseName, ""some-child"", NameScope.DESCENDENT);
    }",NamingTests::testDescendentName_1_oe
vfs_54_2,"    @Test
    public void testDescendentName_2_oe() throws Exception {
        final FileName baseName = getReadFolder().getName();

        String path = baseName.getPath() + ""/some-child"";

        path = path + ""/grand-child"";
        assertSameName(path, baseName, ""some-child/grand-child"", NameScope.DESCENDENT);
    }",NamingTests::testDescendentName_2_oe
vfs_54_3,"    @Test
    public void testDescendentName_3_oe() throws Exception {
        final FileName baseName = getReadFolder().getName();

        String path = baseName.getPath() + ""/some-child"";

        path = path + ""/grand-child"";

        assertSameName(path, baseName, ""./some-child/grand-child"", NameScope.DESCENDENT);
    }",NamingTests::testDescendentName_3_oe
vfs_54_4,"    @Test
    public void testDescendentName_4_oe() throws Exception {
        final FileName baseName = getReadFolder().getName();

        String path = baseName.getPath() + ""/some-child"";

        path = path + ""/grand-child"";

        assertSameName(path, baseName, ""./nada/../some-child/grand-child"", NameScope.DESCENDENT);
    }",NamingTests::testDescendentName_4_oe
vfs_54_5,"    @Test
    public void testDescendentName_5_oe() throws Exception {
        final FileName baseName = getReadFolder().getName();

        String path = baseName.getPath() + ""/some-child"";

        path = path + ""/grand-child"";

        assertSameName(path, baseName, ""some-child/./grand-child"", NameScope.DESCENDENT);
    }",NamingTests::testDescendentName_5_oe
vfs_55_1,"    @Test
    public void testNameResolution_1_oe() throws Exception {
        final FileName baseName = getReadFolder().getName();
        final String parentPath = baseName.getParent().getPath();
        final String path = baseName.getPath();
        final String childPath = path + ""/some-child"";

        assertSameName(path, baseName, """");
    }",NamingTests::testNameResolution_1_oe
vfs_55_2,"    @Test
    public void testNameResolution_2_oe() throws Exception {
        final FileName baseName = getReadFolder().getName();
        final String parentPath = baseName.getParent().getPath();
        final String path = baseName.getPath();
        final String childPath = path + ""/some-child"";


        assertSameName(path, baseName, ""."");
    }",NamingTests::testNameResolution_2_oe
vfs_55_3,"    @Test
    public void testNameResolution_3_oe() throws Exception {
        final FileName baseName = getReadFolder().getName();
        final String parentPath = baseName.getParent().getPath();
        final String path = baseName.getPath();
        final String childPath = path + ""/some-child"";



        assertSameName(path, baseName, ""./"");
    }",NamingTests::testNameResolution_3_oe
vfs_55_4,"    @Test
    public void testNameResolution_4_oe() throws Exception {
        final FileName baseName = getReadFolder().getName();
        final String parentPath = baseName.getParent().getPath();
        final String path = baseName.getPath();
        final String childPath = path + ""/some-child"";




        assertSameName(path, baseName, "".//"");
    }",NamingTests::testNameResolution_4_oe
vfs_55_5,"    @Test
    public void testNameResolution_5_oe() throws Exception {
        final FileName baseName = getReadFolder().getName();
        final String parentPath = baseName.getParent().getPath();
        final String path = baseName.getPath();
        final String childPath = path + ""/some-child"";





        assertSameName(path, baseName, "".///.///."");
    }",NamingTests::testNameResolution_5_oe
vfs_55_6,"    @Test
    public void testNameResolution_6_oe() throws Exception {
        final FileName baseName = getReadFolder().getName();
        final String parentPath = baseName.getParent().getPath();
        final String path = baseName.getPath();
        final String childPath = path + ""/some-child"";





        assertSameName(path, baseName, ""./\\/.\\//."");
    }",NamingTests::testNameResolution_6_oe
vfs_55_7,"    @Test
    public void testNameResolution_7_oe() throws Exception {
        final FileName baseName = getReadFolder().getName();
        final String parentPath = baseName.getParent().getPath();
        final String path = baseName.getPath();
        final String childPath = path + ""/some-child"";






        assertSameName(path, baseName, ""a/.."");
    }",NamingTests::testNameResolution_7_oe
