id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
vfs_left_32_1,commons-vfs,FileChangeEventTest,testFileObject_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/FileChangeEventTest.java,,,,assert,unknown,standard,assertNotNull
vfs_left_32_2,commons-vfs,FileChangeEventTest,testFileObject_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/FileChangeEventTest.java,,,,assert,unknown,standard,assertEquals
vfs_left_72_1,commons-vfs,VFSTest,test_close_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/VFSTest.java,,,,assert,unknown,standard,assertNotNull
vfs_left_72_2,commons-vfs,VFSTest,test_close_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/VFSTest.java,,,,assert,unknown,standard,assertFalse
vfs_left_174_1,commons-vfs,DefaultFileContentTest,testGetZeroContents_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/DefaultFileContentTest.java,,,,assert,unknown,standard,assertEquals
vfs_left_174_2,commons-vfs,DefaultFileContentTest,testGetZeroContents_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/DefaultFileContentTest.java,,,,assert,unknown,standard,assertTrue
vfs_left_174_3,commons-vfs,DefaultFileContentTest,testGetZeroContents_3_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/DefaultFileContentTest.java,,,,assert,unknown,standard,assertEquals
vfs_left_174_4,commons-vfs,DefaultFileContentTest,testGetZeroContents_4_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/DefaultFileContentTest.java,,,,assert,unknown,standard,assertEquals
vfs_left_174_5,commons-vfs,DefaultFileContentTest,testGetZeroContents_5_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/DefaultFileContentTest.java,,,,assert,unknown,standard,assertArrayEquals
vfs_left_175_3,commons-vfs,DefaultFileContentTest,testMarkingWhenReadingEOS_3_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/provider/DefaultFileContentTest.java,,,,assert,unknown,standard,assertEquals
vfs_left_188_1,commons-vfs,CanReadFileFilterTest,testAcceptZipFile_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/filter/CanReadFileFilterTest.java,,,,assert,unknown,custom,assertContains
vfs_left_188_4,commons-vfs,CanReadFileFilterTest,testAcceptZipFile_4_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/filter/CanReadFileFilterTest.java,,,,assert,unknown,custom,assertContains
vfs_left_191_2,commons-vfs,CanWriteFileFilterTest,testAcceptZipFile_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/filter/CanWriteFileFilterTest.java,,,,assert,unknown,custom,assertContains
vfs_left_200_7,commons-vfs,AgeFileFilterTest,testAgeFileFilterLongBoolean_7_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/filter/AgeFileFilterTest.java,,,,assert,unknown,custom,assertContains
vfs_left_200_9,commons-vfs,AgeFileFilterTest,testAgeFileFilterLongBoolean_9_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/filter/AgeFileFilterTest.java,,,,assert,unknown,custom,assertContains
vfs_left_203_1,commons-vfs,AndFileFilterTest,testAddFileFilter_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/filter/AndFileFilterTest.java,,,,assert,unknown,custom,assertContainsOnly
vfs_left_204_1,commons-vfs,AndFileFilterTest,testAndFileFilterFileFilter_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/filter/AndFileFilterTest.java,,,,assert,unknown,custom,assertContainsOnly
