focal_file_path,focal_package,focal_class,classname,method,docstring,method_definition
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-weaver/processor/src/main/java/org/apache/commons/weaver/ProcessorBase.java,org.apache.commons.weaver,org.apache.commons.weaver.ProcessorBase,org.apache.commons.weaver.ProcessorBase,getServiceInstances(final Class<T> type),"/**
     * Use the {@link ServiceLoader} to discover available {@code type} implementations.
     *
     * @param type not {@code null}
     * @return {@link Iterable} of {@code T}
     */","static <T> Iterable<T> getServiceInstances(final Class<T> type) {
        Validate.notNull(type);
        final List<T> result = new ArrayList<>();
        final ClassLoader typeLoader = type.getClassLoader();
        if (!Thread.currentThread().getContextClassLoader().equals(typeLoader)) {
            for (final T t : ServiceLoader.load(type, typeLoader)) {
                result.add(t);
            }
        }
        for (final T t : ServiceLoader.load(type)) {
            result.add(t);
        }
        return Collections.unmodifiableList(result);
    }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-weaver/processor/src/main/java/org/apache/commons/weaver/ProcessorBase.java,org.apache.commons.weaver,org.apache.commons.weaver.ProcessorBase,org.apache.commons.weaver.ProcessorBase,createClassLoader(),,"private ClassLoader createClassLoader() {
        final Set<String> finderClasspath = new LinkedHashSet<>();
        finderClasspath.add(target.getAbsolutePath());
        finderClasspath.addAll(classpath);
        return new URLClassLoader(URLArray.fromPaths(finderClasspath));
    }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-weaver/processor/src/main/java/org/apache/commons/weaver/Inflater.java,org.apache.commons.weaver,org.apache.commons.weaver.Inflater.InfoMatcher,org.apache.commons.weaver.Inflater.InfoMatcher,test(final Info info),,"public boolean test(final Info info) {
            return type.isInstance(info);
        }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-weaver/processor/src/main/java/org/apache/commons/weaver/Inflater.java,org.apache.commons.weaver,org.apache.commons.weaver.Inflater.MethodMatcher,org.apache.commons.weaver.Inflater.MethodMatcher,test(final Info info),,"@Override
        public boolean test(final Info info) {
            return super.test(info) && ((MethodInfo) info).isConstructor() == isCtor;
        }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-weaver/processor/src/main/java/org/apache/commons/weaver/Inflater.java,org.apache.commons.weaver,org.apache.commons.weaver.Inflater.ParameterMatcher,org.apache.commons.weaver.Inflater.ParameterMatcher,test(final Info info),,"@Override
        public boolean test(final Info info) {
            return super.test(info) && ((ParameterInfo) info).getDeclaringMethod().isConstructor() == isCtor;
        }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-weaver/processor/src/main/java/org/apache/commons/weaver/Inflater.java,org.apache.commons.weaver,org.apache.commons.weaver.Inflater,org.apache.commons.weaver.Inflater,"subMap(final Map<Info, List<Annotation>> source,
        final InfoMatcher matcher)",,"static <I extends Info> Map<I, List<Annotation>> subMap(final Map<Info, List<Annotation>> source,
        final InfoMatcher matcher) {
        @SuppressWarnings(""unchecked"")
        final Map<I, List<Annotation>> result = source.entrySet().stream().filter(e -> matcher.test(e.getKey()))
            .collect(Collectors.toMap(t -> (I) t.getKey(), Map.Entry::getValue));

        return result;
    }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-weaver/processor/src/main/java/org/apache/commons/weaver/Inflater.java,org.apache.commons.weaver,org.apache.commons.weaver.Inflater,org.apache.commons.weaver.Inflater,inflate(final ScanResult scanResult),,"ScanResult inflate(final ScanResult scanResult) {
        for (final WeavablePackage pkg : scanResult.getPackages()) {
            packageAnnotations.forEach((k, v) -> {
                if (k.getName().equals(pkg.getTarget().getName())) {
                    pkg.addAnnotations(v);
                }
            });
            for (final WeavableClass<?> cls : pkg.getClasses()) {
                classAnnotations.forEach((k, v) -> {
                    if (k.getName().equals(cls.getTarget().getName())) {
                        cls.addAnnotations(v);
                    }
                });
                for (final WeavableField<?> fld : cls.getFields()) {
                    fieldAnnotations.forEach((k, v) -> {
                        try {
                            if (k.get().equals(fld.getTarget())) {
                                fld.addAnnotations(v);
                            }
                        } catch (final ClassNotFoundException ignored) {
                        }
                    });
                }
                for (final WeavableConstructor<?> ctor : cls.getConstructors()) {
                    ctorAnnotations.forEach((k, v) -> {
                        try {
                            if (k.get().equals(ctor.getTarget())) {
                                ctor.addAnnotations(v);
                            }
                        } catch (final ClassNotFoundException ignored) {
                        }
                    });
                    for (final WeavableConstructorParameter<?> param : ctor.getParameters()) {
                        ctorParameterAnnotations.forEach((k, v) -> {
                            try {
                                final Parameter<?> parameter = k.get();
                                if (parameter.getDeclaringExecutable().equals(ctor.getTarget())
                                    && param.getTarget().intValue() == parameter.getIndex()) {
                                    param.addAnnotations(v);
                                }
                            } catch (final ClassNotFoundException ignored) {
                            }
                        });
                    }
                }
                for (final WeavableMethod<?> methd : cls.getMethods()) {
                    methodAnnotations.forEach((k, v) -> {
                        try {
                            if (k.get().equals(methd.getTarget())) {
                                methd.addAnnotations(v);
                            }
                        } catch (final ClassNotFoundException ignored) {
                        }
                    });
                    for (final WeavableMethodParameter<?> param : methd.getParameters()) {
                        methodParameterAnnotations.forEach((k, v) -> {
                            try {
                                final Parameter<?> parameter = k.get();
                                if (parameter.getDeclaringExecutable().equals(methd.getTarget())
                                    && param.getTarget().intValue() == parameter.getIndex()) {
                                    param.addAnnotations(v);
                                }
                            } catch (final ClassNotFoundException ignored) {
                            }
                        });
                    }
                }
            }
        }
        return scanResult;
    }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-weaver/processor/src/main/java/org/apache/commons/weaver/LocalWeaveEnvironment.java,org.apache.commons.weaver,org.apache.commons.weaver.LocalWeaveEnvironment,org.apache.commons.weaver.LocalWeaveEnvironment,deleteResource(final String name),,"@Override
    public boolean deleteResource(final String name) {
        return new File(target, name).delete();
    }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-weaver/processor/src/main/java/org/apache/commons/weaver/LocalWeaveEnvironment.java,org.apache.commons.weaver,org.apache.commons.weaver.LocalWeaveEnvironment,org.apache.commons.weaver.LocalWeaveEnvironment,getOutputStream(final String resourceName),,"@Override
    protected OutputStream getOutputStream(final String resourceName) throws IOException {
        final File file = new File(target, resourceName);
        final File parent = file.getParentFile();
        if (parent.exists()) {
            Validate.validState(parent.isDirectory(), ""Cannot write %s to non-directory parent"", file);
        } else {
            Validate.validState(parent.mkdirs(), ""Unable to create output directory %s"", parent);
        }
        return new FileOutputStream(file);
    }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-weaver/processor/src/main/java/org/apache/commons/weaver/WeaveProcessor.java,org.apache.commons.weaver,org.apache.commons.weaver.WeaveProcessor,org.apache.commons.weaver.WeaveProcessor,void weave(),"/**
     * Weave classes in target directory.
     */","public void weave() {
        if (!target.exists()) {
            log.warning(() -> String.format(""Target directory %s does not exist; nothing to do!"", target));
        }
        for (final Weaver weaver : providers) {
            final WeaveEnvironment env = new LocalWeaveEnvironment(target, classLoader, configuration,
                Logger.getLogger(weaver.getClass().getName()));
            weaver.process(env, finder);
        }
    }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-weaver/processor/src/main/java/org/apache/commons/weaver/Finder.java,org.apache.commons.weaver,org.apache.commons.weaver.Finder.AnnotationInflater,org.apache.commons.weaver.Finder.AnnotationInflater,inflate(),,"Annotation inflate() {
            return Annotations.instanceOf(annotationType, elements);
        }"
