id,test_prefix,test_name
http_1_1,"  @Test
  public void encode_1_oe() {
    assertEquals(""http://google.com"", HttpRequest.encode(""http://google.com""));
  }
",EncodeTest::encode_1_oe
http_1_2,"  @Test
  public void encode_2_oe() {
    // removed other assertion

    assertEquals(""https://google.com"", HttpRequest.encode(""https://google.com""));
  }
",EncodeTest::encode_2_oe
http_1_3,"  @Test
  public void encode_3_oe() {
    // removed other assertion

    // removed other assertion

    assertEquals(""http://google.com/a"",HttpRequest.encode(""http://google.com/a""));
  }
",EncodeTest::encode_3_oe
http_1_4,"  @Test
  public void encode_4_oe() {
    // removed other assertion

    // removed other assertion

    // removed other assertion

    assertEquals(""http://google.com/a/"",HttpRequest.encode(""http://google.com/a/""));
  }
",EncodeTest::encode_4_oe
http_1_5,"  @Test
  public void encode_5_oe() {
    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    assertEquals(""http://google.com/a/b"",HttpRequest.encode(""http://google.com/a/b""));
  }
",EncodeTest::encode_5_oe
http_1_6,"  @Test
  public void encode_6_oe() {
    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    assertEquals(""http://google.com/a?"",HttpRequest.encode(""http://google.com/a?""));
  }
",EncodeTest::encode_6_oe
http_1_7,"  @Test
  public void encode_7_oe() {
    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    assertEquals(""http://google.com/a?b=c"",HttpRequest.encode(""http://google.com/a?b=c""));
  }
",EncodeTest::encode_7_oe
http_1_8,"  @Test
  public void encode_8_oe() {
    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    assertEquals(""http://google.com/a?b=c%20d"",HttpRequest.encode(""http://google.com/a?b=c d""));
  }
",EncodeTest::encode_8_oe
http_1_9,"  @Test
  public void encode_9_oe() {
    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    assertEquals(""http://google.com/a%20b"",HttpRequest.encode(""http://google.com/a b""));
  }
",EncodeTest::encode_9_oe
http_1_10,"  @Test
  public void encode_10_oe() {
    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    assertEquals(""http://google.com/a.b"",HttpRequest.encode(""http://google.com/a.b""));
  }
",EncodeTest::encode_10_oe
http_1_11,"  @Test
  public void encode_11_oe() {
    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    assertEquals(""http://google.com/%E2%9C%93?a=b"",HttpRequest.encode(""http://google.com/\u2713?a=b""));
  }
",EncodeTest::encode_11_oe
http_1_12,"  @Test
  public void encode_12_oe() {
    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    // removed other assertion

    assertEquals(""http://google.com/a%5Eb"",HttpRequest.encode(""http://google.com/a^b""));
  }
",EncodeTest::encode_12_oe
