id,test_prefix,test_name
http_2_1,"  @Test
  public void malformedStringUrlCause_1_oe() {
    try {
      delete(""\\m/"");
      fail(""Exception not thrown"");
  }
  }
",HttpRequestTest::malformedStringUrlCause_1_oe
http_67_1,"  @Test
  public void postMultipart_1_oe() throws Exception {
    final StringBuilder body = new StringBuilder();
    handler = new RequestHandler() {

      @Override
      public void handle(Request request, HttpServletResponse response) {
        response.setStatus(HTTP_OK);
        char[] buffer = new char[8192];
        int read;
        try {
          while ((read = request.getReader().read(buffer)) != -1)
            body.append(buffer, 0, read);
        } catch (IOException e) {
          fail();
  }
  }
  }
  }
",HttpRequestTest::postMultipart_1_oe
http_69_1,"  @Test
  public void receiveAppendable_1_oe() throws Exception {
    final StringBuilder body = new StringBuilder();
    handler = new RequestHandler() {

      @Override
      public void handle(Request request, HttpServletResponse response) {
        response.setStatus(HTTP_OK);
        try {
          response.getWriter().print(""content"");
        } catch (IOException e) {
          fail();
  }
  }
  }
  }
",HttpRequestTest::receiveAppendable_1_oe
http_70_1,"  @Test
  public void receiveWriter_1_oe() throws Exception {
    handler = new RequestHandler() {

      @Override
      public void handle(Request request, HttpServletResponse response) {
        response.setStatus(HTTP_OK);
        try {
          response.getWriter().print(""content"");
        } catch (IOException e) {
          fail();
  }
  }
  }
  }
",HttpRequestTest::receiveWriter_1_oe
http_71_1,"  @Test
  public void receivePrintStream_1_oe() throws Exception {
    handler = new RequestHandler() {

      @Override
      public void handle(Request request, HttpServletResponse response) {
        response.setStatus(HTTP_OK);
        try {
          response.getWriter().print(""content"");
        } catch (IOException e) {
          fail();
  }
  }
  }
  }
",HttpRequestTest::receivePrintStream_1_oe
http_72_1,"  @Test
  public void receiveFile_1_oe() throws Exception {
    handler = new RequestHandler() {

      @Override
      public void handle(Request request, HttpServletResponse response) {
        response.setStatus(HTTP_OK);
        try {
          response.getWriter().print(""content"");
        } catch (IOException e) {
          fail();
  }
  }
  }
  }
",HttpRequestTest::receiveFile_1_oe
http_78_1,"  @Test
  public void sendErrorReadStream_1_oe() throws Exception {
    handler = new RequestHandler() {

      @Override
      public void handle(Request request, HttpServletResponse response) {
        response.setStatus(HTTP_OK);
        try {
          response.getWriter().print(""content"");
        } catch (IOException e) {
          fail();
  }
  }
  }
  }
",HttpRequestTest::sendErrorReadStream_1_oe
http_78_2,"  @Test
  public void sendErrorReadStream_2_oe() throws Exception {
    handler = new RequestHandler() {

      @Override
      public void handle(Request request, HttpServletResponse response) {
        response.setStatus(HTTP_OK);
        try {
          response.getWriter().print(""content"");
        } catch (IOException e) {
          // removed other assertion
        }
      }
    };
    final IOException readCause = new IOException();
    final IOException closeCause = new IOException();
    InputStream stream = new InputStream() {

      public int read() throws IOException {
        throw readCause;
      }

      public void close() throws IOException {
        throw closeCause;
      }
    };
    try {
      post(url).send(stream);
      fail(""Exception not thrown"");
  }
  }
",HttpRequestTest::sendErrorReadStream_2_oe
http_79_1,"  @Test
  public void sendErrorCloseStream_1_oe() throws Exception {
    handler = new RequestHandler() {

      @Override
      public void handle(Request request, HttpServletResponse response) {
        response.setStatus(HTTP_OK);
        try {
          response.getWriter().print(""content"");
        } catch (IOException e) {
          fail();
  }
  }
  }
  }
",HttpRequestTest::sendErrorCloseStream_1_oe
http_79_2,"  @Test
  public void sendErrorCloseStream_2_oe() throws Exception {
    handler = new RequestHandler() {

      @Override
      public void handle(Request request, HttpServletResponse response) {
        response.setStatus(HTTP_OK);
        try {
          response.getWriter().print(""content"");
        } catch (IOException e) {
          // removed other assertion
        }
      }
    };
    final IOException closeCause = new IOException();
    InputStream stream = new InputStream() {

      public int read() throws IOException {
        return -1;
      }

      public void close() throws IOException {
        throw closeCause;
      }
    };
    try {
      post(url).ignoreCloseExceptions(false).send(stream);
      fail(""Exception not thrown"");
  }
  }
",HttpRequestTest::sendErrorCloseStream_2_oe
http_81_1,"  @Test
  public void getToOutputBody_1_oe() throws Exception {
    handler = new RequestHandler() {

      @Override
      public void handle(Request request, HttpServletResponse response) {
        response.setStatus(HTTP_OK);
        try {
          response.getWriter().print(""hello world"");
        } catch (IOException e) {
          fail();
  }
  }
  }
  }
",HttpRequestTest::getToOutputBody_1_oe
http_82_1,"  @Test
  public void getToOutputBodyWithCharset_1_oe() throws Exception {
    handler = new RequestHandler() {

      @Override
      public void handle(Request request, HttpServletResponse response) {
        response.setStatus(HTTP_OK);
        try {
          response.getWriter().print(""hello world"");
        } catch (IOException e) {
          fail();
  }
  }
  }
  }
",HttpRequestTest::getToOutputBodyWithCharset_1_oe
