id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version
joda_1436_1,joda-time,TestSerialization,testTest_1_oe,src/test/java/org/joda/time/TestSerialization.java,,,,assert,unknown
joda_1436_2,joda-time,TestSerialization,testTest_2_oe,src/test/java/org/joda/time/TestSerialization.java,,,,assert,unknown
joda_1436_3,joda-time,TestSerialization,testTest_3_oe,src/test/java/org/joda/time/TestSerialization.java,,,,assert,unknown
joda_1437_1,joda-time,TestChronology,testTest_1_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1437_2,joda-time,TestChronology,testTest_2_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1437_3,joda-time,TestChronology,testTest_3_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1438_1,joda-time,TestChronology,testEqualsHashCode_ISO_1_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1438_2,joda-time,TestChronology,testEqualsHashCode_ISO_2_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1438_3,joda-time,TestChronology,testEqualsHashCode_ISO_3_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1438_4,joda-time,TestChronology,testEqualsHashCode_ISO_4_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1438_5,joda-time,TestChronology,testEqualsHashCode_ISO_5_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1438_6,joda-time,TestChronology,testEqualsHashCode_ISO_6_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1439_1,joda-time,TestChronology,testEqualsHashCode_Lenient_1_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1439_2,joda-time,TestChronology,testEqualsHashCode_Lenient_2_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1439_3,joda-time,TestChronology,testEqualsHashCode_Lenient_3_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1439_4,joda-time,TestChronology,testEqualsHashCode_Lenient_4_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1439_5,joda-time,TestChronology,testEqualsHashCode_Lenient_5_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1439_6,joda-time,TestChronology,testEqualsHashCode_Lenient_6_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1440_1,joda-time,TestChronology,testEqualsHashCode_Strict_1_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1440_2,joda-time,TestChronology,testEqualsHashCode_Strict_2_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1440_3,joda-time,TestChronology,testEqualsHashCode_Strict_3_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1440_4,joda-time,TestChronology,testEqualsHashCode_Strict_4_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1440_5,joda-time,TestChronology,testEqualsHashCode_Strict_5_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1440_6,joda-time,TestChronology,testEqualsHashCode_Strict_6_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1441_1,joda-time,TestChronology,testEqualsHashCode_Limit_1_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1441_2,joda-time,TestChronology,testEqualsHashCode_Limit_2_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1441_3,joda-time,TestChronology,testEqualsHashCode_Limit_3_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1441_4,joda-time,TestChronology,testEqualsHashCode_Limit_4_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1441_5,joda-time,TestChronology,testEqualsHashCode_Limit_5_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1441_6,joda-time,TestChronology,testEqualsHashCode_Limit_6_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1441_7,joda-time,TestChronology,testEqualsHashCode_Limit_7_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1441_8,joda-time,TestChronology,testEqualsHashCode_Limit_8_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1441_9,joda-time,TestChronology,testEqualsHashCode_Limit_9_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1442_1,joda-time,TestChronology,testEqualsHashCode_Zoned_1_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1442_2,joda-time,TestChronology,testEqualsHashCode_Zoned_2_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1442_3,joda-time,TestChronology,testEqualsHashCode_Zoned_3_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1442_4,joda-time,TestChronology,testEqualsHashCode_Zoned_4_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
joda_1442_5,joda-time,TestChronology,testEqualsHashCode_Zoned_5_oe,src/test/java/org/joda/time/TestChronology.java,,,,assert,unknown
