id,test_prefix,test_name
joda_335_18,"    public void testStandard_18_oe() throws Exception {
        PeriodType type = PeriodType.standard();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testStandard_18_oe
joda_336_17,"    public void testYearMonthDayTime_17_oe() throws Exception {
        PeriodType type = PeriodType.yearMonthDayTime();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testYearMonthDayTime_17_oe
joda_337_13,"    public void testYearMonthDay_13_oe() throws Exception {
        PeriodType type = PeriodType.yearMonthDay();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testYearMonthDay_13_oe
joda_338_17,"    public void testYearWeekDayTime_17_oe() throws Exception {
        PeriodType type = PeriodType.yearWeekDayTime();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testYearWeekDayTime_17_oe
joda_339_13,"    public void testYearWeekDay_13_oe() throws Exception {
        PeriodType type = PeriodType.yearWeekDay();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testYearWeekDay_13_oe
joda_340_16,"    public void testYearDayTime_16_oe() throws Exception {
        PeriodType type = PeriodType.yearDayTime();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testYearDayTime_16_oe
joda_341_12,"    public void testYearDay_12_oe() throws Exception {
        PeriodType type = PeriodType.yearDay();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testYearDay_12_oe
joda_342_15,"    public void testDayTime_15_oe() throws Exception {
        PeriodType type = PeriodType.dayTime();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testDayTime_15_oe
joda_343_14,"    public void testTime_14_oe() throws Exception {
        PeriodType type = PeriodType.time();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testTime_14_oe
joda_344_11,"    public void testYears_11_oe() throws Exception {
        PeriodType type = PeriodType.years();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testYears_11_oe
joda_345_11,"    public void testMonths_11_oe() throws Exception {
        PeriodType type = PeriodType.months();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testMonths_11_oe
joda_346_11,"    public void testWeeks_11_oe() throws Exception {
        PeriodType type = PeriodType.weeks();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testWeeks_11_oe
joda_347_11,"    public void testDays_11_oe() throws Exception {
        PeriodType type = PeriodType.days();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testDays_11_oe
joda_348_11,"    public void testHours_11_oe() throws Exception {
        PeriodType type = PeriodType.hours();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testHours_11_oe
joda_349_11,"    public void testMinutes_11_oe() throws Exception {
        PeriodType type = PeriodType.minutes();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testMinutes_11_oe
joda_350_11,"    public void testSeconds_11_oe() throws Exception {
        PeriodType type = PeriodType.seconds();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testSeconds_11_oe
joda_351_11,"    public void testMillis_11_oe() throws Exception {
        PeriodType type = PeriodType.millis();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testMillis_11_oe
joda_353_12,"    public void testForFields2_12_oe() throws Exception {
        DurationFieldType[] types = new DurationFieldType[] {
            DurationFieldType.years(),
            DurationFieldType.hours(),
        };
        PeriodType type = PeriodType.forFields(types);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testForFields2_12_oe
joda_354_12,"    public void testForFields3_12_oe() throws Exception {
        DurationFieldType[] types = new DurationFieldType[] {
            DurationFieldType.months(),
            DurationFieldType.weeks(),
        };
        PeriodType type = PeriodType.forFields(types);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertSameAfterSerialization(type);
    }
",TestPeriodType::testForFields3_12_oe
joda_359_17,"    public void testMaskYears_17_oe() throws Exception {
        PeriodType type = PeriodType.standard().withYearsRemoved();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEqualsAfterSerialization(type);
    }
",TestPeriodType::testMaskYears_17_oe
joda_360_17,"    public void testMaskMonths_17_oe() throws Exception {
        PeriodType type = PeriodType.standard().withMonthsRemoved();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEqualsAfterSerialization(type);
    }
",TestPeriodType::testMaskMonths_17_oe
joda_361_17,"    public void testMaskWeeks_17_oe() throws Exception {
        PeriodType type = PeriodType.standard().withWeeksRemoved();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEqualsAfterSerialization(type);
    }
",TestPeriodType::testMaskWeeks_17_oe
joda_362_17,"    public void testMaskDays_17_oe() throws Exception {
        PeriodType type = PeriodType.standard().withDaysRemoved();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEqualsAfterSerialization(type);
    }
",TestPeriodType::testMaskDays_17_oe
joda_363_17,"    public void testMaskHours_17_oe() throws Exception {
        PeriodType type = PeriodType.standard().withHoursRemoved();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEqualsAfterSerialization(type);
    }
",TestPeriodType::testMaskHours_17_oe
joda_364_17,"    public void testMaskMinutes_17_oe() throws Exception {
        PeriodType type = PeriodType.standard().withMinutesRemoved();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEqualsAfterSerialization(type);
    }
",TestPeriodType::testMaskMinutes_17_oe
