id,test_prefix,test_name
joda_335_18_1,"    public void testStandard_18_oe_1_oe() throws Exception {
        PeriodType type = PeriodType.standard();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
                final PeriodType type1 = type;
        ByteArrayOutputStream baos = new ByteArrayOutputStream();
                ObjectOutputStream oos = new ObjectOutputStream(baos);
                oos.writeObject(type1);
                oos.close();
                byte[] bytes = baos.toByteArray();
        
                ByteArrayInputStream bais = new ByteArrayInputStream(bytes);
                ObjectInputStream ois = new ObjectInputStream(bais);
                PeriodType result = (PeriodType) ois.readObject();
                ois.close();
        
                assertEquals(type1,result);
    }
",TestPeriodType::testStandard_18_oe_1_oe
joda_336_17_1,"    public void testYearMonthDayTime_17_oe_1_oe() throws Exception {
        PeriodType type = PeriodType.yearMonthDayTime();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
                final PeriodType type1 = type;
        ByteArrayOutputStream baos = new ByteArrayOutputStream();
                ObjectOutputStream oos = new ObjectOutputStream(baos);
                oos.writeObject(type1);
                oos.close();
                byte[] bytes = baos.toByteArray();
        
                ByteArrayInputStream bais = new ByteArrayInputStream(bytes);
                ObjectInputStream ois = new ObjectInputStream(bais);
                PeriodType result = (PeriodType) ois.readObject();
                ois.close();
        
                assertEquals(type1,result);
    }
",TestPeriodType::testYearMonthDayTime_17_oe_1_oe
joda_337_13_1,"    public void testYearMonthDay_13_oe_1_oe() throws Exception {
        PeriodType type = PeriodType.yearMonthDay();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
                final PeriodType type1 = type;
        ByteArrayOutputStream baos = new ByteArrayOutputStream();
                ObjectOutputStream oos = new ObjectOutputStream(baos);
                oos.writeObject(type1);
                oos.close();
                byte[] bytes = baos.toByteArray();
        
                ByteArrayInputStream bais = new ByteArrayInputStream(bytes);
                ObjectInputStream ois = new ObjectInputStream(bais);
                PeriodType result = (PeriodType) ois.readObject();
                ois.close();
        
                assertEquals(type1,result);
    }
",TestPeriodType::testYearMonthDay_13_oe_1_oe
joda_338_17_1,"    public void testYearWeekDayTime_17_oe_1_oe() throws Exception {
        PeriodType type = PeriodType.yearWeekDayTime();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
                final PeriodType type1 = type;
        ByteArrayOutputStream baos = new ByteArrayOutputStream();
                ObjectOutputStream oos = new ObjectOutputStream(baos);
                oos.writeObject(type1);
                oos.close();
                byte[] bytes = baos.toByteArray();
        
                ByteArrayInputStream bais = new ByteArrayInputStream(bytes);
                ObjectInputStream ois = new ObjectInputStream(bais);
                PeriodType result = (PeriodType) ois.readObject();
                ois.close();
        
                assertEquals(type1,result);
    }
",TestPeriodType::testYearWeekDayTime_17_oe_1_oe
joda_339_13_1,"    public void testYearWeekDay_13_oe_1_oe() throws Exception {
        PeriodType type = PeriodType.yearWeekDay();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
                final PeriodType type1 = type;
        ByteArrayOutputStream baos = new ByteArrayOutputStream();
                ObjectOutputStream oos = new ObjectOutputStream(baos);
                oos.writeObject(type1);
                oos.close();
                byte[] bytes = baos.toByteArray();
        
                ByteArrayInputStream bais = new ByteArrayInputStream(bytes);
                ObjectInputStream ois = new ObjectInputStream(bais);
                PeriodType result = (PeriodType) ois.readObject();
                ois.close();
        
                assertEquals(type1,result);
    }
",TestPeriodType::testYearWeekDay_13_oe_1_oe
joda_340_16_1,"    public void testYearDayTime_16_oe_1_oe() throws Exception {
        PeriodType type = PeriodType.yearDayTime();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
                final PeriodType type1 = type;
        ByteArrayOutputStream baos = new ByteArrayOutputStream();
                ObjectOutputStream oos = new ObjectOutputStream(baos);
                oos.writeObject(type1);
                oos.close();
                byte[] bytes = baos.toByteArray();
        
                ByteArrayInputStream bais = new ByteArrayInputStream(bytes);
                ObjectInputStream ois = new ObjectInputStream(bais);
                PeriodType result = (PeriodType) ois.readObject();
                ois.close();
        
                assertEquals(type1,result);
    }
",TestPeriodType::testYearDayTime_16_oe_1_oe
joda_341_12_1,"    public void testYearDay_12_oe_1_oe() throws Exception {
        PeriodType type = PeriodType.yearDay();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
                final PeriodType type1 = type;
        ByteArrayOutputStream baos = new ByteArrayOutputStream();
                ObjectOutputStream oos = new ObjectOutputStream(baos);
                oos.writeObject(type1);
                oos.close();
                byte[] bytes = baos.toByteArray();
        
                ByteArrayInputStream bais = new ByteArrayInputStream(bytes);
                ObjectInputStream ois = new ObjectInputStream(bais);
                PeriodType result = (PeriodType) ois.readObject();
                ois.close();
        
                assertEquals(type1,result);
    }
",TestPeriodType::testYearDay_12_oe_1_oe
joda_342_15_1,"    public void testDayTime_15_oe_1_oe() throws Exception {
        PeriodType type = PeriodType.dayTime();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
                final PeriodType type1 = type;
        ByteArrayOutputStream baos = new ByteArrayOutputStream();
                ObjectOutputStream oos = new ObjectOutputStream(baos);
                oos.writeObject(type1);
                oos.close();
                byte[] bytes = baos.toByteArray();
        
                ByteArrayInputStream bais = new ByteArrayInputStream(bytes);
                ObjectInputStream ois = new ObjectInputStream(bais);
                PeriodType result = (PeriodType) ois.readObject();
                ois.close();
        
                assertEquals(type1,result);
    }
",TestPeriodType::testDayTime_15_oe_1_oe
joda_343_14_1,"    public void testTime_14_oe_1_oe() throws Exception {
        PeriodType type = PeriodType.time();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
                final PeriodType type1 = type;
        ByteArrayOutputStream baos = new ByteArrayOutputStream();
                ObjectOutputStream oos = new ObjectOutputStream(baos);
                oos.writeObject(type1);
                oos.close();
                byte[] bytes = baos.toByteArray();
        
                ByteArrayInputStream bais = new ByteArrayInputStream(bytes);
                ObjectInputStream ois = new ObjectInputStream(bais);
                PeriodType result = (PeriodType) ois.readObject();
                ois.close();
        
                assertEquals(type1,result);
    }
",TestPeriodType::testTime_14_oe_1_oe
joda_344_11_1,"    public void testYears_11_oe_1_oe() throws Exception {
        PeriodType type = PeriodType.years();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
                final PeriodType type1 = type;
        ByteArrayOutputStream baos = new ByteArrayOutputStream();
                ObjectOutputStream oos = new ObjectOutputStream(baos);
                oos.writeObject(type1);
                oos.close();
                byte[] bytes = baos.toByteArray();
        
                ByteArrayInputStream bais = new ByteArrayInputStream(bytes);
                ObjectInputStream ois = new ObjectInputStream(bais);
                PeriodType result = (PeriodType) ois.readObject();
                ois.close();
        
                assertEquals(type1,result);
    }
",TestPeriodType::testYears_11_oe_1_oe
