id,test_prefix,test_name
joda_2_23,"    public void testGet_DateTimeField_23_oe() {
        MutableDateTime test = new MutableDateTime();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        try {
            test.get((DateTimeField) null);
            fail();
    }
    }
",TestMutableDateTime_Basics::testGet_DateTimeField_23_oe
joda_3_23,"    public void testGet_DateTimeFieldType_23_oe() {
        MutableDateTime test = new MutableDateTime();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        try {
            test.get((DateTimeFieldType) null);
            fail();
    }
    }
",TestMutableDateTime_Basics::testGet_DateTimeFieldType_23_oe
joda_6_12,"    public void testCompareTo_12_oe() {
        MutableDateTime test1 = new MutableDateTime(TEST_TIME1);
        MutableDateTime test1a = new MutableDateTime(TEST_TIME1);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        
        MutableDateTime test2 = new MutableDateTime(TEST_TIME2);
        // removed other assertion
        // removed other assertion
        
        MutableDateTime test3 = new MutableDateTime(TEST_TIME2, GregorianChronology.getInstance(PARIS));
        // removed other assertion
        // removed other assertion
        // removed other assertion
        
        // removed other assertion
        // removed other assertion
        
        try {
            test1.compareTo(null);
            fail();
    }
    }
",TestMutableDateTime_Basics::testCompareTo_12_oe
joda_35_1,"    public void testRounding7_1_oe() {
        MutableDateTime test = new MutableDateTime(2002, 6, 9, 5, 6, 7, 8);
        try {
            test.setRounding(ISOChronology.getInstance().hourOfDay(), -1);
            fail();
    }
    }
",TestMutableDateTime_Basics::testRounding7_1_oe
joda_37_5,"    public void testProperty_5_oe() {
        MutableDateTime test = new MutableDateTime();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        DateTimeFieldType bad = new DateTimeFieldType(""bad"") {
            private static final long serialVersionUID = 1L;
            @Override
            public DurationFieldType getDurationType() {
                return DurationFieldType.weeks();
            }
            @Override
            public DurationFieldType getRangeDurationType() {
                return null;
            }
            @Override
            public DateTimeField getField(Chronology chronology) {
                return UnsupportedDateTimeField.getInstance(this, UnsupportedDurationField.getInstance(getDurationType()));
            }
        };
        try {
            test.property(bad);
            fail();
    }
    }
",TestMutableDateTime_Basics::testProperty_5_oe
joda_37_6,"    public void testProperty_6_oe() {
        MutableDateTime test = new MutableDateTime();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        DateTimeFieldType bad = new DateTimeFieldType(""bad"") {
            private static final long serialVersionUID = 1L;
            @Override
            public DurationFieldType getDurationType() {
                return DurationFieldType.weeks();
            }
            @Override
            public DurationFieldType getRangeDurationType() {
                return null;
            }
            @Override
            public DateTimeField getField(Chronology chronology) {
                return UnsupportedDateTimeField.getInstance(this, UnsupportedDurationField.getInstance(getDurationType()));
            }
        };
        try {
            test.property(bad);
            // removed other assertion
        } catch (IllegalArgumentException ex) {}
        try {
            test.property(null);
            fail();
    }
    }
",TestMutableDateTime_Basics::testProperty_6_oe
joda_38_29,"    public void testGet_DateTimeFieldType_29_oe() {
        LocalDateTime test = new LocalDateTime(1970, 6, 9, 10, 20, 30, 40);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        
        test = new LocalDateTime(1970, 6, 9, 12, 30);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        test = new LocalDateTime(1970, 6, 9, 14, 30);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        test = new LocalDateTime(1970, 6, 9, 0, 30);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        try {
            test.get(null);
            fail();
    }
    }
",TestLocalDateTime_Basics::testGet_DateTimeFieldType_29_oe
joda_49_11,"    public void testCompareTo_11_oe() {
        LocalDateTime test1 = new LocalDateTime(2005, 6, 2, 10, 20, 30, 40);
        LocalDateTime test1a = new LocalDateTime(2005, 6, 2, 10, 20, 30, 40);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        
        LocalDateTime test2 = new LocalDateTime(2005, 7, 2, 10, 20, 30, 40);
        // removed other assertion
        // removed other assertion
        
        LocalDateTime test3 = new LocalDateTime(2005, 7, 2, 10, 20, 30, 40, GREGORIAN_UTC);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        
        DateTimeFieldType[] types = new DateTimeFieldType[] {
            DateTimeFieldType.year(),
            DateTimeFieldType.monthOfYear(),
            DateTimeFieldType.dayOfMonth(),
            DateTimeFieldType.millisOfDay(),
        };
        int[] values = new int[] {2005, 6, 2, MILLIS_OF_DAY_UTC};
        Partial p = new Partial(types, values);
        // removed other assertion
        try {
            test1.compareTo(null);
            fail();
    }
    }
",TestLocalDateTime_Basics::testCompareTo_11_oe
joda_49_12,"    public void testCompareTo_12_oe() {
        LocalDateTime test1 = new LocalDateTime(2005, 6, 2, 10, 20, 30, 40);
        LocalDateTime test1a = new LocalDateTime(2005, 6, 2, 10, 20, 30, 40);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        
        LocalDateTime test2 = new LocalDateTime(2005, 7, 2, 10, 20, 30, 40);
        // removed other assertion
        // removed other assertion
        
        LocalDateTime test3 = new LocalDateTime(2005, 7, 2, 10, 20, 30, 40, GREGORIAN_UTC);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        
        DateTimeFieldType[] types = new DateTimeFieldType[] {
            DateTimeFieldType.year(),
            DateTimeFieldType.monthOfYear(),
            DateTimeFieldType.dayOfMonth(),
            DateTimeFieldType.millisOfDay(),
        };
        int[] values = new int[] {2005, 6, 2, MILLIS_OF_DAY_UTC};
        Partial p = new Partial(types, values);
        // removed other assertion
        try {
            test1.compareTo(null);
            // removed other assertion
        } catch (NullPointerException ex) {}
//        try {
//            test1.compareTo(new Date());
//            fail();
//        } catch (ClassCastException ex) {}
        try {
            @SuppressWarnings(""deprecation"")
            YearMonthDay ymd = new YearMonthDay();
            test1.compareTo(ymd);
            fail();
    }
    }
",TestLocalDateTime_Basics::testCompareTo_12_oe
joda_49_13,"    public void testCompareTo_13_oe() {
        LocalDateTime test1 = new LocalDateTime(2005, 6, 2, 10, 20, 30, 40);
        LocalDateTime test1a = new LocalDateTime(2005, 6, 2, 10, 20, 30, 40);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        
        LocalDateTime test2 = new LocalDateTime(2005, 7, 2, 10, 20, 30, 40);
        // removed other assertion
        // removed other assertion
        
        LocalDateTime test3 = new LocalDateTime(2005, 7, 2, 10, 20, 30, 40, GREGORIAN_UTC);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        
        DateTimeFieldType[] types = new DateTimeFieldType[] {
            DateTimeFieldType.year(),
            DateTimeFieldType.monthOfYear(),
            DateTimeFieldType.dayOfMonth(),
            DateTimeFieldType.millisOfDay(),
        };
        int[] values = new int[] {2005, 6, 2, MILLIS_OF_DAY_UTC};
        Partial p = new Partial(types, values);
        // removed other assertion
        try {
            test1.compareTo(null);
            // removed other assertion
        } catch (NullPointerException ex) {}
//        try {
//            test1.compareTo(new Date());
//            fail();
//        } catch (ClassCastException ex) {}
        try {
            @SuppressWarnings(""deprecation"")
            YearMonthDay ymd = new YearMonthDay();
            test1.compareTo(ymd);
            // removed other assertion
        } catch (ClassCastException ex) {}
        try {
            @SuppressWarnings(""deprecation"")
            TimeOfDay tod = new TimeOfDay();
            test1.compareTo(tod);
            fail();
    }
    }
",TestLocalDateTime_Basics::testCompareTo_13_oe
