id,test_prefix,test_name
joda_185_11,"    public void testToString_11_oe() {
        DateTimeZone paris = DateTimeZone.forID(""Europe/Paris"");
        ISOChronology isoParis = ISOChronology.getInstance(paris);
        
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        
        // removed other assertion
        // removed other assertion
        assertEquals(""LimitChronology[ISOChronology[Europe/Paris],NoLimit,NoLimit]"",LimitChronology.getInstance(isoParis,null,null).toString());
    }
",TestChronology::testToString_11_oe
joda_185_12,"    public void testToString_12_oe() {
        DateTimeZone paris = DateTimeZone.forID(""Europe/Paris"");
        ISOChronology isoParis = ISOChronology.getInstance(paris);
        
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(""ZonedChronology[ISOChronology[UTC],Europe/Paris]"",ZonedChronology.getInstance(isoParis,paris).toString());
    }
",TestChronology::testToString_12_oe
joda_195_15,"    public void test_useCase_ContainsOverlapAbutGap_zeroDuration_15_oe() {
        // this is a simple test to ensure that the use case of these methods
        // is OK when considering a zero duration inerval
        // when comparing any two intervals they can be in one and only one of these states
        // (a) have a gap between them, (b) abut or (c) overlap
        // contains is a subset of overlap
        Interval test1020 = new Interval(10, 20);
        
        // [8,8) [10,20) - gap
        Interval interval = new Interval(8, 8);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        
        // [10,10) [10,20) - abuts and contains-one-way
        interval = new Interval(10, 10);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(false,test1020.abuts(interval));
    }
",TestInterval_Basics::test_useCase_ContainsOverlapAbutGap_zeroDuration_15_oe
joda_195_16,"    public void test_useCase_ContainsOverlapAbutGap_zeroDuration_16_oe() {
        // this is a simple test to ensure that the use case of these methods
        // is OK when considering a zero duration inerval
        // when comparing any two intervals they can be in one and only one of these states
        // (a) have a gap between them, (b) abut or (c) overlap
        // contains is a subset of overlap
        Interval test1020 = new Interval(10, 20);
        
        // [8,8) [10,20) - gap
        Interval interval = new Interval(8, 8);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        
        // [10,10) [10,20) - abuts and contains-one-way
        interval = new Interval(10, 10);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(true,test1020.overlaps(interval));
    }
",TestInterval_Basics::test_useCase_ContainsOverlapAbutGap_zeroDuration_16_oe
joda_195_18,"    public void test_useCase_ContainsOverlapAbutGap_zeroDuration_18_oe() {
        // this is a simple test to ensure that the use case of these methods
        // is OK when considering a zero duration inerval
        // when comparing any two intervals they can be in one and only one of these states
        // (a) have a gap between them, (b) abut or (c) overlap
        // contains is a subset of overlap
        Interval test1020 = new Interval(10, 20);
        
        // [8,8) [10,20) - gap
        Interval interval = new Interval(8, 8);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        
        // [10,10) [10,20) - abuts and contains-one-way
        interval = new Interval(10, 10);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(false,interval.abuts(test1020));
    }
",TestInterval_Basics::test_useCase_ContainsOverlapAbutGap_zeroDuration_18_oe
joda_195_19,"    public void test_useCase_ContainsOverlapAbutGap_zeroDuration_19_oe() {
        // this is a simple test to ensure that the use case of these methods
        // is OK when considering a zero duration inerval
        // when comparing any two intervals they can be in one and only one of these states
        // (a) have a gap between them, (b) abut or (c) overlap
        // contains is a subset of overlap
        Interval test1020 = new Interval(10, 20);
        
        // [8,8) [10,20) - gap
        Interval interval = new Interval(8, 8);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        
        // [10,10) [10,20) - abuts and contains-one-way
        interval = new Interval(10, 10);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(true,interval.overlaps(test1020));
    }
",TestInterval_Basics::test_useCase_ContainsOverlapAbutGap_zeroDuration_19_oe
joda_195_24,"    public void test_useCase_ContainsOverlapAbutGap_zeroDuration_24_oe() {
        // this is a simple test to ensure that the use case of these methods
        // is OK when considering a zero duration inerval
        // when comparing any two intervals they can be in one and only one of these states
        // (a) have a gap between them, (b) abut or (c) overlap
        // contains is a subset of overlap
        Interval test1020 = new Interval(10, 20);
        
        // [8,8) [10,20) - gap
        Interval interval = new Interval(8, 8);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        
        // [10,10) [10,20) - abuts and contains-one-way
        interval = new Interval(10, 10);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(false,test1020.contains(interval));
    }
",TestInterval_Basics::test_useCase_ContainsOverlapAbutGap_zeroDuration_24_oe
joda_199_2,"    public void testContainsNow_2_oe() {
        DateTimeUtils.setCurrentMillisFixed(2);
        // removed other assertion
        assertEquals(true,interval37.containsNow());
    }
",TestInterval_Basics::testContainsNow_2_oe
joda_201_2,"    public void testContains_RI_null_2_oe() {
        DateTimeUtils.setCurrentMillisFixed(2);
        // removed other assertion
        assertEquals(true,interval37.contains((ReadableInstant)null));
    }
",TestInterval_Basics::testContains_RI_null_2_oe
joda_204_2,"    public void testContains_RInterval_null_2_oe() {
        DateTimeUtils.setCurrentMillisFixed(2);
        // removed other assertion
        assertEquals(true,interval37.contains((ReadableInterval)null));
    }
",TestInterval_Basics::testContains_RInterval_null_2_oe
