id,test_prefix,test_name,mut_class,method_under_test,mut_docstring,mut_method_definition
joda_100_18,"    public void testProperty_18_oe() {
        LocalDateTime test = new LocalDateTime(2005, 6, 9, 10, 20, 30, 40, GJ_UTC);
        
        try {
            test.property(null);
        } catch (IllegalArgumentException ex) {}
        assertEquals(test,test.property(DateTimeFieldType.minuteOfDay()).getLocalDateTime());
    }",TestLocalDateTime_Basics::testProperty_18_oe,org.joda.time.LocalDateTime.Property,getLocalDateTime(),"/**
         * Gets the LocalDateTime object linked to this property.
         * 
         * @return the linked LocalDateTime
         */","public LocalDateTime getLocalDateTime() {
            return iInstant;
        }"
joda_376_5,"    public void testPropertyCompareToMonthOfYear_5_oe() {
        MonthDay test1 = new MonthDay(TEST_TIME1);
        MonthDay test2 = new MonthDay(TEST_TIME2);
        try {
            test1.monthOfYear().compareTo((ReadablePartial) null);
        } catch (IllegalArgumentException ex) {}
        
        DateTime dt1 = new DateTime(TEST_TIME1);
        DateTime dt2 = new DateTime(TEST_TIME2);
        assertEquals(true,test1.monthOfYear().compareTo(dt2)< 0);
    }",TestMonthDay_Properties::testPropertyCompareToMonthOfYear_5_oe,org.joda.time.LocalTime,compareTo(ReadablePartial partial),"/**
     * Compares this partial with another returning an integer
     * indicating the order.
     * <p>
     * The fields are compared in order, from largest to smallest.
     * The first field that is non-equal is used to determine the result.
     * <p>
     * The specified object must be a partial instance whose field types
     * match those of this partial.
     *
     * @param partial  an object to check against
     * @return negative if this is less, zero if equal, positive if greater
     * @throws ClassCastException if the partial is the wrong class
     *  or if it has field types that don't match
     * @throws NullPointerException if the partial is null
     */","@Override
    public int compareTo(ReadablePartial partial) {
        // override to perform faster
        if (this == partial) {
            return 0;
        }
        if (partial instanceof LocalTime) {
            LocalTime other = (LocalTime) partial;
            if (iChronology.equals(other.iChronology)) {
                return (iLocalMillis < other.iLocalMillis ? -1 :
                            (iLocalMillis == other.iLocalMillis ? 0 : 1));

            }
        }
        return super.compareTo(partial);
    }"
joda_376_6,"    public void testPropertyCompareToMonthOfYear_6_oe() {
        MonthDay test1 = new MonthDay(TEST_TIME1);
        MonthDay test2 = new MonthDay(TEST_TIME2);
        try {
            test1.monthOfYear().compareTo((ReadablePartial) null);
        } catch (IllegalArgumentException ex) {}
        
        DateTime dt1 = new DateTime(TEST_TIME1);
        DateTime dt2 = new DateTime(TEST_TIME2);
        assertEquals(true,test2.monthOfYear().compareTo(dt1)> 0);
    }",TestMonthDay_Properties::testPropertyCompareToMonthOfYear_6_oe,org.joda.time.LocalTime,compareTo(ReadablePartial partial),"/**
     * Compares this partial with another returning an integer
     * indicating the order.
     * <p>
     * The fields are compared in order, from largest to smallest.
     * The first field that is non-equal is used to determine the result.
     * <p>
     * The specified object must be a partial instance whose field types
     * match those of this partial.
     *
     * @param partial  an object to check against
     * @return negative if this is less, zero if equal, positive if greater
     * @throws ClassCastException if the partial is the wrong class
     *  or if it has field types that don't match
     * @throws NullPointerException if the partial is null
     */","@Override
    public int compareTo(ReadablePartial partial) {
        // override to perform faster
        if (this == partial) {
            return 0;
        }
        if (partial instanceof LocalTime) {
            LocalTime other = (LocalTime) partial;
            if (iChronology.equals(other.iChronology)) {
                return (iLocalMillis < other.iLocalMillis ? -1 :
                            (iLocalMillis == other.iLocalMillis ? 0 : 1));

            }
        }
        return super.compareTo(partial);
    }"
joda_376_7,"    public void testPropertyCompareToMonthOfYear_7_oe() {
        MonthDay test1 = new MonthDay(TEST_TIME1);
        MonthDay test2 = new MonthDay(TEST_TIME2);
        try {
            test1.monthOfYear().compareTo((ReadablePartial) null);
        } catch (IllegalArgumentException ex) {}
        
        DateTime dt1 = new DateTime(TEST_TIME1);
        DateTime dt2 = new DateTime(TEST_TIME2);
        assertEquals(true,test1.monthOfYear().compareTo(dt1)== 0);
    }",TestMonthDay_Properties::testPropertyCompareToMonthOfYear_7_oe,org.joda.time.LocalTime,compareTo(ReadablePartial partial),"/**
     * Compares this partial with another returning an integer
     * indicating the order.
     * <p>
     * The fields are compared in order, from largest to smallest.
     * The first field that is non-equal is used to determine the result.
     * <p>
     * The specified object must be a partial instance whose field types
     * match those of this partial.
     *
     * @param partial  an object to check against
     * @return negative if this is less, zero if equal, positive if greater
     * @throws ClassCastException if the partial is the wrong class
     *  or if it has field types that don't match
     * @throws NullPointerException if the partial is null
     */","@Override
    public int compareTo(ReadablePartial partial) {
        // override to perform faster
        if (this == partial) {
            return 0;
        }
        if (partial instanceof LocalTime) {
            LocalTime other = (LocalTime) partial;
            if (iChronology.equals(other.iChronology)) {
                return (iLocalMillis < other.iLocalMillis ? -1 :
                            (iLocalMillis == other.iLocalMillis ? 0 : 1));

            }
        }
        return super.compareTo(partial);
    }"
joda_380_5,"    public void testPropertyCompareToDayOfMonth_5_oe() {
        MonthDay test1 = new MonthDay(TEST_TIME1);
        MonthDay test2 = new MonthDay(TEST_TIME2);
        try {
            test1.dayOfMonth().compareTo((ReadablePartial) null);
        } catch (IllegalArgumentException ex) {}
        
        DateTime dt1 = new DateTime(TEST_TIME1);
        DateTime dt2 = new DateTime(TEST_TIME2);
        assertEquals(true,test1.dayOfMonth().compareTo(dt2)< 0);
    }",TestMonthDay_Properties::testPropertyCompareToDayOfMonth_5_oe,org.joda.time.LocalTime,compareTo(ReadablePartial partial),"/**
     * Compares this partial with another returning an integer
     * indicating the order.
     * <p>
     * The fields are compared in order, from largest to smallest.
     * The first field that is non-equal is used to determine the result.
     * <p>
     * The specified object must be a partial instance whose field types
     * match those of this partial.
     *
     * @param partial  an object to check against
     * @return negative if this is less, zero if equal, positive if greater
     * @throws ClassCastException if the partial is the wrong class
     *  or if it has field types that don't match
     * @throws NullPointerException if the partial is null
     */","@Override
    public int compareTo(ReadablePartial partial) {
        // override to perform faster
        if (this == partial) {
            return 0;
        }
        if (partial instanceof LocalTime) {
            LocalTime other = (LocalTime) partial;
            if (iChronology.equals(other.iChronology)) {
                return (iLocalMillis < other.iLocalMillis ? -1 :
                            (iLocalMillis == other.iLocalMillis ? 0 : 1));

            }
        }
        return super.compareTo(partial);
    }"
joda_380_6,"    public void testPropertyCompareToDayOfMonth_6_oe() {
        MonthDay test1 = new MonthDay(TEST_TIME1);
        MonthDay test2 = new MonthDay(TEST_TIME2);
        try {
            test1.dayOfMonth().compareTo((ReadablePartial) null);
        } catch (IllegalArgumentException ex) {}
        
        DateTime dt1 = new DateTime(TEST_TIME1);
        DateTime dt2 = new DateTime(TEST_TIME2);
        assertEquals(true,test2.dayOfMonth().compareTo(dt1)> 0);
    }",TestMonthDay_Properties::testPropertyCompareToDayOfMonth_6_oe,org.joda.time.LocalTime,compareTo(ReadablePartial partial),"/**
     * Compares this partial with another returning an integer
     * indicating the order.
     * <p>
     * The fields are compared in order, from largest to smallest.
     * The first field that is non-equal is used to determine the result.
     * <p>
     * The specified object must be a partial instance whose field types
     * match those of this partial.
     *
     * @param partial  an object to check against
     * @return negative if this is less, zero if equal, positive if greater
     * @throws ClassCastException if the partial is the wrong class
     *  or if it has field types that don't match
     * @throws NullPointerException if the partial is null
     */","@Override
    public int compareTo(ReadablePartial partial) {
        // override to perform faster
        if (this == partial) {
            return 0;
        }
        if (partial instanceof LocalTime) {
            LocalTime other = (LocalTime) partial;
            if (iChronology.equals(other.iChronology)) {
                return (iLocalMillis < other.iLocalMillis ? -1 :
                            (iLocalMillis == other.iLocalMillis ? 0 : 1));

            }
        }
        return super.compareTo(partial);
    }"
joda_380_7,"    public void testPropertyCompareToDayOfMonth_7_oe() {
        MonthDay test1 = new MonthDay(TEST_TIME1);
        MonthDay test2 = new MonthDay(TEST_TIME2);
        try {
            test1.dayOfMonth().compareTo((ReadablePartial) null);
        } catch (IllegalArgumentException ex) {}
        
        DateTime dt1 = new DateTime(TEST_TIME1);
        DateTime dt2 = new DateTime(TEST_TIME2);
        assertEquals(true,test1.dayOfMonth().compareTo(dt1)== 0);
    }",TestMonthDay_Properties::testPropertyCompareToDayOfMonth_7_oe,org.joda.time.LocalTime,compareTo(ReadablePartial partial),"/**
     * Compares this partial with another returning an integer
     * indicating the order.
     * <p>
     * The fields are compared in order, from largest to smallest.
     * The first field that is non-equal is used to determine the result.
     * <p>
     * The specified object must be a partial instance whose field types
     * match those of this partial.
     *
     * @param partial  an object to check against
     * @return negative if this is less, zero if equal, positive if greater
     * @throws ClassCastException if the partial is the wrong class
     *  or if it has field types that don't match
     * @throws NullPointerException if the partial is null
     */","@Override
    public int compareTo(ReadablePartial partial) {
        // override to perform faster
        if (this == partial) {
            return 0;
        }
        if (partial instanceof LocalTime) {
            LocalTime other = (LocalTime) partial;
            if (iChronology.equals(other.iChronology)) {
                return (iLocalMillis < other.iLocalMillis ? -1 :
                            (iLocalMillis == other.iLocalMillis ? 0 : 1));

            }
        }
        return super.compareTo(partial);
    }"
joda_411_2,"    public void testWithFields3_2_oe() {
        Period test1 = new Period(0, 0, 0, 0, 0, 0, 0, 9, PeriodType.millis());
        Period test2 = new Period(1, 2, 3, 4, 5, 6, 7, 8);
        try {
            test1.withFields(test2);
        } catch (IllegalArgumentException ex) {}
        assertEquals(new Period(0,0,0,0,0,0,0,9,PeriodType.millis()),test1);
    }",TestPeriod_Basics::testWithFields3_2_oe,org.joda.time.PeriodType,millis(),"/**
     * Gets a type that defines just the millis field.
     *
     * @return the period type
     */","public static PeriodType millis() {
        PeriodType type = cMillis;
        if (type == null) {
            type = new PeriodType(
                ""Millis"",
                new DurationFieldType[] { DurationFieldType.millis() },
                new int[] { -1, -1, -1, -1, -1, -1, -1, 0, }
            );
            cMillis = type;
        }
        return type;
    }"
joda_411_3,"    public void testWithFields3_3_oe() {
        Period test1 = new Period(0, 0, 0, 0, 0, 0, 0, 9, PeriodType.millis());
        Period test2 = new Period(1, 2, 3, 4, 5, 6, 7, 8);
        try {
            test1.withFields(test2);
        } catch (IllegalArgumentException ex) {}
        assertEquals(new Period(1,2,3,4,5,6,7,8),test2);
    }",TestPeriod_Basics::testWithFields3_3_oe,org.joda.time.Period,withFields(ReadablePeriod period),"/**
     * Creates a new Period instance with the fields from the specified period
     * copied on top of those from this period.
     * <p>
     * This period instance is immutable and unaffected by this method call.
     * 
     * @param period  the period to copy from, null ignored
     * @return the new period instance
     * @throws IllegalArgumentException if a field type is unsupported
     */","public Period withFields(ReadablePeriod period) {
        if (period == null) {
            return this;
        }
        int[] newValues = getValues();  // cloned
        newValues = super.mergePeriodInto(newValues, period);
        return new Period(newValues, getPeriodType());
    }"
joda_430_3,"    public void testToStandardWeeks_years_3_oe() {
        Period test = Period.years(1);
        try {
            test.toStandardWeeks();
        } catch (UnsupportedOperationException ex) {}
        
        test = Period.years(-1);
        try {
            test.toStandardWeeks();
        } catch (UnsupportedOperationException ex) {}
        
        test = Period.years(0);
        assertEquals(0,test.toStandardWeeks().getWeeks());
    }",TestPeriod_Basics::testToStandardWeeks_years_3_oe,org.joda.time.MutablePeriod,getWeeks(),"/**
     * Gets the weeks field part of the period.
     * 
     * @return the number of weeks in the period, zero if unsupported
     */","public int getWeeks() {
        return getPeriodType().getIndexedField(this, PeriodType.WEEK_INDEX);
    }"
