id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type
joda_1_1,joda-time,TestMutableDateTime_Basics,,src/test/java/org/joda/time/TestMutableDateTime_Basics.java,,,,ASSERTION_ONLY
joda_1_2,joda-time,TestMutableDateTime_Basics,,src/test/java/org/joda/time/TestMutableDateTime_Basics.java,,,,ASSERTION_ONLY
joda_1_3,joda-time,TestMutableDateTime_Basics,,src/test/java/org/joda/time/TestMutableDateTime_Basics.java,,,,ASSERTION_ONLY
joda_2_1,joda-time,TestMutableDateTime_Basics,,src/test/java/org/joda/time/TestMutableDateTime_Basics.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/joda-time/src/main/java/org/joda/time/YearMonthDay.java,org.joda.time.YearMonthDay.Property,org.joda.time,ASSERTION_ONLY
joda_2_2,joda-time,TestMutableDateTime_Basics,,src/test/java/org/joda/time/TestMutableDateTime_Basics.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/joda-time/src/main/java/org/joda/time/YearMonthDay.java,org.joda.time.YearMonthDay.Property,org.joda.time,ASSERTION_ONLY
joda_2_3,joda-time,TestMutableDateTime_Basics,,src/test/java/org/joda/time/TestMutableDateTime_Basics.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/joda-time/src/main/java/org/joda/time/YearMonthDay.java,org.joda.time.YearMonthDay.Property,org.joda.time,ASSERTION_ONLY
joda_2_4,joda-time,TestMutableDateTime_Basics,,src/test/java/org/joda/time/TestMutableDateTime_Basics.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/joda-time/src/main/java/org/joda/time/YearMonthDay.java,org.joda.time.YearMonthDay.Property,org.joda.time,ASSERTION_ONLY
joda_2_5,joda-time,TestMutableDateTime_Basics,,src/test/java/org/joda/time/TestMutableDateTime_Basics.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/joda-time/src/main/java/org/joda/time/YearMonthDay.java,org.joda.time.YearMonthDay.Property,org.joda.time,ASSERTION_ONLY
joda_2_6,joda-time,TestMutableDateTime_Basics,,src/test/java/org/joda/time/TestMutableDateTime_Basics.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/joda-time/src/main/java/org/joda/time/YearMonthDay.java,org.joda.time.YearMonthDay.Property,org.joda.time,ASSERTION_ONLY
joda_2_7,joda-time,TestMutableDateTime_Basics,,src/test/java/org/joda/time/TestMutableDateTime_Basics.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/joda-time/src/main/java/org/joda/time/YearMonthDay.java,org.joda.time.YearMonthDay.Property,org.joda.time,ASSERTION_ONLY
