id,test_prefix,test_name
joda-time_2_101,"public void testGet_DateTimeField_oe_101_oe() {
        try {
            test.get((DateTimeField) null);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestMutableDateTime_Basics::testGet_DateTimeField_oe_101_oe
joda-time_3_101,"public void testGet_DateTimeFieldType_oe_101_oe() {
        try {
            test.get((DateTimeFieldType) null);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestMutableDateTime_Basics::testGet_DateTimeFieldType_oe_101_oe
joda-time_6_101,"public void testCompareTo_oe_101_oe() {
        try {
            test1.compareTo(null);
            fail();
        } catch (NullPointerException ex) {}
    }
",TestMutableDateTime_Basics::testCompareTo_oe_101_oe
joda-time_35_101,"public void testRounding7_oe_101_oe() {
        try {
            test.setRounding(ISOChronology.getInstance().hourOfDay(), -1);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestMutableDateTime_Basics::testRounding7_oe_101_oe
joda-time_37_101,"public void testProperty_oe_101_oe() {
        try {
            test.property(bad);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestMutableDateTime_Basics::testProperty_oe_101_oe
joda-time_37_102,"public void testProperty_oe_102_oe() {
        try {
            test.property(null);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestMutableDateTime_Basics::testProperty_oe_102_oe
joda-time_38_101,"public void testGet_DateTimeFieldType_oe_101_oe() {
        try {
            test.get(null);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestLocalDateTime_Basics::testGet_DateTimeFieldType_oe_101_oe
joda-time_49_101,"public void testCompareTo_oe_101_oe() {
        try {
            test1.compareTo(null);
            fail();
        } catch (NullPointerException ex) {}
    }
",TestLocalDateTime_Basics::testCompareTo_oe_101_oe
joda-time_49_103,"public void testCompareTo_oe_103_oe() {
        try {
            @SuppressWarnings(""deprecation"")
            YearMonthDay ymd = new YearMonthDay();
            test1.compareTo(ymd);
            fail();
        } catch (ClassCastException ex) {}
    }
",TestLocalDateTime_Basics::testCompareTo_oe_103_oe
joda-time_49_104,"public void testCompareTo_oe_104_oe() {
        try {
            @SuppressWarnings(""deprecation"")
            TimeOfDay tod = new TimeOfDay();
            test1.compareTo(tod);
            fail();
        } catch (ClassCastException ex) {}
    }
",TestLocalDateTime_Basics::testCompareTo_oe_104_oe
joda-time_49_105,"public void testCompareTo_oe_105_oe() {
        try {
            new LocalDateTime(1970, 6, 9, 10, 20, 30, 40).compareTo(partial);
            fail();
        } catch (ClassCastException ex) {}
    }
",TestLocalDateTime_Basics::testCompareTo_oe_105_oe
joda-time_54_101,"public void testWithField_DateTimeFieldType_int_2_oe_101_oe() {
        try {
            test.withField(null, 6);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestLocalDateTime_Basics::testWithField_DateTimeFieldType_int_2_oe_101_oe
joda-time_57_101,"public void testWithFieldAdded_DurationFieldType_int_2_oe_101_oe() {
        try {
            test.withFieldAdded(null, 0);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestLocalDateTime_Basics::testWithFieldAdded_DurationFieldType_int_2_oe_101_oe
joda-time_58_101,"public void testWithFieldAdded_DurationFieldType_int_3_oe_101_oe() {
        try {
            test.withFieldAdded(null, 6);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestLocalDateTime_Basics::testWithFieldAdded_DurationFieldType_int_3_oe_101_oe
joda-time_79_101,"public void testWithers_oe_101_oe() {
        try {
            test.withMonthOfYear(0);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestLocalDateTime_Basics::testWithers_oe_101_oe
joda-time_79_102,"public void testWithers_oe_102_oe() {
        try {
            test.withMonthOfYear(13);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestLocalDateTime_Basics::testWithers_oe_102_oe
joda-time_83_101,"public void testToDateTime_Zone_dstGap_oe_101_oe() {
        try {
            base.toDateTime(LONDON);
            fail();
        } catch (IllegalInstantException ex) {}
    }
",TestLocalDateTime_Basics::testToDateTime_Zone_dstGap_oe_101_oe
joda-time_100_101,"public void testProperty_oe_101_oe() {
        try {
            test.property(null);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestLocalDateTime_Basics::testProperty_oe_101_oe
joda-time_106_101,"public void testGet_oe_101_oe() {
        try {
            test.get(null);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestMonthDay_Basics::testGet_oe_101_oe
joda-time_106_102,"public void testGet_oe_102_oe() {
        try {
            test.get(DateTimeFieldType.year());
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestMonthDay_Basics::testGet_oe_102_oe
joda-time_116_101,"public void testCompareTo_oe_101_oe() {
        try {
            test1.compareTo(null);
            fail();
        } catch (NullPointerException ex) {}
    }
",TestMonthDay_Basics::testCompareTo_oe_101_oe
joda-time_116_102,"public void testCompareTo_oe_102_oe() {
        try {
            test1.compareTo(new LocalTime());
            fail();
        } catch (ClassCastException ex) {}
    }
",TestMonthDay_Basics::testCompareTo_oe_102_oe
joda-time_116_103,"public void testCompareTo_oe_103_oe() {
        try {
            new MonthDay(10, 6).compareTo(partial);
            fail();
        } catch (ClassCastException ex) {}
    }
",TestMonthDay_Basics::testCompareTo_oe_103_oe
joda-time_124_101,"public void testWithField_nullField_oe_101_oe() {
        try {
            test.withField(null, 6);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestMonthDay_Basics::testWithField_nullField_oe_101_oe
joda-time_125_101,"public void testWithField_unknownField_oe_101_oe() {
        try {
            test.withField(DateTimeFieldType.hourOfDay(), 6);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestMonthDay_Basics::testWithField_unknownField_oe_101_oe
joda-time_128_101,"public void testWithFieldAdded_nullField_zero_oe_101_oe() {
        try {
            test.withFieldAdded(null, 0);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestMonthDay_Basics::testWithFieldAdded_nullField_zero_oe_101_oe
joda-time_129_101,"public void testWithFieldAdded_nullField_nonZero_oe_101_oe() {
        try {
            test.withFieldAdded(null, 6);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestMonthDay_Basics::testWithFieldAdded_nullField_nonZero_oe_101_oe
joda-time_131_101,"public void testWithFieldAdded_unknownField_oe_101_oe() {
        try {
            test.withFieldAdded(DurationFieldType.hours(), 6);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestMonthDay_Basics::testWithFieldAdded_unknownField_oe_101_oe
joda-time_169_101,"public void testToLocalDate_oe_101_oe() {
        try {
            base.toLocalDate(0);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestMonthDay_Basics::testToLocalDate_oe_101_oe
joda-time_172_101,"public void testWithers_oe_101_oe() {
        try {
            test.withMonthOfYear(0);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestMonthDay_Basics::testWithers_oe_101_oe
joda-time_172_102,"public void testWithers_oe_102_oe() {
        try {
            test.withMonthOfYear(13);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestMonthDay_Basics::testWithers_oe_102_oe
joda-time_173_101,"public void testProperty_oe_101_oe() {
        try {
            test.property(DateTimeFieldType.millisOfDay());
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestMonthDay_Basics::testProperty_oe_101_oe
joda-time_173_102,"public void testProperty_oe_102_oe() {
        try {
            test.property(null);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestMonthDay_Basics::testProperty_oe_102_oe
joda-time_244_101,"public void testWithStartMillis_long2_oe_101_oe() {
        try {
            test.withStartMillis(TEST_TIME2 + 1);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestInterval_Basics::testWithStartMillis_long2_oe_101_oe
joda-time_247_101,"public void testWithStartInstant_RI2_oe_101_oe() {
        try {
            test.withStart(new Instant(TEST_TIME2 + 1));
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestInterval_Basics::testWithStartInstant_RI2_oe_101_oe
joda-time_250_101,"public void testWithEndMillis_long2_oe_101_oe() {
        try {
            test.withEndMillis(TEST_TIME1 - 1);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestInterval_Basics::testWithEndMillis_long2_oe_101_oe
joda-time_253_101,"public void testWithEndInstant_RI2_oe_101_oe() {
        try {
            test.withEnd(new Instant(TEST_TIME1 - 1));
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestInterval_Basics::testWithEndInstant_RI2_oe_101_oe
joda-time_257_101,"public void testWithDurationAfterStart3_oe_101_oe() throws Throwable {
        try {
            base.withDurationAfterStart(dur);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestInterval_Basics::testWithDurationAfterStart3_oe_101_oe
joda-time_261_101,"public void testWithDurationBeforeEnd3_oe_101_oe() throws Throwable {
        try {
            base.withDurationBeforeEnd(dur);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestInterval_Basics::testWithDurationBeforeEnd3_oe_101_oe
joda-time_265_101,"public void testWithPeriodAfterStart3_oe_101_oe() throws Throwable {
        try {
            base.withPeriodAfterStart(per);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestInterval_Basics::testWithPeriodAfterStart3_oe_101_oe
joda-time_268_101,"public void testWithPeriodBeforeEnd3_oe_101_oe() throws Throwable {
        try {
            base.withPeriodBeforeEnd(per);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestInterval_Basics::testWithPeriodBeforeEnd3_oe_101_oe
joda-time_289_101,"@SuppressWarnings_oe_101_oe(""deprecation"")
    public void testIsContiguous_RP() {
        try {
            DateTimeUtils.isContiguous((ReadablePartial) null);
            fail();
        } catch (IllegalArgumentException ex) {}
    }
",TestDateTimeUtils::SuppressWarnings_oe_101_oe
