id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
joda-time_2_101,joda-time,TestMutableDateTime_Basics,testGet_DateTimeField_oe_101_oe,src/test/java/org/joda/time/TestMutableDateTime_Basics.java,,,,multiple,unknown,standard,
joda-time_3_101,joda-time,TestMutableDateTime_Basics,testGet_DateTimeFieldType_oe_101_oe,src/test/java/org/joda/time/TestMutableDateTime_Basics.java,,,,multiple,unknown,standard,
joda-time_6_101,joda-time,TestMutableDateTime_Basics,testCompareTo_oe_101_oe,src/test/java/org/joda/time/TestMutableDateTime_Basics.java,,,,multiple,unknown,standard,
joda-time_35_101,joda-time,TestMutableDateTime_Basics,testRounding7_oe_101_oe,src/test/java/org/joda/time/TestMutableDateTime_Basics.java,,,,multiple,unknown,standard,
joda-time_37_101,joda-time,TestMutableDateTime_Basics,testProperty_oe_101_oe,src/test/java/org/joda/time/TestMutableDateTime_Basics.java,,,,multiple,unknown,standard,
joda-time_37_102,joda-time,TestMutableDateTime_Basics,testProperty_oe_102_oe,src/test/java/org/joda/time/TestMutableDateTime_Basics.java,,,,multiple,unknown,standard,
joda-time_38_101,joda-time,TestLocalDateTime_Basics,testGet_DateTimeFieldType_oe_101_oe,src/test/java/org/joda/time/TestLocalDateTime_Basics.java,,,,multiple,unknown,standard,
joda-time_49_101,joda-time,TestLocalDateTime_Basics,testCompareTo_oe_101_oe,src/test/java/org/joda/time/TestLocalDateTime_Basics.java,,,,multiple,unknown,standard,
joda-time_49_103,joda-time,TestLocalDateTime_Basics,testCompareTo_oe_103_oe,src/test/java/org/joda/time/TestLocalDateTime_Basics.java,,,,multiple,unknown,standard,
joda-time_49_104,joda-time,TestLocalDateTime_Basics,testCompareTo_oe_104_oe,src/test/java/org/joda/time/TestLocalDateTime_Basics.java,,,,multiple,unknown,standard,
joda-time_49_105,joda-time,TestLocalDateTime_Basics,testCompareTo_oe_105_oe,src/test/java/org/joda/time/TestLocalDateTime_Basics.java,,,,multiple,unknown,standard,
joda-time_54_101,joda-time,TestLocalDateTime_Basics,testWithField_DateTimeFieldType_int_2_oe_101_oe,src/test/java/org/joda/time/TestLocalDateTime_Basics.java,,,,multiple,unknown,standard,
joda-time_57_101,joda-time,TestLocalDateTime_Basics,testWithFieldAdded_DurationFieldType_int_2_oe_101_oe,src/test/java/org/joda/time/TestLocalDateTime_Basics.java,,,,multiple,unknown,standard,
joda-time_58_101,joda-time,TestLocalDateTime_Basics,testWithFieldAdded_DurationFieldType_int_3_oe_101_oe,src/test/java/org/joda/time/TestLocalDateTime_Basics.java,,,,multiple,unknown,standard,
joda-time_79_101,joda-time,TestLocalDateTime_Basics,testWithers_oe_101_oe,src/test/java/org/joda/time/TestLocalDateTime_Basics.java,,,,multiple,unknown,standard,
joda-time_79_102,joda-time,TestLocalDateTime_Basics,testWithers_oe_102_oe,src/test/java/org/joda/time/TestLocalDateTime_Basics.java,,,,multiple,unknown,standard,
joda-time_83_101,joda-time,TestLocalDateTime_Basics,testToDateTime_Zone_dstGap_oe_101_oe,src/test/java/org/joda/time/TestLocalDateTime_Basics.java,,,,multiple,unknown,standard,
joda-time_100_101,joda-time,TestLocalDateTime_Basics,testProperty_oe_101_oe,src/test/java/org/joda/time/TestLocalDateTime_Basics.java,,,,multiple,unknown,standard,
joda-time_106_101,joda-time,TestMonthDay_Basics,testGet_oe_101_oe,src/test/java/org/joda/time/TestMonthDay_Basics.java,,,,multiple,unknown,standard,
joda-time_106_102,joda-time,TestMonthDay_Basics,testGet_oe_102_oe,src/test/java/org/joda/time/TestMonthDay_Basics.java,,,,multiple,unknown,standard,
joda-time_116_101,joda-time,TestMonthDay_Basics,testCompareTo_oe_101_oe,src/test/java/org/joda/time/TestMonthDay_Basics.java,,,,multiple,unknown,standard,
joda-time_116_102,joda-time,TestMonthDay_Basics,testCompareTo_oe_102_oe,src/test/java/org/joda/time/TestMonthDay_Basics.java,,,,multiple,unknown,standard,
joda-time_116_103,joda-time,TestMonthDay_Basics,testCompareTo_oe_103_oe,src/test/java/org/joda/time/TestMonthDay_Basics.java,,,,multiple,unknown,standard,
joda-time_124_101,joda-time,TestMonthDay_Basics,testWithField_nullField_oe_101_oe,src/test/java/org/joda/time/TestMonthDay_Basics.java,,,,multiple,unknown,standard,
joda-time_125_101,joda-time,TestMonthDay_Basics,testWithField_unknownField_oe_101_oe,src/test/java/org/joda/time/TestMonthDay_Basics.java,,,,multiple,unknown,standard,
joda-time_128_101,joda-time,TestMonthDay_Basics,testWithFieldAdded_nullField_zero_oe_101_oe,src/test/java/org/joda/time/TestMonthDay_Basics.java,,,,multiple,unknown,standard,
joda-time_129_101,joda-time,TestMonthDay_Basics,testWithFieldAdded_nullField_nonZero_oe_101_oe,src/test/java/org/joda/time/TestMonthDay_Basics.java,,,,multiple,unknown,standard,
joda-time_131_101,joda-time,TestMonthDay_Basics,testWithFieldAdded_unknownField_oe_101_oe,src/test/java/org/joda/time/TestMonthDay_Basics.java,,,,multiple,unknown,standard,
joda-time_169_101,joda-time,TestMonthDay_Basics,testToLocalDate_oe_101_oe,src/test/java/org/joda/time/TestMonthDay_Basics.java,,,,multiple,unknown,standard,
joda-time_172_101,joda-time,TestMonthDay_Basics,testWithers_oe_101_oe,src/test/java/org/joda/time/TestMonthDay_Basics.java,,,,multiple,unknown,standard,
joda-time_172_102,joda-time,TestMonthDay_Basics,testWithers_oe_102_oe,src/test/java/org/joda/time/TestMonthDay_Basics.java,,,,multiple,unknown,standard,
joda-time_173_101,joda-time,TestMonthDay_Basics,testProperty_oe_101_oe,src/test/java/org/joda/time/TestMonthDay_Basics.java,,,,multiple,unknown,standard,
joda-time_173_102,joda-time,TestMonthDay_Basics,testProperty_oe_102_oe,src/test/java/org/joda/time/TestMonthDay_Basics.java,,,,multiple,unknown,standard,
joda-time_244_101,joda-time,TestInterval_Basics,testWithStartMillis_long2_oe_101_oe,src/test/java/org/joda/time/TestInterval_Basics.java,,,,multiple,unknown,standard,
joda-time_247_101,joda-time,TestInterval_Basics,testWithStartInstant_RI2_oe_101_oe,src/test/java/org/joda/time/TestInterval_Basics.java,,,,multiple,unknown,standard,
joda-time_250_101,joda-time,TestInterval_Basics,testWithEndMillis_long2_oe_101_oe,src/test/java/org/joda/time/TestInterval_Basics.java,,,,multiple,unknown,standard,
joda-time_253_101,joda-time,TestInterval_Basics,testWithEndInstant_RI2_oe_101_oe,src/test/java/org/joda/time/TestInterval_Basics.java,,,,multiple,unknown,standard,
joda-time_257_101,joda-time,TestInterval_Basics,testWithDurationAfterStart3_oe_101_oe,src/test/java/org/joda/time/TestInterval_Basics.java,,,,multiple,unknown,standard,
joda-time_261_101,joda-time,TestInterval_Basics,testWithDurationBeforeEnd3_oe_101_oe,src/test/java/org/joda/time/TestInterval_Basics.java,,,,multiple,unknown,standard,
joda-time_265_101,joda-time,TestInterval_Basics,testWithPeriodAfterStart3_oe_101_oe,src/test/java/org/joda/time/TestInterval_Basics.java,,,,multiple,unknown,standard,
joda-time_268_101,joda-time,TestInterval_Basics,testWithPeriodBeforeEnd3_oe_101_oe,src/test/java/org/joda/time/TestInterval_Basics.java,,,,multiple,unknown,standard,
joda-time_289_101,joda-time,TestDateTimeUtils,SuppressWarnings_oe_101_oe,src/test/java/org/joda/time/TestDateTimeUtils.java,,,,multiple,unknown,standard,
joda-time_290_101,joda-time,TestDateTimeUtils,SuppressWarnings_oe_101_oe,src/test/java/org/joda/time/TestDateTimeUtils.java,,,,multiple,unknown,standard,
joda-time_356_101,joda-time,TestPeriodType,testForFields5_oe_101_oe,src/test/java/org/joda/time/TestPeriodType.java,,,,multiple,unknown,standard,
joda-time_356_102,joda-time,TestPeriodType,testForFields5_oe_102_oe,src/test/java/org/joda/time/TestPeriodType.java,,,,multiple,unknown,standard,
joda-time_357_101,joda-time,TestPeriodType,testForFields6_oe_101_oe,src/test/java/org/joda/time/TestPeriodType.java,,,,multiple,unknown,standard,
joda-time_357_102,joda-time,TestPeriodType,testForFields6_oe_102_oe,src/test/java/org/joda/time/TestPeriodType.java,,,,multiple,unknown,standard,
joda-time_357_103,joda-time,TestPeriodType,testForFields6_oe_103_oe,src/test/java/org/joda/time/TestPeriodType.java,,,,multiple,unknown,standard,
joda-time_357_104,joda-time,TestPeriodType,testForFields6_oe_104_oe,src/test/java/org/joda/time/TestPeriodType.java,,,,multiple,unknown,standard,
joda-time_376_101,joda-time,TestMonthDay_Properties,testPropertyCompareToMonthOfYear_oe_101_oe,src/test/java/org/joda/time/TestMonthDay_Properties.java,,,,multiple,unknown,standard,
joda-time_376_102,joda-time,TestMonthDay_Properties,testPropertyCompareToMonthOfYear_oe_102_oe,src/test/java/org/joda/time/TestMonthDay_Properties.java,,,,multiple,unknown,standard,
joda-time_379_101,joda-time,TestMonthDay_Properties,testPropertySetDayOfMonth_oe_101_oe,src/test/java/org/joda/time/TestMonthDay_Properties.java,,,,multiple,unknown,standard,
joda-time_379_102,joda-time,TestMonthDay_Properties,testPropertySetDayOfMonth_oe_102_oe,src/test/java/org/joda/time/TestMonthDay_Properties.java,,,,multiple,unknown,standard,
joda-time_380_101,joda-time,TestMonthDay_Properties,testPropertyCompareToDayOfMonth_oe_101_oe,src/test/java/org/joda/time/TestMonthDay_Properties.java,,,,multiple,unknown,standard,
joda-time_380_102,joda-time,TestMonthDay_Properties,testPropertyCompareToDayOfMonth_oe_102_oe,src/test/java/org/joda/time/TestMonthDay_Properties.java,,,,multiple,unknown,standard,
joda-time_386_101,joda-time,TestPartial_Match,testIsMatch_Partial_oe_101_oe,src/test/java/org/joda/time/TestPartial_Match.java,,,,multiple,unknown,standard,
joda-time_406_101,joda-time,TestPeriod_Basics,testWithPeriodType3_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_411_101,joda-time,TestPeriod_Basics,testWithFields3_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_413_101,joda-time,TestPeriod_Basics,testWithField2_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_414_101,joda-time,TestPeriod_Basics,testWithField3_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_417_101,joda-time,TestPeriod_Basics,testWithFieldAdded2_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_418_101,joda-time,TestPeriod_Basics,testWithFieldAdded3_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_421_101,joda-time,TestPeriod_Basics,testWith_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_422_101,joda-time,TestPeriod_Basics,testPlus_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_423_101,joda-time,TestPeriod_Basics,testMinus_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_424_101,joda-time,TestPeriod_Basics,testPlusFields_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_426_101,joda-time,TestPeriod_Basics,testMinusFields_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_429_101,joda-time,TestPeriod_Basics,testToStandardWeeks_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_430_101,joda-time,TestPeriod_Basics,testToStandardWeeks_years_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_430_102,joda-time,TestPeriod_Basics,testToStandardWeeks_years_oe_102_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_431_101,joda-time,TestPeriod_Basics,testToStandardWeeks_months_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_431_102,joda-time,TestPeriod_Basics,testToStandardWeeks_months_oe_102_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_432_101,joda-time,TestPeriod_Basics,testToStandardDays_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_433_101,joda-time,TestPeriod_Basics,testToStandardDays_years_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_433_102,joda-time,TestPeriod_Basics,testToStandardDays_years_oe_102_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_434_101,joda-time,TestPeriod_Basics,testToStandardDays_months_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_434_102,joda-time,TestPeriod_Basics,testToStandardDays_months_oe_102_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_435_101,joda-time,TestPeriod_Basics,testToStandardHours_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_436_101,joda-time,TestPeriod_Basics,testToStandardHours_years_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_436_102,joda-time,TestPeriod_Basics,testToStandardHours_years_oe_102_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_437_101,joda-time,TestPeriod_Basics,testToStandardHours_months_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_437_102,joda-time,TestPeriod_Basics,testToStandardHours_months_oe_102_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_438_101,joda-time,TestPeriod_Basics,testToStandardMinutes_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_439_101,joda-time,TestPeriod_Basics,testToStandardMinutes_years_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_439_102,joda-time,TestPeriod_Basics,testToStandardMinutes_years_oe_102_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_440_101,joda-time,TestPeriod_Basics,testToStandardMinutes_months_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_440_102,joda-time,TestPeriod_Basics,testToStandardMinutes_months_oe_102_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_441_101,joda-time,TestPeriod_Basics,testToStandardSeconds_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_442_101,joda-time,TestPeriod_Basics,testToStandardSeconds_years_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_442_102,joda-time,TestPeriod_Basics,testToStandardSeconds_years_oe_102_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_443_101,joda-time,TestPeriod_Basics,testToStandardSeconds_months_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_443_102,joda-time,TestPeriod_Basics,testToStandardSeconds_months_oe_102_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_445_101,joda-time,TestPeriod_Basics,testToStandardDuration_years_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_445_102,joda-time,TestPeriod_Basics,testToStandardDuration_years_oe_102_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_446_101,joda-time,TestPeriod_Basics,testToStandardDuration_months_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_446_102,joda-time,TestPeriod_Basics,testToStandardDuration_months_oe_102_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_448_101,joda-time,TestPeriod_Basics,testNormalizedStandard_yearMonth2_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_450_101,joda-time,TestPeriod_Basics,testNormalizedStandard_weekDay2_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_456_101,joda-time,TestPeriod_Basics,testNormalizedStandard_periodType_yearMonth2_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_457_101,joda-time,TestPeriod_Basics,testNormalizedStandard_periodType_yearMonth3_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_459_101,joda-time,TestPeriod_Basics,testNormalizedStandard_periodType_weekDay2_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_466_101,joda-time,TestPeriod_Basics,testNormalizedStandard_periodType_years_oe_101_oe,src/test/java/org/joda/time/TestPeriod_Basics.java,,,,multiple,unknown,standard,
joda-time_470_101,joda-time,TestYearMonth_Properties,testPropertyAddYear_oe_101_oe,src/test/java/org/joda/time/TestYearMonth_Properties.java,,,,multiple,unknown,standard,
