id,test_prefix,test_name,mut_class,method_under_test,mut_docstring,mut_method_definition
jsoup_139_1,"    @Test public void exceptionOnUncloseAttribute_1_oe() throws Exception {
        try {
    QueryParser.parse(""section > a[href=\""]"");
    org.junit.jupiter.api.Assertions.fail(""Selector.SelectorParseException"");
} catch (Selector.SelectorParseException e) {
}
        }
",QueryParserTest::exceptionOnUncloseAttribute_1_oe,org.jsoup.select.QueryParser,parse(String query),"/**
     * Parse a CSS query into an Evaluator.
     * @param query CSS query
     * @return Evaluator
     * @see Selector selector query syntax
     */","public static Evaluator parse(String query) {
        try {
            QueryParser p = new QueryParser(query);
            return p.parse();
        } catch (IllegalArgumentException e) {
            throw new Selector.SelectorParseException(e.getMessage());
        }
    }"
jsoup_140_1,"    @Test public void testParsesSingleQuoteInContains_1_oe() throws Exception {
        try {
    QueryParser.parse(""p:contains(One \"" One)"");
    org.junit.jupiter.api.Assertions.fail(""Selector.SelectorParseException"");
} catch (Selector.SelectorParseException e) {
}
        }
",QueryParserTest::testParsesSingleQuoteInContains_1_oe,org.jsoup.select.QueryParser,void contains(boolean own),,"private void contains(boolean own) {
        String query = own ? "":containsOwn"" : "":contains"";
        tq.consume(query);
        String searchText = TokenQueue.unescape(tq.chompBalanced('(', ')'));
        Validate.notEmpty(searchText, query + ""(text) query must not be empty"");
        evals.add(own
            ? new Evaluator.ContainsOwnText(searchText)
            : new Evaluator.ContainsText(searchText));
    }"
jsoup_141_1,"    @Test public void exceptOnEmptySelector_1_oe() throws Exception {
        try {
    QueryParser.parse("""");
    org.junit.jupiter.api.Assertions.fail(""Selector.SelectorParseException"");
} catch (Selector.SelectorParseException e) {
}
        }
",QueryParserTest::exceptOnEmptySelector_1_oe,org.jsoup.select.QueryParser,parse(String query),"/**
     * Parse a CSS query into an Evaluator.
     * @param query CSS query
     * @return Evaluator
     * @see Selector selector query syntax
     */","public static Evaluator parse(String query) {
        try {
            QueryParser p = new QueryParser(query);
            return p.parse();
        } catch (IllegalArgumentException e) {
            throw new Selector.SelectorParseException(e.getMessage());
        }
    }"
jsoup_142_1,"    @Test public void exceptOnNullSelector_1_oe() throws Exception {
        try {
    QueryParser.parse(null);
    org.junit.jupiter.api.Assertions.fail(""Selector.SelectorParseException"");
} catch (Selector.SelectorParseException e) {
}
        }
",QueryParserTest::exceptOnNullSelector_1_oe,org.jsoup.select.QueryParser,parse(String query),"/**
     * Parse a CSS query into an Evaluator.
     * @param query CSS query
     * @return Evaluator
     * @see Selector selector query syntax
     */","public static Evaluator parse(String query) {
        try {
            QueryParser p = new QueryParser(query);
            return p.parse();
        } catch (IllegalArgumentException e) {
            throw new Selector.SelectorParseException(e.getMessage());
        }
    }"
jsoup_398_1,"    @Test public void valueOfChecksNotNull_1_oe() throws Exception {
        try {
    Tag.valueOf(null);
    org.junit.jupiter.api.Assertions.fail(""IllegalArgumentException"");
} catch (IllegalArgumentException e) {
}
        }
",TagTest::valueOfChecksNotNull_1_oe,org.jsoup.parser.Tag,"valueOf(String tagName, ParseSettings settings)","/**
     * Get a Tag by name. If not previously defined (unknown), returns a new generic tag, that can do anything.
     * <p>
     * Pre-defined tags (P, DIV etc) will be ==, but unknown tags are not registered and will only .equals().
     * </p>
     * 
     * @param tagName Name of tag, e.g. ""p"". Case insensitive.
     * @param settings used to control tag name sensitivity
     * @return The tag, either defined or new generic.
     */","public static Tag valueOf(String tagName, ParseSettings settings) {
        Validate.notNull(tagName);
        Tag tag = tags.get(tagName);

        if (tag == null) {
            tagName = settings.normalizeTag(tagName); // the name we'll use
            Validate.notEmpty(tagName);
            String normalName = Normalizer.lowerCase(tagName); // the lower-case name to get tag settings off
            tag = tags.get(normalName);

            if (tag == null) {
                // not defined: create default; go anywhere, do anything! (incl be inside a <p>)
                tag = new Tag(tagName);
                tag.isBlock = false;
            } else if (settings.preserveTagCase() && !tagName.equals(normalName))  {
                tag = tag.clone(); // get a new version vs the static one, so name update doesn't reset all
                tag.tagName = tagName;
            }
        }
        return tag;
    }"
jsoup_399_1,"    @Test public void valueOfChecksNotEmpty_1_oe() throws Exception {
        try {
    Tag.valueOf("" "");
    org.junit.jupiter.api.Assertions.fail(""IllegalArgumentException"");
} catch (IllegalArgumentException e) {
}
        }
",TagTest::valueOfChecksNotEmpty_1_oe,org.jsoup.parser.Tag,"valueOf(String tagName, ParseSettings settings)","/**
     * Get a Tag by name. If not previously defined (unknown), returns a new generic tag, that can do anything.
     * <p>
     * Pre-defined tags (P, DIV etc) will be ==, but unknown tags are not registered and will only .equals().
     * </p>
     * 
     * @param tagName Name of tag, e.g. ""p"". Case insensitive.
     * @param settings used to control tag name sensitivity
     * @return The tag, either defined or new generic.
     */","public static Tag valueOf(String tagName, ParseSettings settings) {
        Validate.notNull(tagName);
        Tag tag = tags.get(tagName);

        if (tag == null) {
            tagName = settings.normalizeTag(tagName); // the name we'll use
            Validate.notEmpty(tagName);
            String normalName = Normalizer.lowerCase(tagName); // the lower-case name to get tag settings off
            tag = tags.get(normalName);

            if (tag == null) {
                // not defined: create default; go anywhere, do anything! (incl be inside a <p>)
                tag = new Tag(tagName);
                tag.isBlock = false;
            } else if (settings.preserveTagCase() && !tagName.equals(normalName))  {
                tag = tag.clone(); // get a new version vs the static one, so name update doesn't reset all
                tag.tagName = tagName;
            }
        }
        return tag;
    }"
jsoup_501_1,"    @Test
    public void constructorValidationThrowsExceptionOnNulls_1_oe() throws Exception {
        try {
    new DocumentType(""html"", null, null);
    org.junit.jupiter.api.Assertions.fail(""IllegalArgumentException"");
} catch (IllegalArgumentException e) {
}
    }
",DocumentTypeTest::constructorValidationThrowsExceptionOnNulls_1_oe,,,,
jsoup_621_1,"    @Test
    public void testThrowsOnAddNullText_1_oe() throws Exception {
        try {
     Document doc = Jsoup.parse(""<div id=1><p>Hello</p></div>""); Element div = doc.getElementById(""1""); div.appendText(null);
    org.junit.jupiter.api.Assertions.fail(""IllegalArgumentException"");
} catch (IllegalArgumentException e) {
}
    }
",ElementTest::testThrowsOnAddNullText_1_oe,org.jsoup.nodes.Element,appendText(String text),"/**
     * Create and append a new TextNode to this element.
     *
     * @param text the unencoded text to add
     * @return this element
     */","public Element appendText(String text) {
        Validate.notNull(text);
        TextNode node = new TextNode(text);
        appendChild(node);
        return this;
    }"
jsoup_622_1,"    @Test
    public void testThrowsOnPrependNullText_1_oe() throws Exception {
        try {
     Document doc = Jsoup.parse(""<div id=1><p>Hello</p></div>""); Element div = doc.getElementById(""1""); div.prependText(null);
    org.junit.jupiter.api.Assertions.fail(""IllegalArgumentException"");
} catch (IllegalArgumentException e) {
}
    }
",ElementTest::testThrowsOnPrependNullText_1_oe,org.jsoup.nodes.Element,prependText(String text),"/**
     * Create and prepend a new TextNode to this element.
     *
     * @param text the unencoded text to add
     * @return this element
     */","public Element prependText(String text) {
        Validate.notNull(text);
        TextNode node = new TextNode(text);
        prependChild(node);
        return this;
    }"
jsoup_779_1,"    @Test public void validatesKeysNotEmpty_1_oe() throws Exception {
        try {
    new Attribute("" "", ""Check"");
    org.junit.jupiter.api.Assertions.fail(""IllegalArgumentException"");
} catch (IllegalArgumentException e) {
}
        }
",AttributeTest::validatesKeysNotEmpty_1_oe,,,,
