id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
jsoup_139_1,jsoup,QueryParserTest,exceptionOnUncloseAttribute_1_oe,src/test/java/org/jsoup/select/QueryParserTest.java,,,,assert,unknown,standard,assertThrows
jsoup_140_1,jsoup,QueryParserTest,testParsesSingleQuoteInContains_1_oe,src/test/java/org/jsoup/select/QueryParserTest.java,,,,assert,unknown,standard,assertThrows
jsoup_141_1,jsoup,QueryParserTest,exceptOnEmptySelector_1_oe,src/test/java/org/jsoup/select/QueryParserTest.java,,,,assert,unknown,standard,assertThrows
jsoup_142_1,jsoup,QueryParserTest,exceptOnNullSelector_1_oe,src/test/java/org/jsoup/select/QueryParserTest.java,,,,assert,unknown,standard,assertThrows
jsoup_398_1,jsoup,TagTest,valueOfChecksNotNull_1_oe,src/test/java/org/jsoup/parser/TagTest.java,,,,assert,unknown,standard,assertThrows
jsoup_399_1,jsoup,TagTest,valueOfChecksNotEmpty_1_oe,src/test/java/org/jsoup/parser/TagTest.java,,,,assert,unknown,standard,assertThrows
jsoup_501_1,jsoup,DocumentTypeTest,constructorValidationThrowsExceptionOnNulls_1_oe,src/test/java/org/jsoup/nodes/DocumentTypeTest.java,,,,assert,unknown,standard,assertThrows
jsoup_621_1,jsoup,ElementTest,testThrowsOnAddNullText_1_oe,src/test/java/org/jsoup/nodes/ElementTest.java,,,,assert,unknown,standard,assertThrows
jsoup_622_1,jsoup,ElementTest,testThrowsOnPrependNullText_1_oe,src/test/java/org/jsoup/nodes/ElementTest.java,,,,assert,unknown,standard,assertThrows
jsoup_779_1,jsoup,AttributeTest,validatesKeysNotEmpty_1_oe,src/test/java/org/jsoup/nodes/AttributeTest.java,,,,assert,unknown,standard,assertThrows
jsoup_780_1,jsoup,AttributeTest,validatesKeysNotEmptyViaSet_1_oe,src/test/java/org/jsoup/nodes/AttributeTest.java,,,,assert,unknown,standard,assertThrows
jsoup_823_1,jsoup,ConnectTest,bodyAfterParseThrowsValidationError_1_oe,src/test/java/org/jsoup/integration/ConnectTest.java,,,,assert,unknown,standard,assertThrows
jsoup_870_2,jsoup,FuzzFixesIT,testHtmlParse_2_oe,src/test/java/org/jsoup/integration/FuzzFixesIT.java,,,,assert,unknown,standard,fail
jsoup_871_2,jsoup,FuzzFixesIT,testXmlParse_2_oe,src/test/java/org/jsoup/integration/FuzzFixesIT.java,,,,assert,unknown,standard,fail
jsoup_895_2,jsoup,HttpConnectionTest,canCreateEmptyConnection_2_oe,src/test/java/org/jsoup/helper/HttpConnectionTest.java,,,,assert,unknown,standard,assertThrows
jsoup_896_1,jsoup,HttpConnectionTest,throwsExceptionOnResponseWithoutExecute_1_oe,src/test/java/org/jsoup/helper/HttpConnectionTest.java,,,,assert,unknown,standard,assertThrows
jsoup_897_1,jsoup,HttpConnectionTest,throwsExceptionOnParseWithoutExecute_1_oe,src/test/java/org/jsoup/helper/HttpConnectionTest.java,,,,assert,unknown,standard,assertThrows
jsoup_898_1,jsoup,HttpConnectionTest,throwsExceptionOnBodyWithoutExecute_1_oe,src/test/java/org/jsoup/helper/HttpConnectionTest.java,,,,assert,unknown,standard,assertThrows
jsoup_899_1,jsoup,HttpConnectionTest,throwsExceptionOnBodyAsBytesWithoutExecute_1_oe,src/test/java/org/jsoup/helper/HttpConnectionTest.java,,,,assert,unknown,standard,assertThrows
jsoup_906_1,jsoup,HttpConnectionTest,throwsOnMalformedUrl_1_oe,src/test/java/org/jsoup/helper/HttpConnectionTest.java,,,,assert,unknown,standard,assertThrows
jsoup_911_1,jsoup,HttpConnectionTest,throwsOnOddData_1_oe,src/test/java/org/jsoup/helper/HttpConnectionTest.java,,,,assert,unknown,standard,assertThrows
