id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,dataset_type
jsou_1,jsoup,TraversorTest,filterVisit_oe,src/test/java/org/jsoup/select/TraversorTest.java,,,,multiple
jsou_2,jsoup,TraversorTest,filterSkipChildren_oe,src/test/java/org/jsoup/select/TraversorTest.java,,,,multiple
jsou_3,jsoup,TraversorTest,filterSkipEntirely_oe,src/test/java/org/jsoup/select/TraversorTest.java,,,,multiple
jsou_4,jsoup,TraversorTest,filterRemove_oe,src/test/java/org/jsoup/select/TraversorTest.java,,,,multiple
jsou_5,jsoup,TraversorTest,filterStop_oe,src/test/java/org/jsoup/select/TraversorTest.java,,,,multiple
jsou_6,jsoup,TraversorTest,parse_oe,src/test/java/org/jsoup/select/TraversorTest.java,,,,multiple
jsou_7,jsoup,TraversorTest,parse_oe,src/test/java/org/jsoup/select/TraversorTest.java,,,,multiple
jsou_8,jsoup,TraversorTest,parse_oe,src/test/java/org/jsoup/select/TraversorTest.java,,,,multiple
jsou_9,jsoup,TraversorTest,parse_oe,src/test/java/org/jsoup/select/TraversorTest.java,,,,multiple
jsou_10,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_11,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_12,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_13,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_14,jsoup,SelectorTest,testByAttribute_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_15,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_16,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_17,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_18,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_19,jsoup,SelectorTest,testByAttributeStarting_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_20,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_21,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_22,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_23,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_24,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_25,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_26,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_27,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_28,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_29,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_30,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_31,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_32,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_33,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_34,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_35,jsoup,SelectorTest,toLowerCase_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_36,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_37,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_38,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_39,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_40,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_41,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_42,jsoup,SelectorTest,identifiers_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_43,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_44,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_45,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_46,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_47,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_48,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_49,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_50,jsoup,SelectorTest,parse_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
jsou_51,jsoup,SelectorTest,testPseudoContains_oe,src/test/java/org/jsoup/select/SelectorTest.java,,,,multiple
