id,test_prefix,test_name
scribejava_26_6,"    @Test
    public void shouldExtractStandardHeader_6_oe() {
        final String header = extractor.extract(request);
        final String oauth = ""OAuth "";
        final String callback = ""oauth_callback=\""http%3A%2F%2Fexample%2Fcallback\"""";
        final String signature = ""oauth_signature=\""OAuth-Signature\"""";
        final String key = ""oauth_consumer_key=\""AS%23%24%5E%2A%40%26\"""";
        final String timestamp = ""oauth_timestamp=\""123456\"""";

        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // Assert that header only contains the checked elements above and nothing else
        assertEquals("",,,"",header.replaceFirst(oauth,"""").replaceFirst(callback,"""").replaceFirst(signature,"""").replaceFirst(key,"""").replaceFirst(timestamp,""""));
    }
",HeaderExtractorTest::shouldExtractStandardHeader_6_oe
scribejava_39_1,"    @Test
    public void testEmptyMultipartPayload_1_oe() throws IOException {
        final MultipartPayload mP = new MultipartPayload();

        final StringBuilder headersString = new StringBuilder();
        for (Map.Entry<String, String> header : mP.getHeaders().entrySet()) {
            headersString.append(header.getKey())
                    .append("": "")
                    .append(header.getValue())
                    .append(""\r\n"");
        }

        assertEquals(""Content-Type: multipart/form-data;boundary=\"""" + mP.getBoundary()+ ""\""\r\n"",headersString.toString());
    }
",MultipartUtilsTest::testEmptyMultipartPayload_1_oe
scribejava_40_1,"    @Test
    public void testSimpleMultipartPayload_1_oe() throws IOException {
        final Map<String, String> headers = new LinkedHashMap<>();
        headers.put(""X-Header"", ""X-Value"");
        headers.put(""Content-Disposition"", ""Content-Disposition-Value"");
        final MultipartPayload mP = new MultipartPayload(""mixed"", ""simple boundary"", headers);
        mP.setPreamble(""This is the preamble.  It is to be ignored, though it\n""
                + ""is a handy place for composition agents to include an\n""
                + ""explanatory note to non-MIME conformant readers."");

        mP.addBodyPart(new ByteArrayBodyPartPayload((""This is implicitly typed plain US-ASCII text.\n""
                + ""It does NOT end with a linebreak."").getBytes()));

        final ByteArrayBodyPartPayload bP = new ByteArrayBodyPartPayload(
                (""This is explicitly typed plain US-ASCII text.\n""
                        + ""It DOES end with a linebreak.\n"").getBytes(),
                Collections.singletonMap(HttpClient.CONTENT_TYPE, ""text/plain; charset=us-ascii""));
        mP.addBodyPart(bP);

        mP.setEpilogue(""This is the epilogue.  It is also to be ignored."");

        final StringBuilder headersString = new StringBuilder();
        for (Map.Entry<String, String> header : mP.getHeaders().entrySet()) {
            headersString.append(header.getKey())
                    .append("": "")
                    .append(header.getValue())
                    .append(""\r\n"");
        }

        assertEquals(""X-Header: X-Value\r\n"" + ""Content-Disposition: Content-Disposition-Value\r\n"" + ""Content-Type: multipart/mixed;boundary=\""simple boundary\""\r\n"",headersString.toString());
    }
",MultipartUtilsTest::testSimpleMultipartPayload_1_oe
scribejava_40_2,"    @Test
    public void testSimpleMultipartPayload_2_oe() throws IOException {
        final Map<String, String> headers = new LinkedHashMap<>();
        headers.put(""X-Header"", ""X-Value"");
        headers.put(""Content-Disposition"", ""Content-Disposition-Value"");
        final MultipartPayload mP = new MultipartPayload(""mixed"", ""simple boundary"", headers);
        mP.setPreamble(""This is the preamble.  It is to be ignored, though it\n""
                + ""is a handy place for composition agents to include an\n""
                + ""explanatory note to non-MIME conformant readers."");

        mP.addBodyPart(new ByteArrayBodyPartPayload((""This is implicitly typed plain US-ASCII text.\n""
                + ""It does NOT end with a linebreak."").getBytes()));

        final ByteArrayBodyPartPayload bP = new ByteArrayBodyPartPayload(
                (""This is explicitly typed plain US-ASCII text.\n""
                        + ""It DOES end with a linebreak.\n"").getBytes(),
                Collections.singletonMap(HttpClient.CONTENT_TYPE, ""text/plain; charset=us-ascii""));
        mP.addBodyPart(bP);

        mP.setEpilogue(""This is the epilogue.  It is also to be ignored."");

        final StringBuilder headersString = new StringBuilder();
        for (Map.Entry<String, String> header : mP.getHeaders().entrySet()) {
            headersString.append(header.getKey())
                    .append("": "")
                    .append(header.getValue())
                    .append(""\r\n"");
        }

        // removed other assertion

        assertEquals(""This is the preamble. It is to be ignored,though it\n"" + ""is a handy place for composition agents to include an\n"" + ""explanatory note to non-MIME conformant readers."" + ""\r\n--simple boundary\r\n"" + ""\r\n"" + ""This is implicitly typed plain US-ASCII text.\n"" + ""It does NOT end with a linebreak."" + ""\r\n--simple boundary\r\n"" + ""Content-Type: text/plain;charset=us-ascii\r\n"" + ""\r\n"" + ""This is explicitly typed plain US-ASCII text.\n"" + ""It DOES end with a linebreak.\n"" + ""\r\n--simple boundary--"" + ""\r\nThis is the epilogue. It is also to be ignored."",MultipartUtils.getPayload(mP).toString());
    }
",MultipartUtilsTest::testSimpleMultipartPayload_2_oe
scribejava_42_1,"    @Test
    public void testFileByteArrayBodyPartPayloadMultipartPayload_1_oe() throws IOException {
        final MultipartPayload mP = new MultipartPayload(""testFileByteArrayBodyPartPayloadMultipartPayload boundary"");
        mP.addBodyPart(new FileByteArrayBodyPartPayload(""fileContent"".getBytes(), ""name"", ""filename.ext""));

        final StringBuilder headersString = new StringBuilder();
        for (Map.Entry<String, String> header : mP.getHeaders().entrySet()) {
            headersString.append(header.getKey())
                    .append("": "")
                    .append(header.getValue())
                    .append(""\r\n"");
        }

        assertEquals(""Content-Type: multipart/form-data;"" + ""boundary=\""testFileByteArrayBodyPartPayloadMultipartPayload boundary\""\r\n"",headersString.toString());
    }
",MultipartUtilsTest::testFileByteArrayBodyPartPayloadMultipartPayload_1_oe
scribejava_42_2,"    @Test
    public void testFileByteArrayBodyPartPayloadMultipartPayload_2_oe() throws IOException {
        final MultipartPayload mP = new MultipartPayload(""testFileByteArrayBodyPartPayloadMultipartPayload boundary"");
        mP.addBodyPart(new FileByteArrayBodyPartPayload(""fileContent"".getBytes(), ""name"", ""filename.ext""));

        final StringBuilder headersString = new StringBuilder();
        for (Map.Entry<String, String> header : mP.getHeaders().entrySet()) {
            headersString.append(header.getKey())
                    .append("": "")
                    .append(header.getValue())
                    .append(""\r\n"");
        }

        // removed other assertion

        assertEquals(""--testFileByteArrayBodyPartPayloadMultipartPayload boundary\r\n"" + ""Content-Disposition: form-data;name=\""name\"";filename=\""filename.ext\""\r\n"" + ""\r\n"" + ""fileContent"" + ""\r\n--testFileByteArrayBodyPartPayloadMultipartPayload boundary--"",MultipartUtils.getPayload(mP).toString());
    }
",MultipartUtilsTest::testFileByteArrayBodyPartPayloadMultipartPayload_2_oe
scribejava_43_2,"    @Test
    public void testComplexMultipartPayload_2_oe() throws IOException {
        final MultipartPayload mP = new MultipartPayload(""mixed"", ""unique-boundary-1"");

        mP.setPreamble(""This is the preamble area of a multipart message.\n""
                + ""Mail readers that understand multipart format\n""
                + ""should ignore this preamble.\n""
                + ""\n""
                + ""If you are reading this text, you might want to\n""
                + ""consider changing to a mail reader that understands\n""
                + ""how to properly display multipart messages.\n"");

        mP.addBodyPart(new ByteArrayBodyPartPayload(""... Some text appears here ..."".getBytes()));

        mP.addBodyPart(new ByteArrayBodyPartPayload((""This could have been part of the previous part, but\n""
                + ""illustrates explicit versus implicit typing of body\n""
                + ""parts.\n"").getBytes(), ""text/plain; charset=US-ASCII""));

        final MultipartPayload innerMP = new MultipartPayload(""parallel"", ""unique-boundary-2"");
        mP.addBodyPart(innerMP);

        final Map<String, String> audioHeaders = new LinkedHashMap<>();
        audioHeaders.put(""Content-Type"", ""audio/basic"");
        audioHeaders.put(""Content-Transfer-Encoding"", ""base64"");
        innerMP.addBodyPart(new ByteArrayBodyPartPayload((""... base64-encoded 8000 Hz single-channel\n""
                + ""    mu-law-format audio data goes here ..."").getBytes(), audioHeaders));

        final Map<String, String> imageHeaders = new LinkedHashMap<>();
        imageHeaders.put(""Content-Type"", ""image/jpeg"");
        imageHeaders.put(""Content-Transfer-Encoding"", ""base64"");
        innerMP.addBodyPart(new ByteArrayBodyPartPayload(""... base64-encoded image data goes here ..."".getBytes(),
                imageHeaders));

        mP.addBodyPart(new ByteArrayBodyPartPayload((""This is <bold><italic>enriched.</italic></bold>\n""
                + ""<smaller>as defined in RFC 1896</smaller>\n""
                + ""\n""
                + ""Isn't it\n""
                + ""<bigger><bigger>cool?</bigger></bigger>\n"").getBytes(), ""text/enriched""));

        mP.addBodyPart(new ByteArrayBodyPartPayload((""From: (mailbox in US-ASCII)\n""
                + ""To: (address in US-ASCII)\n""
                + ""Subject: (subject in US-ASCII)\n""
                + ""Content-Type: Text/plain; charset=ISO-8859-1\n""
                + ""Content-Transfer-Encoding: Quoted-printable\n""
                + ""\n""
                + ""... Additional text in ISO-8859-1 goes here ...\n"").getBytes(), ""message/rfc822""));

        final StringBuilder headersString = new StringBuilder();
        for (Map.Entry<String, String> header : mP.getHeaders().entrySet()) {
            headersString.append(header.getKey())
                    .append("": "")
                    .append(header.getValue())
                    .append(""\r\n"");
        }
        // removed other assertion

        assertEquals(""This is the preamble area of a multipart message.\n"" + ""Mail readers that understand multipart format\n"" + ""should ignore this preamble.\n"" + ""\n"" + ""If you are reading this text,you might want to\n"" + ""consider changing to a mail reader that understands\n"" + ""how to properly display multipart messages.\n"" + ""\r\n--unique-boundary-1\r\n"" + ""\r\n"" + ""... Some text appears here ..."" + ""\r\n--unique-boundary-1\r\n"" + ""Content-Type: text/plain;charset=US-ASCII\r\n"" + ""\r\n"" + ""This could have been part of the previous part,but\n"" + ""illustrates explicit versus implicit typing of body\n"" + ""parts.\n"" + ""\r\n--unique-boundary-1\r\n"" + ""Content-Type: multipart/parallel;boundary=\""unique-boundary-2\""\r\n"" + ""\r\n--unique-boundary-2\r\n"" + ""Content-Type: audio/basic\r\n"" + ""Content-Transfer-Encoding: base64\r\n"" + ""\r\n"" + ""... base64-encoded 8000 Hz single-channel\n"" + "" mu-law-format audio data goes here ..."" + ""\r\n--unique-boundary-2\r\n"" + ""Content-Type: image/jpeg\r\n"" + ""Content-Transfer-Encoding: base64\r\n"" + ""\r\n"" + ""... base64-encoded image data goes here ..."" + ""\r\n--unique-boundary-2--"" + ""\r\n--unique-boundary-1\r\n"" + ""Content-Type: text/enriched\r\n"" + ""\r\n"" + ""This is <bold><italic>enriched.</italic></bold>\n"" + ""<smaller>as defined in RFC 1896</smaller>\n"" + ""\n"" + ""Isn't it\n"" + ""<bigger><bigger>cool?</bigger></bigger>\n"" + ""\r\n--unique-boundary-1\r\n"" + ""Content-Type: message/rfc822\r\n"" + ""\r\n"" + ""From:(mailbox in US-ASCII)\n"" + ""To:(address in US-ASCII)\n"" + ""Subject:(subject in US-ASCII)\n"" + ""Content-Type: Text/plain;charset=ISO-8859-1\n"" + ""Content-Transfer-Encoding: Quoted-printable\n"" + ""\n"" + ""... Additional text in ISO-8859-1 goes here ...\n"" + ""\r\n--unique-boundary-1--"",MultipartUtils.getPayload(mP).toString());
    }
",MultipartUtilsTest::testComplexMultipartPayload_2_oe
scribejava_44_14,"    @Test
    public void testParseBoundaryFromHeader_14_oe() {
        // removed other assertion

        // removed other assertion

        // removed other assertion

        // removed other assertion

        // removed other assertion

        // removed other assertion

        // removed other assertion

        // removed other assertion

        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        assertEquals(""0aA'()+_,"",MultipartUtils.parseBoundaryFromHeader(""multipart/subtype;boundary=0aA'()+_,;-./:=? ""));
    }
",MultipartUtilsTest::testParseBoundaryFromHeader_14_oe
scribejava_44_15,"    @Test
    public void testParseBoundaryFromHeader_15_oe() {
        // removed other assertion

        // removed other assertion

        // removed other assertion

        // removed other assertion

        // removed other assertion

        // removed other assertion

        // removed other assertion

        // removed other assertion

        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        // removed other assertion

        assertEquals(""0aA'()+_,-./:=?"",MultipartUtils.parseBoundaryFromHeader(""multipart/subtype;boundary=\""0aA'()+_,-./:=?""));
    }
",MultipartUtilsTest::testParseBoundaryFromHeader_15_oe
scribejava_44_16,"    @Test
    public void testParseBoundaryFromHeader_16_oe() {
        // removed other assertion

        // removed other assertion

        // removed other assertion

        // removed other assertion

        // removed other assertion

        // removed other assertion

        // removed other assertion

        // removed other assertion

        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        // removed other assertion

        // removed other assertion

        assertEquals(""0aA'()+_,-./:=?"",MultipartUtils.parseBoundaryFromHeader(""multipart/subtype;boundary=0aA'()+_,-./:=?\""""));
    }
",MultipartUtilsTest::testParseBoundaryFromHeader_16_oe
