id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
scribejava_left_39_1,scribejava,OAuth2AccessTokenExtractorTest,shouldExtractTokenFromOAuthStandardResponse_1_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth2AccessTokenExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_40_1,scribejava,OAuth2AccessTokenExtractorTest,shouldExtractTokenFromResponseWithExpiresParam_1_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth2AccessTokenExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_40_2,scribejava,OAuth2AccessTokenExtractorTest,shouldExtractTokenFromResponseWithExpiresParam_2_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth2AccessTokenExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_41_1,scribejava,OAuth2AccessTokenExtractorTest,shouldExtractTokenFromResponseWithExpiresAndRefreshParam_1_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth2AccessTokenExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_41_2,scribejava,OAuth2AccessTokenExtractorTest,shouldExtractTokenFromResponseWithExpiresAndRefreshParam_2_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth2AccessTokenExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_41_3,scribejava,OAuth2AccessTokenExtractorTest,shouldExtractTokenFromResponseWithExpiresAndRefreshParam_3_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth2AccessTokenExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_41_4,scribejava,OAuth2AccessTokenExtractorTest,shouldExtractTokenFromResponseWithExpiresAndRefreshParam_4_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth2AccessTokenExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_42_1,scribejava,OAuth2AccessTokenExtractorTest,shouldExtractTokenFromResponseWithManyParameters_1_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth2AccessTokenExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_47_1,scribejava,OAuth1AccessTokenExtractorTest,shouldExtractTokenFromOAuthStandardResponse_1_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth1AccessTokenExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_47_2,scribejava,OAuth1AccessTokenExtractorTest,shouldExtractTokenFromOAuthStandardResponse_2_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth1AccessTokenExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_48_1,scribejava,OAuth1AccessTokenExtractorTest,shouldExtractTokenFromInvertedOAuthStandardResponse_1_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth1AccessTokenExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_48_2,scribejava,OAuth1AccessTokenExtractorTest,shouldExtractTokenFromInvertedOAuthStandardResponse_2_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth1AccessTokenExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_49_1,scribejava,OAuth1AccessTokenExtractorTest,shouldExtractTokenFromResponseWithCallbackConfirmed_1_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth1AccessTokenExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_49_2,scribejava,OAuth1AccessTokenExtractorTest,shouldExtractTokenFromResponseWithCallbackConfirmed_2_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth1AccessTokenExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_50_1,scribejava,OAuth1AccessTokenExtractorTest,shouldExtractTokenWithEmptySecret_1_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth1AccessTokenExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_50_2,scribejava,OAuth1AccessTokenExtractorTest,shouldExtractTokenWithEmptySecret_2_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth1AccessTokenExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_55_1,scribejava,OAuth2AccessTokenJsonExtractorTest,shouldParseResponse_1_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth2AccessTokenJsonExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_56_1,scribejava,OAuth2AccessTokenJsonExtractorTest,shouldParseScopeFromResponse_1_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth2AccessTokenJsonExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_56_2,scribejava,OAuth2AccessTokenJsonExtractorTest,shouldParseScopeFromResponse_2_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth2AccessTokenJsonExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_56_3,scribejava,OAuth2AccessTokenJsonExtractorTest,shouldParseScopeFromResponse_3_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth2AccessTokenJsonExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_56_4,scribejava,OAuth2AccessTokenJsonExtractorTest,shouldParseScopeFromResponse_4_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth2AccessTokenJsonExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_56_5,scribejava,OAuth2AccessTokenJsonExtractorTest,shouldParseScopeFromResponse_5_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth2AccessTokenJsonExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_56_6,scribejava,OAuth2AccessTokenJsonExtractorTest,shouldParseScopeFromResponse_6_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth2AccessTokenJsonExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_56_7,scribejava,OAuth2AccessTokenJsonExtractorTest,shouldParseScopeFromResponse_7_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth2AccessTokenJsonExtractorTest.java,,,,assert,unknown,standard,assertEquals
scribejava_left_59_1,scribejava,OAuth2AccessTokenJsonExtractorTest,shouldThrowExceptionIfResponseIsError_1_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth2AccessTokenJsonExtractorTest.java,,,,assert,unknown,standard,assertThrows
scribejava_left_60_1,scribejava,OAuth2AccessTokenJsonExtractorTest,testEscapedJsonInResponse_1_oe,scribejava-core/src/test/java/com/github/scribejava/core/extractors/OAuth2AccessTokenJsonExtractorTest.java,,,,assert,unknown,standard,assertEquals
