id,test_prefix,test_name
spark_56_1,"    @Test
    public void testMultipleFilters_1_oe() {
        try {
            SparkTestUtil.UrlResponse response = http.get(""/user"");
            Assert.assertEquals(200, response.status);
    }
    }
",MultipleFiltersTest::testMultipleFilters_1_oe
spark_56_2,"    @Test
    public void testMultipleFilters_2_oe() {
        try {
            SparkTestUtil.UrlResponse response = http.get(""/user"");
            // removed other assertion
            Assert.assertEquals(""Kevin"", response.body);
    }
    }
",MultipleFiltersTest::testMultipleFilters_2_oe
spark_85_1,"    @Test
    public void testSession_whenHttpSessionIsNull_thenThrowException_1_oe() {

        try {

            new Session(null, request);
            fail(""Session instantiation with a null HttpSession should throw an IllegalArgumentException"");
    }
    }
",SessionTest::testSession_whenHttpSessionIsNull_thenThrowException_1_oe
spark_86_1,"    @Test
    public void testSession_whenRequestIsNull_thenThrowException_1_oe() {

        try {

            new Session(httpSession, null);
            fail(""Session instantiation with a null Request should throw an IllegalArgumentException"");
    }
    }
",SessionTest::testSession_whenRequestIsNull_thenThrowException_1_oe
spark_127_1,"    @Test
    public void testHELLO_1_oe() {
        try {
            SparkTestUtil.UrlResponse response = http.get(HELLO);
            assertEquals(200, response.status);
    }
    }
",ResponseBodyTest::testHELLO_1_oe
spark_127_2,"    @Test
    public void testHELLO_2_oe() {
        try {
            SparkTestUtil.UrlResponse response = http.get(HELLO);
            // removed other assertion
            assertEquals(HELLO_WORLD, response.body);
    }
    }
",ResponseBodyTest::testHELLO_2_oe
spark_128_1,"    @Test
    public void testSPECIAL_1_oe() {
        try {
            SparkTestUtil.UrlResponse response = http.get(SPECIAL);
            assertEquals(200, response.status);
    }
    }
",ResponseBodyTest::testSPECIAL_1_oe
spark_128_2,"    @Test
    public void testSPECIAL_2_oe() {
        try {
            SparkTestUtil.UrlResponse response = http.get(SPECIAL);
            // removed other assertion
            assertEquals(XIDXUS, response.body);
    }
    }
",ResponseBodyTest::testSPECIAL_2_oe
spark_129_1,"    @Test
    public void testPORAKATIKAOKAO_1_oe() {
        try {
            SparkTestUtil.UrlResponse response = http.get(PORAKATIKAOKAO);
            assertEquals(200, response.status);
    }
    }
",ResponseBodyTest::testPORAKATIKAOKAO_1_oe
spark_129_2,"    @Test
    public void testPORAKATIKAOKAO_2_oe() {
        try {
            SparkTestUtil.UrlResponse response = http.get(PORAKATIKAOKAO);
            // removed other assertion
            assertEquals(GALLUS_SCANDALUM, response.body);
    }
    }
",ResponseBodyTest::testPORAKATIKAOKAO_2_oe
