id,test_prefix,test_name
spark_122,"@Test
    public void testSession_whenHttpSessionIsNull_thenThrowException_oe() {

        try {

            new Session(null, request);
            fail(""Session instantiation with a null HttpSession should throw an IllegalArgumentException"");

        } catch (IllegalArgumentException ex) {

            assertEquals(""session cannot be null"", ex.getMessage());
        }
    }",SessionTest::testSession_whenHttpSessionIsNull_thenThrowException_oe
spark_123,"@Test
    public void testSession_whenRequestIsNull_thenThrowException_oe() {

        try {

            new Session(httpSession, null);
            fail(""Session instantiation with a null Request should throw an IllegalArgumentException"");

        } catch (IllegalArgumentException ex) {

            assertEquals(""request cannot be null"", ex.getMessage());
        }
    }",SessionTest::testSession_whenRequestIsNull_thenThrowException_oe
spark_255,"@Test
    public void testCreateSocketConnector_whenServerIsNull_thenThrowException_oe() {

        try {
            SocketConnectorFactory.createSocketConnector(null, ""host"", 80);
            fail(""SocketConnector creation should have thrown an IllegalArgumentException"");
        } catch(IllegalArgumentException ex) {
            assertEquals(""'server' must not be null"", ex.getMessage());
        }
    }",SocketConnectorFactoryTest::testCreateSocketConnector_whenServerIsNull_thenThrowException_oe
spark_256,"@Test
    public void testCreateSocketConnector_whenHostIsNull_thenThrowException_oe() {

        Server server = new Server();

        try {
            SocketConnectorFactory.createSocketConnector(server, null, 80);
            fail(""SocketConnector creation should have thrown an IllegalArgumentException"");
        } catch(IllegalArgumentException ex) {
            assertEquals(""'host' must not be null"", ex.getMessage());
        }
    }",SocketConnectorFactoryTest::testCreateSocketConnector_whenHostIsNull_thenThrowException_oe
spark_258,"@Test
    public void testCreateSecureSocketConnector_whenServerIsNull_oe() {

        try {
            SocketConnectorFactory.createSecureSocketConnector(null, ""localhost"", 80, null);
            fail(""SocketConnector creation should have thrown an IllegalArgumentException"");
        } catch(IllegalArgumentException ex) {
            assertEquals(""'server' must not be null"", ex.getMessage());
        }
    }",SocketConnectorFactoryTest::testCreateSecureSocketConnector_whenServerIsNull_oe
spark_259,"@Test
    public void testCreateSecureSocketConnector_whenHostIsNull_oe() {

        Server server = new Server();

        try {
            SocketConnectorFactory.createSecureSocketConnector(server, null, 80, null);
            fail(""SocketConnector creation should have thrown an IllegalArgumentException"");
        } catch(IllegalArgumentException ex) {
            assertEquals(""'host' must not be null"", ex.getMessage());
        }
    }",SocketConnectorFactoryTest::testCreateSecureSocketConnector_whenHostIsNull_oe
spark_260,"@Test
    public void testCreateSecureSocketConnector_whenSslStoresIsNull_oe() {

        Server server = new Server();

        try {
            SocketConnectorFactory.createSecureSocketConnector(server, ""localhost"", 80, null);
            fail(""SocketConnector creation should have thrown an IllegalArgumentException"");
        } catch(IllegalArgumentException ex) {
            assertEquals(""'sslStores' must not be null"", ex.getMessage());
        }
    }",SocketConnectorFactoryTest::testCreateSecureSocketConnector_whenSslStoresIsNull_oe
spark_266,"@Test
    public void testCreateServer_whenNonDefaultMaxThreads_isLessThanDefaultMinThreads_oe() {
        try {
            new JettyServer().create(2, 0, 0);
            fail(""expected IllegalArgumentException"");
        }
        catch (IllegalArgumentException expected) {
            assertEquals(""max threads (2) less than min threads (8)"", expected.getMessage());
        }
    }",JettyServerTest::testCreateServer_whenNonDefaultMaxThreads_isLessThanDefaultMinThreads_oe
spark_268,"@Test
    public void testCannotCreateInvalidHandlers_oe() {
        try {
            WebSocketCreatorFactory.create(new WebSocketHandlerClassWrapper(InvalidHandler.class));
            fail(""Handler creation should have thrown an IllegalArgumentException"");
        } catch (IllegalArgumentException ex) {
            assertEquals(""WebSocket handler must implement 'WebSocketListener' or be annotated as '@WebSocket'"",ex.getMessage());
        }
    }",WebSocketCreatorFactoryTest::testCannotCreateInvalidHandlers_oe
spark_269,"@Test
    public void testCreate_whenInstantiationException_oe() throws Exception {
        try {
            WebSocketCreatorFactory.create(new WebSocketHandlerClassWrapper(FailingHandler.class));
            fail(""Handler creation should have thrown a RunTimeException"");
        } catch(RuntimeException ex) {
            assertEquals(""Could not instantiate websocket handler"", ex.getMessage());
        }

    }",WebSocketCreatorFactoryTest::testCreate_whenInstantiationException_oe
