id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
spark_left_11_1,spark,GenericIntegrationTest,testGetBinaryHi_1_oe,src/test/java/spark/GenericIntegrationTest.java,,,,assert,unknown,standard,assertEquals
spark_left_11_2,spark,GenericIntegrationTest,testGetBinaryHi_2_oe,src/test/java/spark/GenericIntegrationTest.java,,,,assert,unknown,standard,assertEquals
spark_left_12_1,spark,GenericIntegrationTest,testGetByteBufferHi_1_oe,src/test/java/spark/GenericIntegrationTest.java,,,,assert,unknown,standard,assertEquals
spark_left_12_2,spark,GenericIntegrationTest,testGetByteBufferHi_2_oe,src/test/java/spark/GenericIntegrationTest.java,,,,assert,unknown,standard,assertEquals
spark_left_13_1,spark,GenericIntegrationTest,testGetInputStreamHi_1_oe,src/test/java/spark/GenericIntegrationTest.java,,,,assert,unknown,standard,assertEquals
spark_left_13_2,spark,GenericIntegrationTest,testGetInputStreamHi_2_oe,src/test/java/spark/GenericIntegrationTest.java,,,,assert,unknown,standard,assertEquals
spark_left_27_1,spark,GenericIntegrationTest,assertEchoRoute_1_oe,src/test/java/spark/GenericIntegrationTest.java,,,,assert,unknown,custom,assertEchoRoute
spark_left_27_2,spark,GenericIntegrationTest,assertEchoRoute_2_oe,src/test/java/spark/GenericIntegrationTest.java,,,,assert,unknown,standard,assertEquals
spark_left_27_3,spark,GenericIntegrationTest,assertEchoRoute_3_oe,src/test/java/spark/GenericIntegrationTest.java,,,,assert,unknown,standard,assertEquals
spark_left_55_1,spark,RequestTest,shouldBeAbleToGetTheMatchedPathInBeforeFilter_1_oe,src/test/java/spark/RequestTest.java,,,,assert,unknown,standard,assertEquals
spark_left_56_1,spark,RequestTest,shouldBeAbleToGetTheMatchedPathInAfterFilter_1_oe,src/test/java/spark/RequestTest.java,,,,assert,unknown,standard,assertEquals
spark_left_57_1,spark,RequestTest,shouldBeAbleToGetTheMatchedPathInAfterAfterFilter_1_oe,src/test/java/spark/RequestTest.java,,,,assert,unknown,standard,assertEquals
spark_left_84_1,spark,MultipleFiltersTest,setup_1_oe,src/test/java/spark/MultipleFiltersTest.java,,,,assert,unknown,standard,assertEquals
spark_left_84_2,spark,MultipleFiltersTest,setup_2_oe,src/test/java/spark/MultipleFiltersTest.java,,,,assert,unknown,standard,assertEquals
spark_left_97_1,spark,StaticFilesMemberTest,testGet_1_oe,src/test/java/spark/StaticFilesMemberTest.java,,,,assert,unknown,standard,assertEquals
spark_left_97_2,spark,StaticFilesMemberTest,testGet_2_oe,src/test/java/spark/StaticFilesMemberTest.java,,,,assert,unknown,standard,assertTrue
spark_left_159_1,spark,CookiesIntegrationTest,httpPost_1_oe,src/test/java/spark/CookiesIntegrationTest.java,,,,assert,unknown,standard,assertEquals
spark_left_159_2,spark,CookiesIntegrationTest,httpPost_2_oe,src/test/java/spark/CookiesIntegrationTest.java,,,,assert,unknown,standard,fail
spark_left_166_1,spark,GzipTest,testGet_1_oe,src/test/java/spark/GzipTest.java,,,,assert,unknown,standard,assertEquals
spark_left_166_2,spark,GzipTest,testGet_2_oe,src/test/java/spark/GzipTest.java,,,,assert,unknown,standard,assertTrue
spark_left_171_1,spark,ResponseTest,validateCookieContent_1_oe,src/test/java/spark/ResponseTest.java,,,,assert,unknown,standard,assertEquals
spark_left_171_2,spark,ResponseTest,validateCookieContent_2_oe,src/test/java/spark/ResponseTest.java,,,,assert,unknown,standard,assertEquals
spark_left_171_3,spark,ResponseTest,validateCookieContent_3_oe,src/test/java/spark/ResponseTest.java,,,,assert,unknown,standard,assertEquals
spark_left_171_4,spark,ResponseTest,validateCookieContent_4_oe,src/test/java/spark/ResponseTest.java,,,,assert,unknown,standard,assertEquals
spark_left_171_5,spark,ResponseTest,validateCookieContent_5_oe,src/test/java/spark/ResponseTest.java,,,,assert,unknown,standard,assertEquals
spark_left_171_6,spark,ResponseTest,validateCookieContent_6_oe,src/test/java/spark/ResponseTest.java,,,,assert,unknown,standard,assertEquals
spark_left_183_1,spark,ResponseBodyTest,setup_1_oe,src/test/java/spark/ResponseBodyTest.java,,,,assert,unknown,standard,assertEquals
spark_left_183_2,spark,ResponseBodyTest,setup_2_oe,src/test/java/spark/ResponseBodyTest.java,,,,assert,unknown,standard,assertEquals
spark_left_183_3,spark,ResponseBodyTest,setup_3_oe,src/test/java/spark/ResponseBodyTest.java,,,,assert,unknown,standard,assertEquals
spark_left_183_4,spark,ResponseBodyTest,setup_4_oe,src/test/java/spark/ResponseBodyTest.java,,,,assert,unknown,standard,assertEquals
spark_left_198_1,spark,StaticFilesTestExternal,testExternalStaticFile_1_oe,src/test/java/spark/staticfiles/StaticFilesTestExternal.java,,,,assert,unknown,standard,assertEquals
spark_left_198_2,spark,StaticFilesTestExternal,testExternalStaticFile_2_oe,src/test/java/spark/staticfiles/StaticFilesTestExternal.java,,,,assert,unknown,standard,assertEquals
spark_left_198_3,spark,StaticFilesTestExternal,testExternalStaticFile_3_oe,src/test/java/spark/staticfiles/StaticFilesTestExternal.java,,,,assert,unknown,standard,assertEquals
spark_left_199_1,spark,StaticFilesTestExternal,testDirectoryTraversalProtectionExternal_1_oe,src/test/java/spark/staticfiles/StaticFilesTestExternal.java,,,,assert,unknown,standard,assertEquals
spark_left_199_2,spark,StaticFilesTestExternal,testDirectoryTraversalProtectionExternal_2_oe,src/test/java/spark/staticfiles/StaticFilesTestExternal.java,,,,assert,unknown,standard,assertEquals
spark_left_200_1,spark,StaticFilesTestExternal,testGet_1_oe,src/test/java/spark/staticfiles/StaticFilesTestExternal.java,,,,assert,unknown,standard,assertEquals
spark_left_200_2,spark,StaticFilesTestExternal,testGet_2_oe,src/test/java/spark/staticfiles/StaticFilesTestExternal.java,,,,assert,unknown,standard,assertTrue
spark_left_208_1,spark,StaticFilesTest,testGet_1_oe,src/test/java/spark/staticfiles/StaticFilesTest.java,,,,assert,unknown,standard,assertEquals
spark_left_208_2,spark,StaticFilesTest,testGet_2_oe,src/test/java/spark/staticfiles/StaticFilesTest.java,,,,assert,unknown,standard,assertTrue
