id,test_prefix,test_name,mut_class,method_under_test,mut_docstring,mut_method_definition
springside4_8_1,"	@Test
	public void test_1_oe() {
		Sampler sampler = Sampler.create(10.5);
		int hits = 0;
		for (int i = 0; i < 10000; i++) {
			if (sampler.select()) {
				hits++;
			}
		}
		System.out.println(""sample 10.5% in 10000 hits should close to 1050, actual is "" + hits);

		assertThat(hits).isBetween(900, 1200);
	}",SamplerTest::test_1_oe,org.springside.modules.utils.time.DateUtil,"isBetween(@NotNull final Date date, @NotNull final Date start, @NotNull final Date end)","/**
	 * 判断日期是否在范围内，包含相等的日期
	 */","public static boolean isBetween(@NotNull final Date date, @NotNull final Date start, @NotNull final Date end) {
		if (date == null || start == null || end == null || start.after(end)) {
			throw new IllegalArgumentException(""some date parameters is null or dateBein after dateEnd"");
		}
		return !date.before(start) && !date.after(end);
	}"
springside4_8_2,"	@Test
	public void test_2_oe() {
		Sampler sampler = Sampler.create(10.5);
		int hits = 0;
		for (int i = 0; i < 10000; i++) {
			if (sampler.select()) {
				hits++;
			}
		}
		System.out.println(""sample 10.5% in 10000 hits should close to 1050, actual is "" + hits);

		Sampler sampler2 = Sampler.create(0.5);

		hits = 0;
		for (int i = 0; i < 10000; i++) {
			if (sampler2.select()) {
				hits++;
			}
		}
		System.out.println(""sample 0.5% in 10000 hits should close to 50, actual is "" + hits);
		assertThat(hits).isBetween(20, 100);
	}",SamplerTest::test_2_oe,org.springside.modules.utils.time.DateUtil,"isBetween(@NotNull final Date date, @NotNull final Date start, @NotNull final Date end)","/**
	 * 判断日期是否在范围内，包含相等的日期
	 */","public static boolean isBetween(@NotNull final Date date, @NotNull final Date start, @NotNull final Date end) {
		if (date == null || start == null || end == null || start.after(end)) {
			throw new IllegalArgumentException(""some date parameters is null or dateBein after dateEnd"");
		}
		return !date.before(start) && !date.after(end);
	}"
springside4_9_1,"	@Test
	public void always_1_oe() {
		Sampler sampler = Sampler.create(0d);
		assertThat(sampler).isInstanceOf(NeverSampler.class);
	}",SamplerTest::always_1_oe,org.springside.modules.utils.concurrent.throttle.Sampler,create(Double selectPercent),"/**
	 * 优化的创建函数，如果为0或100时，返回更直接的采样器
	 */","public static Sampler create(Double selectPercent) {
		if (selectPercent.equals(ALWAYS)) {
			return new AlwaysSampler();
		} else if (selectPercent.equals(NEVER)) {
			return new NeverSampler();
		} else {
			return new Sampler(selectPercent);
		}
	}"
springside4_9_2,"	@Test
	public void always_2_oe() {
		Sampler sampler = Sampler.create(0d);
		sampler = Sampler.create(100d);
		assertThat(sampler).isInstanceOf(AlwaysSampler.class);
	}",SamplerTest::always_2_oe,org.springside.modules.utils.concurrent.throttle.Sampler,create(Double selectPercent),"/**
	 * 优化的创建函数，如果为0或100时，返回更直接的采样器
	 */","public static Sampler create(Double selectPercent) {
		if (selectPercent.equals(ALWAYS)) {
			return new AlwaysSampler();
		} else if (selectPercent.equals(NEVER)) {
			return new NeverSampler();
		} else {
			return new Sampler(selectPercent);
		}
	}"
springside4_9_4,"	@Test
	public void always_4_oe() {
		Sampler sampler = Sampler.create(0d);
		sampler = Sampler.create(100d);

		try {
			sampler = Sampler.create(101d);
		} catch (Exception e) {
			assertThat(e).isInstanceOf(IllegalArgumentException.class);
	}
	}",SamplerTest::always_4_oe,org.springside.modules.utils.concurrent.throttle.Sampler,create(Double selectPercent),"/**
	 * 优化的创建函数，如果为0或100时，返回更直接的采样器
	 */","public static Sampler create(Double selectPercent) {
		if (selectPercent.equals(ALWAYS)) {
			return new AlwaysSampler();
		} else if (selectPercent.equals(NEVER)) {
			return new NeverSampler();
		} else {
			return new Sampler(selectPercent);
		}
	}"
springside4_9_6,"	@Test
	public void always_6_oe() {
		Sampler sampler = Sampler.create(0d);
		sampler = Sampler.create(100d);

		try {
			sampler = Sampler.create(101d);
		} catch (Exception e) {
		}

		try {
			sampler = Sampler.create(-2.2);
		} catch (Exception e) {
			assertThat(e).isInstanceOf(IllegalArgumentException.class);
	}
	}",SamplerTest::always_6_oe,org.springside.modules.utils.concurrent.throttle.Sampler,create(Double selectPercent),"/**
	 * 优化的创建函数，如果为0或100时，返回更直接的采样器
	 */","public static Sampler create(Double selectPercent) {
		if (selectPercent.equals(ALWAYS)) {
			return new AlwaysSampler();
		} else if (selectPercent.equals(NEVER)) {
			return new NeverSampler();
		} else {
			return new Sampler(selectPercent);
		}
	}"
springside4_10_1,"	@Test
	public void test_1_oe() throws InterruptedException, ExecutionException {
		MyFuture<String> future = new MyFuture<String>();
		Tasks.success(future);
		String result = future.get();
		assertThat(result).isEqualTo(""haha"");
	}",BasicFutureTest::test_1_oe,org.springside.modules.utils.concurrent.BasicFuture,get(),,"@Override
	public synchronized T get() throws InterruptedException, ExecutionException {
		while (!this.completed) {
			wait();
		}
		return getResult();
	}"
springside4_10_3,"	@Test
	public void test_3_oe() throws InterruptedException, ExecutionException {
		MyFuture<String> future = new MyFuture<String>();
		Tasks.success(future);
		String result = future.get();

		try {
			MyFuture<String> future2 = new MyFuture<String>();
			future2.get(10, TimeUnit.MILLISECONDS);
		} catch (TimeoutException e) {
			assertThat(e).isInstanceOf(TimeoutException.class);
	}
	}",BasicFutureTest::test_3_oe,org.springside.modules.utils.concurrent.BasicFuture,get(),,"@Override
	public synchronized T get() throws InterruptedException, ExecutionException {
		while (!this.completed) {
			wait();
		}
		return getResult();
	}"
springside4_11_1,"	@Test
	public void test_1_oe() throws InterruptedException {
		ExecutorService executor = ThreadPoolBuilder.fixedPool().setPoolSize(10).build();
		CountDownLatch countDownLatch= ConcurrentTools.countDownLatch(10);
		for(int i=0;i<10;i++){
			executor.execute(new LongRunTask(countDownLatch));
		}
		countDownLatch.await();
		
		ThreadDumpper dumpper = new ThreadDumpper();
		dumpper.threadDumpIfNeed();

		LogbackListAppender appender = new LogbackListAppender();
		appender.addToLogger(ThreadDumpper.class);

		dumpper.setEnable(false);
		dumpper.threadDumpIfNeed();
		assertThat(appender.getAllLogs()).hasSize(0);
	}",ThreadDumpperTest::test_1_oe,org.springside.modules.utils.concurrent.ThreadDumpper,void threadDumpIfNeed(),"/**
	 * 符合条件则打印线程栈.
	 */","public void threadDumpIfNeed() {
		threadDumpIfNeed(null);
	}"
springside4_11_2,"	@Test
	public void test_2_oe() throws InterruptedException {
		ExecutorService executor = ThreadPoolBuilder.fixedPool().setPoolSize(10).build();
		CountDownLatch countDownLatch= ConcurrentTools.countDownLatch(10);
		for(int i=0;i<10;i++){
			executor.execute(new LongRunTask(countDownLatch));
		}
		countDownLatch.await();
		
		ThreadDumpper dumpper = new ThreadDumpper();
		dumpper.threadDumpIfNeed();

		LogbackListAppender appender = new LogbackListAppender();
		appender.addToLogger(ThreadDumpper.class);

		dumpper.setEnable(false);
		dumpper.threadDumpIfNeed();

		dumpper.setEnable(true);
		dumpper.setLeastInterval(1800);
		dumpper.threadDumpIfNeed();
		assertThat(appender.getAllLogs()).hasSize(0);
	}",ThreadDumpperTest::test_2_oe,org.springside.modules.utils.concurrent.ThreadDumpper,void threadDumpIfNeed(),"/**
	 * 符合条件则打印线程栈.
	 */","public void threadDumpIfNeed() {
		threadDumpIfNeed(null);
	}"
springside4_13_1,"	@Test
	public void longAdder_1_oe() {
		LongAdder counter = ConcurrentTools.longAdder();
		counter.increment();
		counter.add(2);
		assertThat(counter.longValue()).isEqualTo(3L);
	}",ConcurrentToolsTest::longAdder_1_oe,org.springside.modules.utils.concurrent.jsr166e.LongAdder,longValue(),"/**
     * Equivalent to {@link #sum}.
     *
     * @return the sum
     */","public long longValue() {
        return sum();
    }"
