id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type
springside4_10_101,springside4,BasicFutureTest,,modules/utils/src/test/java/org/springside/modules/utils/concurrent/BasicFutureTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/springside4/modules/utils/src/main/java/org/springside/modules/utils/concurrent/BasicFuture.java,org.springside.modules.utils.concurrent.BasicFuture,org.springside.modules.utils.concurrent,MUST_THROW
springside4_10_102,springside4,BasicFutureTest,,modules/utils/src/test/java/org/springside/modules/utils/concurrent/BasicFutureTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/springside4/modules/utils/src/main/java/org/springside/modules/utils/concurrent/BasicFuture.java,org.springside.modules.utils.concurrent.BasicFuture,org.springside.modules.utils.concurrent,MUST_THROW
springside4_19_101,springside4,URLResourceTest,,modules/utils/src/test/java/org/springside/modules/utils/io/URLResourceTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/springside4/modules/utils/src/main/java/org/springside/modules/utils/io/URLResourceUtil.java,org.springside.modules.utils.io.URLResourceUtil,org.springside.modules.utils.io,MUST_THROW
springside4_19_102,springside4,URLResourceTest,,modules/utils/src/test/java/org/springside/modules/utils/io/URLResourceTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/springside4/modules/utils/src/main/java/org/springside/modules/utils/io/URLResourceUtil.java,org.springside.modules.utils.io.URLResourceUtil,org.springside.modules.utils.io,MUST_THROW
springside4_52_101,springside4,EncodeUtilTest,,modules/utils/src/test/java/org/springside/modules/utils/text/EncodeUtilTest.java,,,,MUST_THROW
springside4_97_101,springside4,MoreValidateTest,,modules/utils/src/test/java/org/springside/modules/utils/base/MoreValidateTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/springside4/modules/utils/src/main/java/org/springside/modules/utils/base/MoreValidate.java,org.springside.modules.utils.base.MoreValidate,org.springside.modules.utils.base,MUST_THROW
springside4_97_102,springside4,MoreValidateTest,,modules/utils/src/test/java/org/springside/modules/utils/base/MoreValidateTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/springside4/modules/utils/src/main/java/org/springside/modules/utils/base/MoreValidate.java,org.springside.modules.utils.base.MoreValidate,org.springside.modules.utils.base,MUST_THROW
springside4_97_103,springside4,MoreValidateTest,,modules/utils/src/test/java/org/springside/modules/utils/base/MoreValidateTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/springside4/modules/utils/src/main/java/org/springside/modules/utils/base/MoreValidate.java,org.springside.modules.utils.base.MoreValidate,org.springside.modules.utils.base,MUST_THROW
springside4_97_104,springside4,MoreValidateTest,,modules/utils/src/test/java/org/springside/modules/utils/base/MoreValidateTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/springside4/modules/utils/src/main/java/org/springside/modules/utils/base/MoreValidate.java,org.springside.modules.utils.base.MoreValidate,org.springside.modules.utils.base,MUST_THROW
springside4_97_105,springside4,MoreValidateTest,,modules/utils/src/test/java/org/springside/modules/utils/base/MoreValidateTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/springside4/modules/utils/src/main/java/org/springside/modules/utils/base/MoreValidate.java,org.springside.modules.utils.base.MoreValidate,org.springside.modules.utils.base,MUST_THROW
springside4_97_106,springside4,MoreValidateTest,,modules/utils/src/test/java/org/springside/modules/utils/base/MoreValidateTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/springside4/modules/utils/src/main/java/org/springside/modules/utils/base/MoreValidate.java,org.springside.modules.utils.base.MoreValidate,org.springside.modules.utils.base,MUST_THROW
springside4_97_107,springside4,MoreValidateTest,,modules/utils/src/test/java/org/springside/modules/utils/base/MoreValidateTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/springside4/modules/utils/src/main/java/org/springside/modules/utils/base/MoreValidate.java,org.springside.modules.utils.base.MoreValidate,org.springside.modules.utils.base,MUST_THROW
springside4_97_108,springside4,MoreValidateTest,,modules/utils/src/test/java/org/springside/modules/utils/base/MoreValidateTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/springside4/modules/utils/src/main/java/org/springside/modules/utils/base/MoreValidate.java,org.springside.modules.utils.base.MoreValidate,org.springside.modules.utils.base,MUST_THROW
springside4_97_109,springside4,MoreValidateTest,,modules/utils/src/test/java/org/springside/modules/utils/base/MoreValidateTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/springside4/modules/utils/src/main/java/org/springside/modules/utils/base/MoreValidate.java,org.springside.modules.utils.base.MoreValidate,org.springside.modules.utils.base,MUST_THROW
springside4_97_110,springside4,MoreValidateTest,,modules/utils/src/test/java/org/springside/modules/utils/base/MoreValidateTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/springside4/modules/utils/src/main/java/org/springside/modules/utils/base/MoreValidate.java,org.springside.modules.utils.base.MoreValidate,org.springside.modules.utils.base,MUST_THROW
springside4_97_111,springside4,MoreValidateTest,,modules/utils/src/test/java/org/springside/modules/utils/base/MoreValidateTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/springside4/modules/utils/src/main/java/org/springside/modules/utils/base/MoreValidate.java,org.springside.modules.utils.base.MoreValidate,org.springside.modules.utils.base,MUST_THROW
springside4_97_112,springside4,MoreValidateTest,,modules/utils/src/test/java/org/springside/modules/utils/base/MoreValidateTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/springside4/modules/utils/src/main/java/org/springside/modules/utils/base/MoreValidate.java,org.springside.modules.utils.base.MoreValidate,org.springside.modules.utils.base,MUST_THROW
