id,test_prefix,test_name,focal_method,docstring
springside4_10_101,"@Test
	public void test_oe_101_oe() throws InterruptedException, ExecutionException {
		try {
			MyFuture<String> future2 = new MyFuture<String>();
			future2.get(10, TimeUnit.MILLISECONDS);
			fail(""should fail before"");
		} catch (TimeoutException e) {
		}
    }
",BasicFutureTest::test_oe_101_oe,"@Override
	public synchronized T get() throws InterruptedException, ExecutionException {
		while (!this.completed) {
			wait();
		}
		return getResult();
	}",
springside4_10_102,"@Test
	public void test_oe_102_oe() throws InterruptedException, ExecutionException {
		try {
			MyFuture<String> future3 = new MyFuture<String>();
			Tasks.fail(future3);
			future3.get();
		} catch (Throwable t) {
		}
    }
",BasicFutureTest::test_oe_102_oe,"@Override
	public synchronized T get() throws InterruptedException, ExecutionException {
		while (!this.completed) {
			wait();
		}
		return getResult();
	}",
springside4_19_101,"@Test
	public void resource_oe_101_oe() throws IOException {
		try {
			URLResourceUtil.asFile(""classpath://notexist.properties"");
			fail(""should fail"");
		} catch (Throwable t) {
		}
    }
",URLResourceTest::resource_oe_101_oe,"public static File asFile(String generalPath) throws IOException {
		if (StringUtils.startsWith(generalPath, CLASSPATH_PREFIX)) {
			String resourceName = StringUtils.substringAfter(generalPath, CLASSPATH_PREFIX);
			return getFileByURL(ResourceUtil.asUrl(resourceName));
		}
		try {
			// try URL
			return getFileByURL(new URL(generalPath));
		} catch (MalformedURLException ex) {
			// no URL -> treat as file path
			return new File(generalPath);
		}
	}","/**
	 * 兼容无前缀, classpath://, file:// 的情况获取文件
	 * 
	 * 如果以classpath:// 定义的文件不存在会抛出IllegalArgumentException异常，以file://定义的则不会
	 */"
springside4_19_102,"@Test
	public void resource_oe_102_oe() throws IOException {
		try {
			URLResourceUtil.asStream(""classpath://notexist.properties"");
			fail(""should fail"");
		} catch (Throwable t) {
		}
    }
",URLResourceTest::resource_oe_102_oe,"public static InputStream asStream(String generalPath) throws IOException {
		if (StringUtils.startsWith(generalPath, CLASSPATH_PREFIX)) {
			String resourceName = StringUtils.substringAfter(generalPath, CLASSPATH_PREFIX);
			return ResourceUtil.asStream(resourceName);
		}

		try {
			// try URL
			return FileUtil.asInputStream(getFileByURL(new URL(generalPath)));
		} catch (MalformedURLException ex) {
			// no URL -> treat as file path
			return FileUtil.asInputStream(generalPath);
		}
	}","/**
	 * 兼容file://与classpath://的情况的打开文件成Stream
	 */"
springside4_52_101,"@Test
	public void base64UrlSafeEncode_oe_101_oe() {
		try {
			fail(""should throw exception before"");
		} catch (Throwable t) {
		}
    }
",EncodeUtilTest::base64UrlSafeEncode_oe_101_oe,,
springside4_97_101,"@Test
	public void test_oe_101_oe() {
		try {
			MoreValidate.nonNegative(""x"", -1);
			fail(""fail"");
		} catch (Throwable t) {
		}
    }
",MoreValidateTest::test_oe_101_oe,"public static int nonNegative(@Nullable String role, int x) {
		if (x < 0) {
			throw new IllegalArgumentException(role + "" ("" + x + "") must be >= 0"");
		}
		return x;
	}","/**
	 * 校验为正数则返回该数字，否则抛出异常.
	 */"
springside4_97_102,"@Test
	public void test_oe_102_oe() {
		try {
			MoreValidate.positive(""x"", -1);
			fail(""fail"");
		} catch (Throwable t) {
		}
    }
",MoreValidateTest::test_oe_102_oe,"public static int positive(@Nullable String role, int x) {
		if (x <= 0) {
			throw new IllegalArgumentException(role + "" ("" + x + "") must be > 0"");
		}
		return x;
	}","/**
	 * 校验为正数则返回该数字，否则抛出异常.
	 */"
springside4_97_103,"@Test
	public void test_oe_103_oe() {
		try {
			MoreValidate.positive(""x"", 0);
			fail(""fail"");
		} catch (Throwable t) {
		}
    }
",MoreValidateTest::test_oe_103_oe,"public static int positive(@Nullable String role, int x) {
		if (x <= 0) {
			throw new IllegalArgumentException(role + "" ("" + x + "") must be > 0"");
		}
		return x;
	}","/**
	 * 校验为正数则返回该数字，否则抛出异常.
	 */"
springside4_97_104,"@Test
	public void test_oe_104_oe() {
		try {
			MoreValidate.nonNegative(""x"", -1l);
			fail(""fail"");
		} catch (Throwable t) {
		}
    }
",MoreValidateTest::test_oe_104_oe,"public static int nonNegative(@Nullable String role, int x) {
		if (x < 0) {
			throw new IllegalArgumentException(role + "" ("" + x + "") must be >= 0"");
		}
		return x;
	}","/**
	 * 校验为正数则返回该数字，否则抛出异常.
	 */"
springside4_97_105,"@Test
	public void test_oe_105_oe() {
		try {
			MoreValidate.positive(""x"", -1l);
			fail(""fail"");
		} catch (Throwable t) {
		}
    }
",MoreValidateTest::test_oe_105_oe,"public static int positive(@Nullable String role, int x) {
		if (x <= 0) {
			throw new IllegalArgumentException(role + "" ("" + x + "") must be > 0"");
		}
		return x;
	}","/**
	 * 校验为正数则返回该数字，否则抛出异常.
	 */"
