id,test_prefix,test_name,mut_class,method_under_test,mut_docstring,mut_method_definition,focal_method,docstring
springside4_25_1,"	@Test
	public void fileExist_1_oe() throws IOException {
		assertThat(FileUtil.isDirExists(Platforms.TMP_DIR)).isTrue();
	}
",FileUtilTest::fileExist_1_oe,org.springside.modules.utils.io.FileUtil,isDirExists(String dirPath),"/**
	 * 判断目录是否存在, from Jodd
	 */","public static boolean isDirExists(String dirPath) {
		return isDirExists(getFileByPath(dirPath));
	}","public static boolean isDirExists(String dirPath) {
		return isDirExists(getFileByPath(dirPath));
	}","/**
	 * 判断目录是否存在, from Jodd
	 */"
springside4_25_2,"	@Test
	public void fileExist_2_oe() throws IOException {
		// removed other assertion
		assertThat(FileUtil.isDirExists(Platforms.TMP_DIR + RandomUtil.nextInt())).isFalse();
	}
",FileUtilTest::fileExist_2_oe,org.springside.modules.utils.number.RandomUtil,nextInt(),"/**
	 * 返回0到Intger.MAX_VALUE的随机Int, 使用内置全局普通Random.
	 */","public static int nextInt() {
		return nextInt(threadLocalRandom());
	}","public static boolean isDirExists(String dirPath) {
		return isDirExists(getFileByPath(dirPath));
	}","/**
	 * 判断目录是否存在, from Jodd
	 */"
springside4_26_1,"	@Test
	public void getName_1_oe() {

		assertThat(FileUtil.getFileName(FilePathUtil.normalizePath(""/a/d/b/abc.txt""))).isEqualTo(""abc.txt"");
	}
",FileUtilTest::getName_1_oe,org.springside.modules.utils.io.FilePathUtil,normalizePath(String path),"/**
	 * 在Windows环境里，兼容Windows上的路径分割符，将 '/' 转回 '\'
	 */","public static String normalizePath(String path) {
		if (Platforms.FILE_PATH_SEPARATOR_CHAR == Platforms.WINDOWS_FILE_PATH_SEPARATOR_CHAR
				&& StringUtils.indexOf(path, Platforms.LINUX_FILE_PATH_SEPARATOR_CHAR) != -1) {
			return StringUtils.replaceChars(path, Platforms.LINUX_FILE_PATH_SEPARATOR_CHAR,
					Platforms.WINDOWS_FILE_PATH_SEPARATOR_CHAR);
		}
		return path;

	}","public static String getFileName(@NotNull String fullName) {
		Validate.notEmpty(fullName);
		int last = fullName.lastIndexOf(Platforms.FILE_PATH_SEPARATOR_CHAR);
		return fullName.substring(last + 1);
	}","/**
	 * 获取文件名(不包含路径)
	 */"
springside4_26_2,"	@Test
	public void getName_2_oe() {

		// removed other assertion
		assertThat(FileUtil.getFileName(""abc.txt"")).isEqualTo(""abc.txt"");
	}
",FileUtilTest::getName_2_oe,org.springside.modules.utils.io.FileUtil,getFileName(@NotNull String fullName),"/**
	 * 获取文件名(不包含路径)
	 */","public static String getFileName(@NotNull String fullName) {
		Validate.notEmpty(fullName);
		int last = fullName.lastIndexOf(Platforms.FILE_PATH_SEPARATOR_CHAR);
		return fullName.substring(last + 1);
	}","public static String getFileName(@NotNull String fullName) {
		Validate.notEmpty(fullName);
		int last = fullName.lastIndexOf(Platforms.FILE_PATH_SEPARATOR_CHAR);
		return fullName.substring(last + 1);
	}","/**
	 * 获取文件名(不包含路径)
	 */"
springside4_26_3,"	@Test
	public void getName_3_oe() {

		// removed other assertion
		// removed other assertion

		assertThat(FileUtil.getFileExtension(FilePathUtil.normalizePath(""a/d/b/abc.txt""))).isEqualTo(""txt"");
	}
",FileUtilTest::getName_3_oe,org.springside.modules.utils.io.FilePathUtil,normalizePath(String path),"/**
	 * 在Windows环境里，兼容Windows上的路径分割符，将 '/' 转回 '\'
	 */","public static String normalizePath(String path) {
		if (Platforms.FILE_PATH_SEPARATOR_CHAR == Platforms.WINDOWS_FILE_PATH_SEPARATOR_CHAR
				&& StringUtils.indexOf(path, Platforms.LINUX_FILE_PATH_SEPARATOR_CHAR) != -1) {
			return StringUtils.replaceChars(path, Platforms.LINUX_FILE_PATH_SEPARATOR_CHAR,
					Platforms.WINDOWS_FILE_PATH_SEPARATOR_CHAR);
		}
		return path;

	}","public static String getFileExtension(File file) {
		return Files.getFileExtension(file.getName());
	}","/**
	 * 获取文件名的扩展名部分(不包含.)
	 */"
springside4_26_4,"	@Test
	public void getName_4_oe() {

		// removed other assertion
		// removed other assertion

		// removed other assertion
		assertThat(FileUtil.getFileExtension(FilePathUtil.normalizePath(""/a/d/b/abc""))).isEqualTo("""");
	}
",FileUtilTest::getName_4_oe,org.springside.modules.utils.io.FilePathUtil,normalizePath(String path),"/**
	 * 在Windows环境里，兼容Windows上的路径分割符，将 '/' 转回 '\'
	 */","public static String normalizePath(String path) {
		if (Platforms.FILE_PATH_SEPARATOR_CHAR == Platforms.WINDOWS_FILE_PATH_SEPARATOR_CHAR
				&& StringUtils.indexOf(path, Platforms.LINUX_FILE_PATH_SEPARATOR_CHAR) != -1) {
			return StringUtils.replaceChars(path, Platforms.LINUX_FILE_PATH_SEPARATOR_CHAR,
					Platforms.WINDOWS_FILE_PATH_SEPARATOR_CHAR);
		}
		return path;

	}","public static String getFileExtension(File file) {
		return Files.getFileExtension(file.getName());
	}","/**
	 * 获取文件名的扩展名部分(不包含.)
	 */"
springside4_26_5,"	@Test
	public void getName_5_oe() {

		// removed other assertion
		// removed other assertion

		// removed other assertion
		// removed other assertion
		assertThat(FileUtil.getFileExtension(FilePathUtil.normalizePath(""/a/d/b/abc.""))).isEqualTo("""");
	}
",FileUtilTest::getName_5_oe,org.springside.modules.utils.io.FilePathUtil,normalizePath(String path),"/**
	 * 在Windows环境里，兼容Windows上的路径分割符，将 '/' 转回 '\'
	 */","public static String normalizePath(String path) {
		if (Platforms.FILE_PATH_SEPARATOR_CHAR == Platforms.WINDOWS_FILE_PATH_SEPARATOR_CHAR
				&& StringUtils.indexOf(path, Platforms.LINUX_FILE_PATH_SEPARATOR_CHAR) != -1) {
			return StringUtils.replaceChars(path, Platforms.LINUX_FILE_PATH_SEPARATOR_CHAR,
					Platforms.WINDOWS_FILE_PATH_SEPARATOR_CHAR);
		}
		return path;

	}","public static String getFileExtension(File file) {
		return Files.getFileExtension(file.getName());
	}","/**
	 * 获取文件名的扩展名部分(不包含.)
	 */"
springside4_32_1,"	@Test
	public void test_1_oe() throws IOException {
		// getResoruce
		assertThat(ResourceUtil.toString(""test.txt"")).contains(""ABCDEFG"");
	}
",ResourceUtilTest::test_1_oe,org.springside.modules.utils.concurrent.jsr166e.ConcurrentHashMapV8,contains(Object value),"/**
     * Legacy method testing if some key maps into the specified value
     * in this table.  This method is identical in functionality to
     * {@link #containsValue(Object)}, and exists solely to ensure
     * full compatibility with class {@link java.util.Hashtable},
     * which supported this method prior to introduction of the
     * Java Collections framework.
     *
     * @param  value a value to search for
     * @return {@code true} if and only if some key maps to the
     *         {@code value} argument in this table as
     *         determined by the {@code equals} method;
     *         {@code false} otherwise
     * @throws NullPointerException if the specified value is null
     */","@Deprecated public boolean contains(Object value) {
        return containsValue(value);
    }",,
springside4_32_2,"	@Test
	public void test_2_oe() throws IOException {
		// getResoruce
		// removed other assertion
		assertThat(ResourceUtil.toString(ResourceUtilTest.class, ""/test.txt"")).contains(""ABCDEFG"");
	}
",ResourceUtilTest::test_2_oe,org.springside.modules.utils.concurrent.jsr166e.ConcurrentHashMapV8,contains(Object value),"/**
     * Legacy method testing if some key maps into the specified value
     * in this table.  This method is identical in functionality to
     * {@link #containsValue(Object)}, and exists solely to ensure
     * full compatibility with class {@link java.util.Hashtable},
     * which supported this method prior to introduction of the
     * Java Collections framework.
     *
     * @param  value a value to search for
     * @return {@code true} if and only if some key maps to the
     *         {@code value} argument in this table as
     *         determined by the {@code equals} method;
     *         {@code false} otherwise
     * @throws NullPointerException if the specified value is null
     */","@Deprecated public boolean contains(Object value) {
        return containsValue(value);
    }",,
springside4_32_3,"	@Test
	public void test_3_oe() throws IOException {
		// getResoruce
		// removed other assertion
		// removed other assertion
		assertThat(ResourceUtil.toLines(""test.txt"")).containsExactly(""ABCDEFG"", ""ABC"");
	}
",ResourceUtilTest::test_3_oe,org.springside.modules.utils.io.ResourceUtil,toLines(String resourceName),"/**
	 * 读取文件的每一行，读取规则见本类注释.
	 */","public static List<String> toLines(String resourceName) throws IOException {
		return Resources.readLines(Resources.getResource(resourceName), Charsets.UTF_8);
	}","public static List<String> toLines(String resourceName) throws IOException {
		return Resources.readLines(Resources.getResource(resourceName), Charsets.UTF_8);
	}","/**
	 * 读取文件的每一行，读取规则见本类注释.
	 */"
