id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
springside4_left_1_1,springside4,BookBorrowServiceTest,applyBorrowRequestWithError_1_oe,examples/boot-api/src/test/java/org/springside/examples/bootapi/service/BookBorrowServiceTest.java,,,,assert,unknown,standard,fail
springside4_left_1_4,springside4,BookBorrowServiceTest,applyBorrowRequestWithError_4_oe,examples/boot-api/src/test/java/org/springside/examples/bootapi/service/BookBorrowServiceTest.java,,,,assert,unknown,standard,fail
springside4_left_6_1,springside4,BookEndpointTest,login_1_oe,examples/boot-api/src/test/java/org/springside/examples/bootapi/functional/BookEndpointTest.java,,,,assert,unknown,standard,assertThat
springside4_left_10_3,springside4,SamplerTest,always_3_oe,modules/utils/src/test/java/org/springside/modules/utils/misc/SamplerTest.java,,,,assert,unknown,standard,fail
springside4_left_10_5,springside4,SamplerTest,always_5_oe,modules/utils/src/test/java/org/springside/modules/utils/misc/SamplerTest.java,,,,assert,unknown,standard,fail
springside4_left_11_1,springside4,Tasks,fail_1_oe,,,,,assert,unknown,standard,fail
springside4_left_12_2,springside4,BasicFutureTest,test_2_oe,modules/utils/src/test/java/org/springside/modules/utils/concurrent/BasicFutureTest.java,,,,assert,unknown,standard,fail
springside4_left_12_4,springside4,BasicFutureTest,test_4_oe,modules/utils/src/test/java/org/springside/modules/utils/concurrent/BasicFutureTest.java,,,,assert,unknown,standard,fail
springside4_left_12_5,springside4,BasicFutureTest,test_5_oe,modules/utils/src/test/java/org/springside/modules/utils/concurrent/BasicFutureTest.java,,,,assert,unknown,standard,fail
springside4_left_15_1,springside4,ThreadUtilTest,hello_1_oe,modules/utils/src/test/java/org/springside/modules/utils/concurrent/ThreadUtilTest.java,,,,assert,unknown,standard,assertThat
springside4_left_15_2,springside4,ThreadUtilTest,hello_2_oe,modules/utils/src/test/java/org/springside/modules/utils/concurrent/ThreadUtilTest.java,,,,assert,unknown,standard,assertThat
springside4_left_16_1,springside4,MyClass,hello_1_oe,,,,,assert,unknown,standard,assertThat
springside4_left_16_2,springside4,MyClass,hello_2_oe,,,,,assert,unknown,standard,assertThat
springside4_left_18_1,springside4,FileUtilTest,readWrite_1_oe,modules/utils/src/test/java/org/springside/modules/utils/io/FileUtilTest.java,,,,assert,unknown,standard,assertThat
springside4_left_18_2,springside4,FileUtilTest,readWrite_2_oe,modules/utils/src/test/java/org/springside/modules/utils/io/FileUtilTest.java,,,,assert,unknown,standard,assertThat
springside4_left_18_3,springside4,FileUtilTest,readWrite_3_oe,modules/utils/src/test/java/org/springside/modules/utils/io/FileUtilTest.java,,,,assert,unknown,standard,assertThat
springside4_left_21_3,springside4,FileUtilTest,fileExist_3_oe,modules/utils/src/test/java/org/springside/modules/utils/io/FileUtilTest.java,,,,assert,unknown,standard,assertThat
springside4_left_21_4,springside4,FileUtilTest,fileExist_4_oe,modules/utils/src/test/java/org/springside/modules/utils/io/FileUtilTest.java,,,,assert,unknown,standard,assertThat
springside4_left_23_3,springside4,URLResourceTest,resource_3_oe,modules/utils/src/test/java/org/springside/modules/utils/io/URLResourceTest.java,,,,assert,unknown,standard,fail
springside4_left_23_5,springside4,URLResourceTest,resource_5_oe,modules/utils/src/test/java/org/springside/modules/utils/io/URLResourceTest.java,,,,assert,unknown,standard,fail
springside4_left_24_1,springside4,URLResourceTest,file_1_oe,modules/utils/src/test/java/org/springside/modules/utils/io/URLResourceTest.java,,,,assert,unknown,standard,assertThat
springside4_left_24_2,springside4,URLResourceTest,file_2_oe,modules/utils/src/test/java/org/springside/modules/utils/io/URLResourceTest.java,,,,assert,unknown,standard,assertThat
springside4_left_33_4,springside4,ListUtilTest,jdkBuild_4_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/ListUtilTest.java,,,,assert,unknown,standard,fail
springside4_left_33_7,springside4,ListUtilTest,jdkBuild_7_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/ListUtilTest.java,,,,assert,unknown,standard,fail
springside4_left_33_9,springside4,ListUtilTest,jdkBuild_9_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/ListUtilTest.java,,,,assert,unknown,standard,fail
springside4_left_34_12,springside4,ListUtilTest,general_12_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/ListUtilTest.java,,,,assert,unknown,standard,assertThat
springside4_left_39_5,springside4,MapUtilTest,jdkBuildMap_5_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/MapUtilTest.java,,,,assert,unknown,standard,fail
springside4_left_39_7,springside4,MapUtilTest,jdkBuildMap_7_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/MapUtilTest.java,,,,assert,unknown,standard,fail
springside4_left_41_1,springside4,MapUtilTest,initExpireAllMap_1_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/MapUtilTest.java,,,,assert,unknown,standard,assertThat
springside4_left_42_1,springside4,MapUtilTest,initExpireKeyMap_1_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/MapUtilTest.java,,,,assert,unknown,standard,assertThat
springside4_left_43_1,springside4,MapUtilTest,initExpireValueMap_1_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/MapUtilTest.java,,,,assert,unknown,standard,assertThat
springside4_left_44_1,springside4,MapUtilTest,initWeakValue_1_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/MapUtilTest.java,,,,assert,unknown,standard,assertThat
springside4_left_47_2,springside4,ArrayUtilTest,asList_2_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/ArrayUtilTest.java,,,,assert,unknown,standard,fail
springside4_left_47_5,springside4,ArrayUtilTest,asList_5_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/ArrayUtilTest.java,,,,assert,unknown,standard,fail
springside4_left_49_16,springside4,CollectionUtilTest,test_16_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/CollectionUtilTest.java,,,,assert,unknown,standard,assertThat
springside4_left_49_18,springside4,CollectionUtilTest,test_18_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/CollectionUtilTest.java,,,,assert,unknown,standard,assertThat
springside4_left_54_4,springside4,SetUtilTest,jdkBuildSet_4_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/SetUtilTest.java,,,,assert,unknown,standard,fail
springside4_left_54_7,springside4,SetUtilTest,jdkBuildSet_7_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/SetUtilTest.java,,,,assert,unknown,standard,fail
springside4_left_54_9,springside4,SetUtilTest,jdkBuildSet_9_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/SetUtilTest.java,,,,assert,unknown,standard,fail
springside4_left_55_5,springside4,SetUtilTest,collectionCaculate_5_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/SetUtilTest.java,,,,assert,unknown,standard,fail
springside4_left_58_4,springside4,EncodeUtilTest,hexEncode_4_oe,modules/utils/src/test/java/org/springside/modules/utils/text/EncodeUtilTest.java,,,,assert,unknown,standard,fail
springside4_left_60_2,springside4,EncodeUtilTest,base64UrlSafeEncode_2_oe,modules/utils/src/test/java/org/springside/modules/utils/text/EncodeUtilTest.java,,,,assert,unknown,standard,assertThat
springside4_left_60_3,springside4,EncodeUtilTest,base64UrlSafeEncode_3_oe,modules/utils/src/test/java/org/springside/modules/utils/text/EncodeUtilTest.java,,,,assert,unknown,standard,fail
springside4_left_72_4,springside4,WildcardMatcherTest,matchPath_4_oe,modules/utils/src/test/java/org/springside/modules/utils/text/WildcardMatcherTest.java,,,,assert,unknown,standard,assertThat
springside4_left_81_1,springside4,ThrottledSlf4jLoggerTest,test_1_oe,modules/utils/src/test/java/org/springside/modules/utils/log/ThrottledSlf4jLoggerTest.java,,,,assert,unknown,standard,assertThat
springside4_left_81_2,springside4,ThrottledSlf4jLoggerTest,test_2_oe,modules/utils/src/test/java/org/springside/modules/utils/log/ThrottledSlf4jLoggerTest.java,,,,assert,unknown,standard,assertThat
springside4_left_81_3,springside4,ThrottledSlf4jLoggerTest,test_3_oe,modules/utils/src/test/java/org/springside/modules/utils/log/ThrottledSlf4jLoggerTest.java,,,,assert,unknown,standard,assertThat
