id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
springside4_1,springside4,BookBorrowServiceTest,applyBorrowRequestWithError_oe,examples/boot-api/src/test/java/org/springside/examples/bootapi/service/BookBorrowServiceTest.java,,,,multiple,unknown,standard,
springside4_2,springside4,BookEndpointTest,listBook_oe,examples/boot-api/src/test/java/org/springside/examples/bootapi/functional/BookEndpointTest.java,,,,multiple,unknown,standard,
springside4_3,springside4,BookEndpointTest,applyRequest_oe,examples/boot-api/src/test/java/org/springside/examples/bootapi/functional/BookEndpointTest.java,,,,multiple,unknown,standard,
springside4_4,springside4,BookEndpointTest,applyRequestWithError_oe,examples/boot-api/src/test/java/org/springside/examples/bootapi/functional/BookEndpointTest.java,,,,multiple,unknown,standard,
springside4_5,springside4,BookEndpointTest,fullBorrowProcess_oe,examples/boot-api/src/test/java/org/springside/examples/bootapi/functional/BookEndpointTest.java,,,,multiple,unknown,standard,
springside4_6,springside4,BookDaoTest,findByOwnerId_oe,examples/boot-api/src/test/java/org/springside/examples/bootapi/repository/BookDaoTest.java,,,,multiple,unknown,standard,
springside4_7,springside4,BookDaoTest,findByBorrowerId_oe,examples/boot-api/src/test/java/org/springside/examples/bootapi/repository/BookDaoTest.java,,,,multiple,unknown,standard,
springside4_8,springside4,SamplerTest,test_oe,modules/utils/src/test/java/org/springside/modules/utils/misc/SamplerTest.java,,,,multiple,unknown,standard,
springside4_9,springside4,SamplerTest,always_oe,modules/utils/src/test/java/org/springside/modules/utils/misc/SamplerTest.java,,,,multiple,unknown,standard,
springside4_10,springside4,BasicFutureTest,test_oe,modules/utils/src/test/java/org/springside/modules/utils/concurrent/BasicFutureTest.java,,,,multiple,unknown,standard,
springside4_11,springside4,ThreadDumpperTest,test_oe,modules/utils/src/test/java/org/springside/modules/utils/concurrent/ThreadDumpperTest.java,,,,multiple,unknown,standard,
springside4_12,springside4,ThreadUtilTest,testCaller_oe,modules/utils/src/test/java/org/springside/modules/utils/concurrent/ThreadUtilTest.java,,,,multiple,unknown,standard,
springside4_13,springside4,ConcurrentToolsTest,longAdder_oe,modules/utils/src/test/java/org/springside/modules/utils/concurrent/ConcurrentToolsTest.java,,,,multiple,unknown,standard,
springside4_14,springside4,FileUtilTest,readWrite_oe,modules/utils/src/test/java/org/springside/modules/utils/io/FileUtilTest.java,,,,multiple,unknown,standard,
springside4_15,springside4,FileUtilTest,opFiles_oe,modules/utils/src/test/java/org/springside/modules/utils/io/FileUtilTest.java,,,,multiple,unknown,standard,
springside4_16,springside4,FileUtilTest,opDir_oe,modules/utils/src/test/java/org/springside/modules/utils/io/FileUtilTest.java,,,,multiple,unknown,standard,
springside4_17,springside4,FileUtilTest,fileExist_oe,modules/utils/src/test/java/org/springside/modules/utils/io/FileUtilTest.java,,,,multiple,unknown,standard,
springside4_18,springside4,FileUtilTest,getName_oe,modules/utils/src/test/java/org/springside/modules/utils/io/FileUtilTest.java,,,,multiple,unknown,standard,
springside4_19,springside4,URLResourceTest,resource_oe,modules/utils/src/test/java/org/springside/modules/utils/io/URLResourceTest.java,,,,multiple,unknown,standard,
springside4_20,springside4,URLResourceTest,file_oe,modules/utils/src/test/java/org/springside/modules/utils/io/URLResourceTest.java,,,,multiple,unknown,standard,
springside4_21,springside4,FilePathUtilTest,pathName_oe,modules/utils/src/test/java/org/springside/modules/utils/io/FilePathUtilTest.java,,,,multiple,unknown,standard,
springside4_22,springside4,FilePathUtilTest,getJarPath_oe,modules/utils/src/test/java/org/springside/modules/utils/io/FilePathUtilTest.java,,,,multiple,unknown,standard,
springside4_23,springside4,FileTreeWalkerTest,listFile_oe,modules/utils/src/test/java/org/springside/modules/utils/io/FileTreeWalkerTest.java,,,,multiple,unknown,standard,
springside4_24,springside4,ResourceUtilTest,test_oe,modules/utils/src/test/java/org/springside/modules/utils/io/ResourceUtilTest.java,,,,multiple,unknown,standard,
springside4_25,springside4,ResourceUtilTest,resourceNameTest_oe,modules/utils/src/test/java/org/springside/modules/utils/io/ResourceUtilTest.java,,,,multiple,unknown,standard,
springside4_26,springside4,IOUtilTest,read_oe,modules/utils/src/test/java/org/springside/modules/utils/io/IOUtilTest.java,,,,multiple,unknown,standard,
springside4_27,springside4,IOUtilTest,write_oe,modules/utils/src/test/java/org/springside/modules/utils/io/IOUtilTest.java,,,,multiple,unknown,standard,
springside4_28,springside4,ListUtilTest,guavaBuildList_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/ListUtilTest.java,,,,multiple,unknown,standard,
springside4_29,springside4,ListUtilTest,jdkBuild_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/ListUtilTest.java,,,,multiple,unknown,standard,
springside4_30,springside4,ListUtilTest,general_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/ListUtilTest.java,,,,multiple,unknown,standard,
springside4_31,springside4,ListUtilTest,sortAndSearch_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/ListUtilTest.java,,,,multiple,unknown,standard,
springside4_32,springside4,ListUtilTest,collectionCalc_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/ListUtilTest.java,,,,multiple,unknown,standard,
springside4_33,springside4,MapUtilTest,generalMethod_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/MapUtilTest.java,,,,multiple,unknown,standard,
springside4_34,springside4,MapUtilTest,guavaBuildMap_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/MapUtilTest.java,,,,multiple,unknown,standard,
springside4_35,springside4,MapUtilTest,jdkBuildMap_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/MapUtilTest.java,,,,multiple,unknown,standard,
springside4_36,springside4,MapUtilTest,weakMap_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/MapUtilTest.java,,,,multiple,unknown,standard,
springside4_37,springside4,QueueUtilTest,stack_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/QueueUtilTest.java,,,,multiple,unknown,standard,
springside4_38,springside4,ArrayUtilTest,shuffle_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/ArrayUtilTest.java,,,,multiple,unknown,standard,
springside4_39,springside4,ArrayUtilTest,asList_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/ArrayUtilTest.java,,,,multiple,unknown,standard,
springside4_40,springside4,ArrayUtilTest,contact_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/ArrayUtilTest.java,,,,multiple,unknown,standard,
springside4_41,springside4,CollectionUtilTest,test_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/CollectionUtilTest.java,,,,multiple,unknown,standard,
springside4_42,springside4,CollectionUtilTest,minAndMax_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/CollectionUtilTest.java,,,,multiple,unknown,standard,
springside4_43,springside4,CollectionUtilTest,listCompare_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/CollectionUtilTest.java,,,,multiple,unknown,standard,
springside4_44,springside4,CollectionUtilTest,topNAndBottomN_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/CollectionUtilTest.java,,,,multiple,unknown,standard,
springside4_45,springside4,SetUtilTest,guavaBuildSet_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/SetUtilTest.java,,,,multiple,unknown,standard,
springside4_46,springside4,SetUtilTest,jdkBuildSet_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/SetUtilTest.java,,,,multiple,unknown,standard,
springside4_47,springside4,SetUtilTest,collectionCaculate_oe,modules/utils/src/test/java/org/springside/modules/utils/collection/SetUtilTest.java,,,,multiple,unknown,standard,
springside4_48,springside4,CsvUtilTest,toCsvString_oe,modules/utils/src/test/java/org/springside/modules/utils/text/CsvUtilTest.java,,,,multiple,unknown,standard,
springside4_49,springside4,CsvUtilTest,fromCsvString_oe,modules/utils/src/test/java/org/springside/modules/utils/text/CsvUtilTest.java,,,,multiple,unknown,standard,
springside4_50,springside4,EncodeUtilTest,hexEncode_oe,modules/utils/src/test/java/org/springside/modules/utils/text/EncodeUtilTest.java,,,,multiple,unknown,standard,
springside4_51,springside4,EncodeUtilTest,base64Encode_oe,modules/utils/src/test/java/org/springside/modules/utils/text/EncodeUtilTest.java,,,,multiple,unknown,standard,
springside4_52,springside4,EncodeUtilTest,base64UrlSafeEncode_oe,modules/utils/src/test/java/org/springside/modules/utils/text/EncodeUtilTest.java,,,,multiple,unknown,standard,
springside4_53,springside4,EscapeUtilTest,urlEncode_oe,modules/utils/src/test/java/org/springside/modules/utils/text/EscapeUtilTest.java,,,,multiple,unknown,standard,
springside4_54,springside4,EscapeUtilTest,xmlEncode_oe,modules/utils/src/test/java/org/springside/modules/utils/text/EscapeUtilTest.java,,,,multiple,unknown,standard,
springside4_55,springside4,EscapeUtilTest,html_oe,modules/utils/src/test/java/org/springside/modules/utils/text/EscapeUtilTest.java,,,,multiple,unknown,standard,
springside4_56,springside4,HashUtilTest,hashSha1_oe,modules/utils/src/test/java/org/springside/modules/utils/text/HashUtilTest.java,,,,multiple,unknown,standard,
springside4_57,springside4,HashUtilTest,hashFile_oe,modules/utils/src/test/java/org/springside/modules/utils/text/HashUtilTest.java,,,,multiple,unknown,standard,
springside4_58,springside4,HashUtilTest,crc32_oe,modules/utils/src/test/java/org/springside/modules/utils/text/HashUtilTest.java,,,,multiple,unknown,standard,
springside4_59,springside4,HashUtilTest,murmurhash_oe,modules/utils/src/test/java/org/springside/modules/utils/text/HashUtilTest.java,,,,multiple,unknown,standard,
springside4_60,springside4,MoreStringUtilTest,split_oe,modules/utils/src/test/java/org/springside/modules/utils/text/MoreStringUtilTest.java,,,,multiple,unknown,standard,
springside4_61,springside4,MoreStringUtilTest,charMatch_oe,modules/utils/src/test/java/org/springside/modules/utils/text/MoreStringUtilTest.java,,,,multiple,unknown,standard,
springside4_62,springside4,MoreStringUtilTest,utf8EncodedLength_oe,modules/utils/src/test/java/org/springside/modules/utils/text/MoreStringUtilTest.java,,,,multiple,unknown,standard,
springside4_63,springside4,WildcardMatcherTest,matchString_oe,modules/utils/src/test/java/org/springside/modules/utils/text/WildcardMatcherTest.java,,,,multiple,unknown,standard,
springside4_64,springside4,WildcardMatcherTest,matchPath_oe,modules/utils/src/test/java/org/springside/modules/utils/text/WildcardMatcherTest.java,,,,multiple,unknown,standard,
springside4_65,springside4,TextValidatorTest,isMobileSimple_oe,modules/utils/src/test/java/org/springside/modules/utils/text/TextValidatorTest.java,,,,multiple,unknown,standard,
