id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version
conf_85_1,commons-configuration2-2.8.0-src,TestYAMLConfiguration,testObjectCreationFromReader_1_oe,src/test/java/org/apache/commons/configuration2/TestYAMLConfiguration.java,,,,assert,unknown
conf_86_1,commons-configuration2-2.8.0-src,TestYAMLConfiguration,testObjectCreationFromStream_1_oe,src/test/java/org/apache/commons/configuration2/TestYAMLConfiguration.java,,,,assert,unknown
conf_91_1,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_1_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_2,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_2_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_3,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_3_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_4,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_4_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_5,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_5_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_6,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_6_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_7,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_7_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_8,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_8_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_9,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_9_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_10,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_10_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_11,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_11_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_12,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_12_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_13,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_13_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_14,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_14_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_15,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_15_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_16,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_16_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_17,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_17_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_18,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_18_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_19,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_19_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_20,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_20_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_21,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_21_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_22,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_22_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_23,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_23_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_24,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_24_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_25,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_25_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_26,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_26_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_27,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_27_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_28,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_28_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_29,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_29_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_30,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_30_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_31,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_31_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_32,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_32_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_33,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_33_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_34,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_34_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_35,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_35_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_36,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_36_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_37,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_37_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_38,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_38_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_39,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_39_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_40,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_40_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
conf_91_41,commons-configuration2-2.8.0-src,TestDataConfiguration,testConversionException_41_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,assert,unknown
