project/module	tests_run	Line Coverage	tests examined	Mutation score	Generated Mutants	Mutants Killed	Test Strength
commons-rng-simple	26294	496/510 (97%	55	85	326	278	86
dist-archive							
commons-rng-core	17400	1558/1601 (97%	120	84	1386	1169	88
commons-rng-examples/examples-stress	211	114/1545 (7%		11	1134	121	98
commons-rng-examples/examples-quadrature							
commons-rng-examples/examples-jmh							
commons-rng-examples/examples-sampling							
commons-rng-examples/examples-jpms/jpms-app							
commons-rng-examples/examples-jpms/jpms-lib							
commons-rng-sampling	27445	2474/2489 (99%	242	82	2512	2056	82
.							
commons-rng-client-api							
docs-archive							
