id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version
vfs-_1_1,commons-vfs-2.9.0,ProviderRandomReadWriteTests,testRandomWrite_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderRandomReadWriteTests.java,,,,assert,unknown
vfs-_1_2,commons-vfs-2.9.0,ProviderRandomReadWriteTests,testRandomWrite_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderRandomReadWriteTests.java,,,,assert,unknown
vfs-_1_3,commons-vfs-2.9.0,ProviderRandomReadWriteTests,testRandomWrite_3_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderRandomReadWriteTests.java,,,,assert,unknown
vfs-_1_4,commons-vfs-2.9.0,ProviderRandomReadWriteTests,testRandomWrite_4_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderRandomReadWriteTests.java,,,,assert,unknown
vfs-_1_5,commons-vfs-2.9.0,ProviderRandomReadWriteTests,testRandomWrite_5_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderRandomReadWriteTests.java,,,,assert,unknown
vfs-_2_1,commons-vfs-2.9.0,UriTests,testAbsoluteURI_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/UriTests.java,,,,assert,unknown
vfs-_2_2,commons-vfs-2.9.0,UriTests,testAbsoluteURI_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/UriTests.java,,,,assert,unknown
vfs-_2_3,commons-vfs-2.9.0,UriTests,testAbsoluteURI_3_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/UriTests.java,,,,assert,unknown
vfs-_2_4,commons-vfs-2.9.0,UriTests,testAbsoluteURI_4_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/UriTests.java,,,,assert,unknown
vfs-_2_5,commons-vfs-2.9.0,UriTests,testAbsoluteURI_5_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/UriTests.java,,,,assert,unknown
vfs-_3_1,commons-vfs-2.9.0,UriTests,testGetURI_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/UriTests.java,,,,assert,unknown
vfs-_3_2,commons-vfs-2.9.0,UriTests,testGetURI_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/UriTests.java,,,,assert,unknown
vfs-_3_3,commons-vfs-2.9.0,UriTests,testGetURI_3_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/UriTests.java,,,,assert,unknown
vfs-_3_4,commons-vfs-2.9.0,UriTests,testGetURI_4_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/UriTests.java,,,,assert,unknown
vfs-_4_1,commons-vfs-2.9.0,UriTests,testReservedCharacterSpace_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/UriTests.java,,,,assert,unknown
vfs-_4_2,commons-vfs-2.9.0,UriTests,testReservedCharacterSpace_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/UriTests.java,,,,assert,unknown
vfs-_5_1,commons-vfs-2.9.0,UriTests,testURIContentProvider_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/UriTests.java,,,,assert,unknown
vfs-_5_2,commons-vfs-2.9.0,UriTests,testURIContentProvider_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/UriTests.java,,,,assert,unknown
vfs-_5_3,commons-vfs-2.9.0,UriTests,testURIContentProvider_3_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/UriTests.java,,,,assert,unknown
vfs-_6_1,commons-vfs-2.9.0,FileSystemExceptionTest,testDoesNotModifyUrlsWithoutPassword_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/FileSystemExceptionTest.java,,,,assert,unknown
vfs-_7_1,commons-vfs-2.9.0,FileSystemExceptionTest,testMasksPasswordOfUrlsWithBasicAuthentication_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/FileSystemExceptionTest.java,,,,assert,unknown
vfs-_7_2,commons-vfs-2.9.0,FileSystemExceptionTest,testMasksPasswordOfUrlsWithBasicAuthentication_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/FileSystemExceptionTest.java,,,,assert,unknown
vfs-_8_1,commons-vfs-2.9.0,FileSystemExceptionTest,testProperDetectionOfUrl_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/FileSystemExceptionTest.java,,,,assert,unknown
vfs-_9_1,commons-vfs-2.9.0,ProviderWriteAppendTests,testAppendContent_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderWriteAppendTests.java,,,,assert,unknown
vfs-_9_2,commons-vfs-2.9.0,ProviderWriteAppendTests,testAppendContent_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderWriteAppendTests.java,,,,assert,unknown
vfs-_9_3,commons-vfs-2.9.0,ProviderWriteAppendTests,testAppendContent_3_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderWriteAppendTests.java,,,,assert,unknown
vfs-_9_4,commons-vfs-2.9.0,ProviderWriteAppendTests,testAppendContent_4_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderWriteAppendTests.java,,,,assert,unknown
vfs-_10_1,commons-vfs-2.9.0,UrlStructureTests,testFolderURL_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/UrlStructureTests.java,,,,assert,unknown
vfs-_10_2,commons-vfs-2.9.0,UrlStructureTests,testFolderURL_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/UrlStructureTests.java,,,,assert,unknown
vfs-_11_1,commons-vfs-2.9.0,ProviderRandomSetLengthTests,testRandomSetLength_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderRandomSetLengthTests.java,,,,assert,unknown
vfs-_11_2,commons-vfs-2.9.0,ProviderRandomSetLengthTests,testRandomSetLength_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderRandomSetLengthTests.java,,,,assert,unknown
vfs-_11_3,commons-vfs-2.9.0,ProviderRandomSetLengthTests,testRandomSetLength_3_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderRandomSetLengthTests.java,,,,assert,unknown
vfs-_11_5,commons-vfs-2.9.0,ProviderRandomSetLengthTests,testRandomSetLength_5_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderRandomSetLengthTests.java,,,,assert,unknown
vfs-_12_1,commons-vfs-2.9.0,ProviderReadTests,testConcurrentReadFolder_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderReadTests.java,,,,assert,unknown
vfs-_12_2,commons-vfs-2.9.0,ProviderReadTests,testConcurrentReadFolder_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderReadTests.java,,,,assert,unknown
vfs-_13_1,commons-vfs-2.9.0,ProviderReadTests,testDotJarFolderName_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderReadTests.java,,,,assert,unknown
vfs-_13_2,commons-vfs-2.9.0,ProviderReadTests,testDotJarFolderName_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderReadTests.java,,,,assert,unknown
vfs-_14_1,commons-vfs-2.9.0,ProviderReadTests,testDotJarFolderNameLayer_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderReadTests.java,,,,assert,unknown
vfs-_14_2,commons-vfs-2.9.0,ProviderReadTests,testDotJarFolderNameLayer_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderReadTests.java,,,,assert,unknown
vfs-_14_4,commons-vfs-2.9.0,ProviderReadTests,testDotJarFolderNameLayer_4_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderReadTests.java,,,,assert,unknown
vfs-_15_1,commons-vfs-2.9.0,ProviderReadTests,testFindFiles_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderReadTests.java,,,,assert,unknown
vfs-_15_2,commons-vfs-2.9.0,ProviderReadTests,testFindFiles_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderReadTests.java,,,,assert,unknown
vfs-_17_1,commons-vfs-2.9.0,ProviderReadTests,testFolderIsHidden_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderReadTests.java,,,,assert,unknown
vfs-_18_1,commons-vfs-2.9.0,ProviderReadTests,testFolderIsReadable_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderReadTests.java,,,,assert,unknown
vfs-_19_1,commons-vfs-2.9.0,ProviderReadTests,testFolderIsSymbolicLink_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderReadTests.java,,,,assert,unknown
vfs-_20_1,commons-vfs-2.9.0,ProviderReadTests,testGetContent_1_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderReadTests.java,,,,assert,unknown
vfs-_20_2,commons-vfs-2.9.0,ProviderReadTests,testGetContent_2_oe,commons-vfs2/src/test/java/org/apache/commons/vfs2/ProviderReadTests.java,,,,assert,unknown
